SF,IH,BW,CR,preference,probability
6,1,500,8,0.9305,0.0295
6,1,500,5,0.4770,0.0188
6,1,250,6,0.4006,0.0174
6,1,250,8,0.3548,0.0166
6,1,500,6,0.3371,0.0163
6,1,250,7,0.3352,0.0163
6,1,250,5,0.3144,0.0160
7,0,500,5,0.3083,0.0159
6,1,500,7,0.2594,0.0151
7,0,250,5,0.1861,0.0140
9,0,250,6,0.1485,0.0135
7,0,500,7,0.1383,0.0134
7,0,250,6,0.1380,0.0134
8,0,250,6,0.1345,0.0133
8,0,250,5,0.1343,0.0133
9,0,250,8,0.1256,0.0132
7,0,500,6,0.1057,0.0130
7,0,500,8,0.1037,0.0129
8,0,250,7,0.1005,0.0129
9,0,250,7,0.0828,0.0127
9,0,250,5,0.0703,0.0125
7,0,250,8,0.0695,0.0125
7,0,125,6,0.0693,0.0125
8,0,250,8,0.0693,0.0125
7,0,250,7,0.0501,0.0122
6,1,125,5,0.0469,0.0122
8,0,125,8,0.0414,0.0121
8,0,125,5,0.0357,0.0121
9,0,125,5,0.0350,0.0121
8,0,125,6,0.0307,0.0120
9,0,125,7,0.0294,0.0120
8,0,500,7,0.0275,0.0120
8,0,500,5,0.0262,0.0120
8,0,500,6,0.0179,0.0119
7,0,125,5,0.0141,0.0118
10,0,250,6,0.0077,0.0117
9,0,125,6,-0.0007,0.0116
9,0,125,8,-0.0009,0.0116
8,0,125,7,-0.0035,0.0116
6,1,125,7,-0.0095,0.0115
6,1,125,6,-0.0104,0.0115
10,0,250,5,-0.0138,0.0115
7,0,125,8,-0.0144,0.0115
7,0,125,7,-0.0203,0.0114
10,0,250,8,-0.0207,0.0114
10,0,250,7,-0.0208,0.0114
9,0,500,7,-0.0233,0.0114
9,0,500,5,-0.0355,0.0112
8,0,500,8,-0.0356,0.0112
9,0,500,6,-0.0530,0.0110
6,1,125,8,-0.0603,0.0110
9,0,500,8,-0.0644,0.0109
10,0,125,8,-0.0692,0.0109
10,0,125,5,-0.0723,0.0108
11,0,250,6,-0.0740,0.0108
10,0,125,7,-0.0741,0.0108
10,0,125,6,-0.0781,0.0108
10,0,500,7,-0.0828,0.0107
11,0,250,5,-0.0860,0.0107
11,0,250,8,-0.0937,0.0106
12,0,250,8,-0.0943,0.0106
11,0,250,7,-0.0949,0.0106
12,0,250,5,-0.1125,0.0104
10,0,500,8,-0.1136,0.0104
10,0,500,5,-0.1144,0.0104
10,0,500,6,-0.1181,0.0104
12,0,250,6,-0.1310,0.0102
11,0,125,6,-0.1405,0.0101
11,0,500,5,-0.1584,0.0099
11,0,125,5,-0.1586,0.0099
12,0,125,6,-0.1703,0.0098
12,0,250,7,-0.1715,0.0098
11,0,125,8,-0.1786,0.0097
11,0,500,8,-0.2085,0.0095
11,0,125,7,-0.2169,0.0094
11,0,500,7,-0.2274,0.0093
11,0,500,6,-0.2304,0.0093
12,0,500,7,-0.2344,0.0092
12,0,500,8,-0.2439,0.0091
12,0,500,6,-0.2525,0.0091
12,0,500,5,-0.2538,0.0090
12,0,125,7,-0.2807,0.0088
12,0,125,5,-0.3586,0.0081
12,0,125,8,-0.4754,0.0072
