SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,869,500,6,5,1,200,8,80,1,6,0.4574
6,869,500,5,5,1,200,8,80,1,7,0.4523
6,885,500,5,5,1,200,19,80,1,3,0.4219
6,869,500,8,5,1,200,8,80,1,19,0.4170
6,869,500,7,5,1,200,8,80,1,4,0.4129
6,885,500,7,5,1,200,19,80,1,3,0.3822
6,885,500,6,5,1,200,19,80,1,1,0.3807
6,869,250,8,5,1,200,8,80,1,18,0.3752
6,869,250,5,5,1,200,8,80,1,10,0.3714
6,885,500,8,5,1,200,19,80,1,5,0.3588
6,869,250,6,5,1,200,8,80,1,13,0.3572
6,874,500,7,9,1,200,36,100,1,1,0.3571
6,869,250,7,5,1,200,8,80,1,14,0.3499
6,885,250,5,5,1,200,19,80,1,3,0.3483
6,874,500,8,9,1,200,36,100,1,1,0.3425
7,869,250,5,5,0,200,8,80,1,9,0.3359
7,869,500,5,5,0,200,8,80,1,17,0.3340
7,866,500,6,14,0,200,7,120,1,1,0.3335
7,871,250,5,12,0,200,23,100,1,1,0.3334
8,871,250,8,12,0,200,22,100,1,1,0.3303
6,885,250,6,5,1,200,19,80,1,5,0.3300
7,869,500,6,5,0,200,8,80,1,5,0.3299
7,869,250,6,5,0,200,8,80,1,8,0.3289
9,872,250,6,7,0,200,9,80,1,1,0.3282
9,880,250,6,5,0,200,7,80,1,1,0.3279
7,880,250,7,8,0,200,8,100,1,1,0.3275
6,885,250,7,5,1,200,19,80,1,1,0.3269
9,869,250,5,5,0,200,8,80,1,7,0.3243
8,869,250,7,5,0,200,8,80,1,10,0.3225
9,879,250,8,10,0,200,52,100,1,1,0.3225
7,869,500,7,5,0,200,8,80,1,8,0.3222
6,871,500,6,8,1,200,60,100,1,1,0.3220
8,868,250,8,12,0,200,38,100,1,1,0.3206
9,885,250,8,10,0,200,35,100,1,1,0.3192
9,885,250,8,5,0,200,19,80,1,2,0.3180
8,869,250,5,5,0,200,8,80,1,11,0.3170
9,869,250,6,5,0,200,8,80,1,10,0.3168
9,869,250,7,7,0,200,30,80,1,1,0.3168
9,886,250,6,10,0,200,30,100,1,1,0.3162
6,860,500,6,11,1,200,34,100,1,1,0.3162
6,876,250,6,6,1,200,36,80,1,1,0.3160
7,879,500,8,16,0,200,28,120,1,1,0.3159
6,885,250,8,5,1,200,19,80,1,1,0.3157
