SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,885,250,5,17,1,200,6,120,1,1,0.4005
6,868,500,6,8,1,200,32,100,1,1,0.3842
6,872,250,8,4,1,200,10,80,1,2,0.3740
6,874,500,7,2,1,200,38,80,1,7,0.3542
6,886,500,5,2,1,200,49,80,1,1,0.3517
7,884,500,5,11,0,200,14,100,1,1,0.3513
6,874,250,6,5,1,200,31,80,1,1,0.3437
6,870,250,5,11,1,200,36,100,1,1,0.3413
6,867,250,6,10,1,200,36,100,1,1,0.3388
9,880,250,7,5,0,200,47,80,1,1,0.3387
6,860,250,5,16,1,200,38,120,1,2,0.3387
6,860,500,5,10,1,200,61,100,1,1,0.3338
7,884,500,5,9,0,200,36,100,1,1,0.3301
7,864,250,8,5,0,200,28,80,1,1,0.3299
8,862,250,7,5,0,200,67,80,1,1,0.3297
7,880,250,8,11,0,200,21,100,1,1,0.3295
10,870,250,8,5,0,200,6,80,1,1,0.3289
8,866,250,6,12,0,200,60,100,1,1,0.3287
7,860,250,6,5,0,200,47,80,1,1,0.3275
9,870,250,7,14,0,200,35,120,1,1,0.3274
10,862,250,5,9,0,200,31,100,1,1,0.3248
9,868,125,6,5,0,200,29,80,1,1,0.3238
6,864,500,5,4,1,200,70,80,1,1,0.3188
7,888,125,5,14,0,200,14,120,1,1,0.3177
7,867,500,6,6,0,200,37,80,1,1,0.3167
6,870,500,6,11,1,200,74,100,1,1,0.3167
7,878,250,6,17,0,200,44,120,1,1,0.3161
6,861,125,7,14,1,200,13,120,1,1,0.3160
8,883,125,5,5,0,200,68,80,1,1,0.3155
6,867,125,5,15,1,200,19,120,1,1,0.3149
8,885,125,5,3,0,200,58,80,1,1,0.3138
8,864,125,5,7,0,200,55,80,1,1,0.3122
7,862,250,6,15,0,200,77,120,1,1,0.3116
7,883,250,7,7,0,200,87,80,1,1,0.3108
9,885,125,6,8,0,200,43,100,1,1,0.3079
7,882,500,8,11,0,200,46,100,1,1,0.3077
8,879,125,5,7,0,200,91,80,1,1,0.3072
8,867,125,7,11,0,200,54,100,1,1,0.3050
7,878,500,8,16,0,200,34,120,1,1,0.3043
8,890,125,5,15,0,200,35,120,1,1,0.3039
9,880,500,5,2,0,200,7,80,1,1,0.3038
7,871,125,7,11,0,200,22,100,1,2,0.3027
6,865,250,8,12,1,200,95,100,1,1,0.3016
9,870,250,8,12,0,200,43,100,1,1,0.3014
8,870,500,5,7,0,200,57,80,1,1,0.2989
8,861,500,7,5,0,200,40,80,1,1,0.2989
9,871,250,5,13,0,200,76,100,1,1,0.2988
8,883,125,6,9,0,200,63,100,1,1,0.2979
8,862,250,5,20,0,200,68,140,1,1,0.2951
8,863,500,5,6,0,200,58,80,1,1,0.2941
9,870,125,8,13,0,200,75,100,1,1,0.2932
9,889,500,8,7,0,200,42,80,1,1,0.2913
6,883,125,5,7,1,200,65,80,1,1,0.2911
7,876,500,8,13,0,200,75,100,1,1,0.2904
10,872,500,6,5,0,200,14,80,1,1,0.2898
7,869,500,5,15,0,200,76,120,1,1,0.2897
9,867,250,8,11,0,200,62,100,1,1,0.2896
7,863,500,8,8,0,200,81,100,1,1,0.2862
8,869,500,8,4,0,200,84,80,1,1,0.2854
7,861,500,5,20,0,200,78,140,1,1,0.2846
8,889,500,6,15,0,200,72,120,1,1,0.2820
12,874,250,8,7,0,200,18,80,1,1,0.2810
10,875,250,6,13,0,200,72,100,1,1,0.2799
10,863,250,5,3,0,200,85,80,1,1,0.2789
9,861,500,5,20,0,200,34,140,1,1,0.2760
10,872,500,6,7,0,200,88,80,1,1,0.2759
11,876,250,8,7,0,200,77,80,1,1,0.2759
10,866,125,8,13,0,200,18,100,1,1,0.2740
9,869,500,5,13,0,200,95,100,1,1,0.2740
9,878,500,6,9,0,200,34,100,1,1,0.2726
8,889,500,5,20,0,200,66,140,1,1,0.2705
7,881,125,6,17,0,200,90,120,1,1,0.2684
6,885,125,7,16,1,200,96,120,1,1,0.2660
9,869,500,7,10,0,200,49,100,1,1,0.2640
10,865,250,5,12,0,200,100,100,1,1,0.2584
12,870,500,7,8,0,200,23,100,1,1,0.2564
10,872,500,7,13,0,200,98,100,1,1,0.2560
10,866,250,7,14,0,200,91,120,1,1,0.2500
10,878,250,7,17,0,200,86,120,1,1,0.2418
11,865,250,7,16,0,200,16,120,1,1,0.2403
11,870,125,7,3,0,200,52,80,1,1,0.2392
10,888,125,7,17,0,200,59,120,1,1,0.2367
9,880,125,7,16,0,200,90,120,1,1,0.2363
10,860,125,8,16,0,200,17,120,1,1,0.2342
11,872,125,8,7,0,200,88,80,1,1,0.2323
12,882,500,7,4,0,200,59,80,1,3,0.2301
11,870,250,8,17,0,200,48,120,1,1,0.2300
11,864,125,7,8,0,200,91,100,1,1,0.2298
11,880,500,6,11,0,200,73,100,1,1,0.2284
11,872,250,7,20,0,200,30,140,1,1,0.2268
11,890,500,5,14,0,200,81,120,1,1,0.2217
10,860,250,8,16,0,200,88,120,1,1,0.2216
11,873,125,7,17,0,200,26,120,1,1,0.2177
11,874,125,6,16,0,200,54,120,1,1,0.2145
10,887,250,6,20,0,200,48,140,1,1,0.2094
12,870,250,8,9,0,200,75,100,1,1,0.2065
11,877,500,6,16,0,200,62,120,1,1,0.2012
12,880,125,6,16,0,200,49,120,1,1,0.1888
12,873,250,7,20,0,200,38,140,1,1,0.1862
11,875,500,7,16,0,200,86,120,1,1,0.1843
12,878,125,7,17,0,200,58,120,1,1,0.1738
12,882,125,6,12,0,200,40,100,1,1,0.1709
12,886,125,5,10,0,200,47,100,1,1,0.1673
