iteration,reward,timestamp
1,0.2269,2026-01-28 22:49:01
2,0.2920,2026-01-28 22:49:06
3,0.2541,2026-01-28 22:49:08
4,0.2961,2026-01-28 22:49:10
5,0.3047,2026-01-28 22:49:11
6,0.2130,2026-01-28 22:49:17
7,0.2119,2026-01-28 22:49:25
8,0.1942,2026-01-28 22:49:36
9,0.2402,2026-01-28 22:49:48
10,0.2613,2026-01-28 22:49:52
11,0.2298,2026-01-28 22:49:54
12,0.2950,2026-01-28 22:49:55
13,0.2265,2026-01-28 22:49:58
14,0.3382,2026-01-28 22:50:01
15,0.2207,2026-01-28 22:50:06
16,0.2705,2026-01-28 22:50:12
17,0.2554,2026-01-28 22:50:14
18,0.2248,2026-01-28 22:50:16
19,0.3263,2026-01-28 22:50:17
20,0.1929,2026-01-28 22:50:21
21,0.3357,2026-01-28 22:50:24
22,0.3357,2026-01-28 22:50:25
23,0.2817,2026-01-28 22:50:26
24,0.2051,2026-01-28 22:50:28
25,0.3362,2026-01-28 22:50:30
26,0.2459,2026-01-28 22:50:34
27,0.2812,2026-01-28 22:50:38
28,0.2998,2026-01-28 22:50:38
29,0.3362,2026-01-28 22:50:40
30,0.1514,2026-01-28 22:50:52
31,0.2326,2026-01-28 22:51:04
32,0.2434,2026-01-28 22:51:06
33,0.2628,2026-01-28 22:51:09
34,0.1268,2026-01-28 22:51:25
35,0.1982,2026-01-28 22:51:44
36,0.2398,2026-01-28 22:51:53
37,0.2838,2026-01-28 22:51:56
38,0.3382,2026-01-28 22:51:57
39,0.2402,2026-01-28 22:52:00
40,0.3362,2026-01-28 22:52:03
41,0.2888,2026-01-28 22:52:05
42,0.2850,2026-01-28 22:52:18
43,0.2286,2026-01-28 22:52:19
44,0.2577,2026-01-28 22:52:21
45,0.1814,2026-01-28 22:52:23
46,0.3041,2026-01-28 22:52:25
47,0.3362,2026-01-28 22:52:37
48,0.2555,2026-01-28 22:52:40
49,0.2709,2026-01-28 22:52:45
50,0.2617,2026-01-28 22:52:48
51,0.3571,2026-01-28 22:52:48
52,0.2608,2026-01-28 22:52:51
53,0.2660,2026-01-28 22:52:54
54,0.3571,2026-01-28 22:52:55
55,0.4675,2026-01-28 22:52:55
56,0.2160,2026-01-28 22:53:00
57,0.1953,2026-01-28 22:53:06
58,0.4712,2026-01-28 22:53:09
59,0.2894,2026-01-28 22:53:10
60,0.2536,2026-01-28 22:53:13
61,0.2342,2026-01-28 22:53:15
62,0.1260,2026-01-28 22:53:29
63,0.4662,2026-01-28 22:53:42
64,0.2901,2026-01-28 22:53:43
65,0.2053,2026-01-28 22:53:45
66,0.1754,2026-01-28 22:53:55
67,0.2267,2026-01-28 22:54:06
68,0.2785,2026-01-28 22:54:11
69,0.2820,2026-01-28 22:54:13
70,0.4671,2026-01-28 22:54:15
71,0.3282,2026-01-28 22:54:26
72,0.2619,2026-01-28 22:54:28
73,0.2457,2026-01-28 22:54:34
74,0.2810,2026-01-28 22:54:41
75,0.4696,2026-01-28 22:54:42
76,0.2392,2026-01-28 22:54:44
77,0.2536,2026-01-28 22:54:45
78,0.2563,2026-01-28 22:54:47
