SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,873,500,5,15,1,200,11,120,1,194,0.4675
6,867,500,5,15,1,200,17,120,1,1,0.4283
6,865,500,7,11,1,200,14,100,1,1,0.4021
6,870,500,6,10,1,200,19,100,1,1,0.4007
6,862,500,8,14,1,200,14,120,1,1,0.4001
6,875,250,5,10,1,200,9,100,1,1,0.3836
6,887,500,8,3,1,200,23,80,1,1,0.3833
6,885,500,6,16,1,200,28,120,1,1,0.3823
6,871,250,6,3,1,200,9,80,1,1,0.3768
6,868,500,5,13,1,200,42,100,1,1,0.3692
6,867,500,6,3,1,200,22,80,1,1,0.3683
6,885,500,6,10,1,200,38,100,1,1,0.3676
6,863,500,7,4,1,200,32,80,1,1,0.3646
6,862,500,8,17,1,200,21,120,1,2,0.3571
6,874,250,7,16,1,200,14,120,1,1,0.3549
6,866,500,5,8,1,200,44,100,1,1,0.3542
6,862,500,6,3,1,200,36,80,1,1,0.3540
6,872,500,6,17,1,200,35,120,1,1,0.3521
6,890,250,5,16,1,200,60,120,1,1,0.3503
6,883,500,8,15,1,200,39,120,1,1,0.3501
6,870,250,7,7,1,200,21,80,1,1,0.3498
6,860,250,8,13,1,200,14,100,1,1,0.3489
8,888,250,8,6,0,200,7,80,1,1,0.3483
8,874,250,7,3,0,200,7,80,1,1,0.3481
6,872,250,6,17,1,200,10,120,1,1,0.3478
6,883,250,7,10,1,200,18,100,1,1,0.3473
6,867,250,5,12,1,200,30,100,1,1,0.3462
6,861,250,6,10,1,200,22,100,1,1,0.3458
6,879,250,5,13,1,200,65,100,1,1,0.3447
7,873,500,8,13,0,200,10,100,1,1,0.3445
6,870,250,8,9,1,200,20,100,1,1,0.3431
6,890,250,6,2,1,200,27,80,1,1,0.3427
6,885,250,8,14,1,200,20,120,1,1,0.3416
6,870,500,6,13,1,200,53,100,1,1,0.3414
7,887,250,6,3,0,200,10,80,1,1,0.3397
8,882,250,5,15,0,200,24,120,1,1,0.3396
7,884,500,7,4,0,200,11,80,1,1,0.3389
6,861,500,6,15,1,200,51,120,1,1,0.3389
6,865,250,8,12,1,200,9,100,1,8,0.3382
9,875,250,6,4,0,200,31,80,1,1,0.3375
7,864,250,6,20,0,200,14,140,1,1,0.3374
10,879,250,8,5,0,200,8,80,1,1,0.3374
7,879,250,7,4,0,200,23,80,1,1,0.3369
7,875,250,5,10,0,200,32,100,1,1,0.3365
10,884,250,8,8,0,200,12,100,1,1,0.3355
9,871,250,5,4,0,200,33,80,1,1,0.3337
6,865,500,5,16,1,200,61,120,1,1,0.3333
6,863,500,7,11,1,200,55,100,1,1,0.3333
7,879,250,8,13,0,200,19,100,1,1,0.3330
10,865,250,7,11,0,200,8,100,1,1,0.3323
8,873,250,8,10,0,200,47,100,1,1,0.3322
9,883,250,6,7,0,200,65,80,1,1,0.3321
7,864,250,6,12,0,200,28,100,1,1,0.3319
7,879,250,6,14,0,200,30,120,1,1,0.3319
8,886,250,8,16,0,200,16,120,1,1,0.3317
7,890,500,5,9,0,200,29,100,1,1,0.3313
7,890,500,6,15,0,200,25,120,1,1,0.3313
8,885,250,6,12,0,200,64,100,1,1,0.3306
8,884,250,6,7,0,200,46,80,1,1,0.3299
6,865,500,8,6,1,200,50,80,1,1,0.3298
9,878,250,7,5,0,200,99,80,1,1,0.3295
7,880,250,7,5,0,200,38,80,1,1,0.3294
6,881,250,6,11,1,200,39,100,1,1,0.3293
8,881,250,8,14,0,200,51,120,1,1,0.3287
7,882,250,8,4,0,200,14,80,1,1,0.3287
7,888,250,5,12,0,200,27,100,1,1,0.3282
8,887,250,8,17,0,200,22,120,1,1,0.3280
7,860,250,8,11,0,200,20,100,1,1,0.3279
9,864,250,6,2,0,200,11,80,1,1,0.3279
9,880,125,7,12,0,200,22,100,1,1,0.3276
7,874,250,5,6,0,200,45,80,1,1,0.3275
9,866,250,7,14,0,200,65,120,1,1,0.3274
9,881,250,8,14,0,200,59,120,1,1,0.3271
9,882,250,7,2,0,200,56,80,1,1,0.3270
7,864,250,6,14,0,200,44,120,1,1,0.3267
6,885,250,7,12,1,200,43,100,1,1,0.3265
6,878,250,8,10,1,200,16,100,1,1,0.3263
7,866,500,5,12,0,200,29,100,1,1,0.3263
6,880,500,6,20,1,200,53,140,1,1,0.3259
8,886,250,7,8,0,200,85,100,1,1,0.3259
7,881,500,7,7,0,200,28,80,1,1,0.3255
8,879,125,8,9,0,200,9,100,1,1,0.3251
9,874,250,5,9,0,200,89,100,1,1,0.3248
