iteration,reward,timestamp
1,0.3295,2026-01-27 21:00:33
2,0.3858,2026-01-27 21:00:36
3,0.2561,2026-01-27 21:00:39
4,0.2056,2026-01-27 21:01:18
5,0.1787,2026-01-27 21:01:30
6,0.2614,2026-01-27 21:01:39
7,0.1615,2026-01-27 21:20:00
8,0.2118,2026-01-27 21:20:17
9,0.2597,2026-01-27 21:20:22
10,0.2676,2026-01-27 21:20:26
11,0.3737,2026-01-27 21:20:31
12,0.2335,2026-01-27 21:20:35
13,0.3044,2026-01-27 21:20:41
14,0.2998,2026-01-27 21:22:05
15,0.2073,2026-01-27 21:22:17
16,0.3149,2026-01-27 21:22:28
17,0.3808,2026-01-27 21:22:31
18,0.1959,2026-01-27 21:22:40
19,0.3808,2026-01-27 21:22:48
20,0.3833,2026-01-27 21:22:51
21,0.3095,2026-01-27 21:22:54
22,0.2595,2026-01-27 21:22:58
23,0.2693,2026-01-27 21:23:01
24,0.3808,2026-01-27 21:23:04
25,0.3833,2026-01-27 21:23:07
26,0.3833,2026-01-27 21:23:09
27,0.2654,2026-01-27 21:23:12
28,0.1904,2026-01-27 21:23:28
29,0.2359,2026-01-27 21:23:46
30,0.3833,2026-01-27 21:23:51
31,0.2722,2026-01-27 21:23:54
32,0.2153,2026-01-27 21:24:07
33,0.3142,2026-01-27 21:24:18
34,0.3808,2026-01-27 21:24:21
35,0.2495,2026-01-27 21:24:25
36,0.2405,2026-01-27 21:24:33
37,0.2915,2026-01-27 21:24:40
38,0.3184,2026-01-27 21:24:43
39,0.3114,2026-01-27 21:24:46
40,0.3833,2026-01-27 21:24:50
41,0.2764,2026-01-27 21:24:53
42,0.3808,2026-01-27 21:24:56
43,0.3808,2026-01-27 21:24:59
44,0.2739,2026-01-27 21:25:02
45,0.2767,2026-01-27 21:25:06
46,0.3241,2026-01-27 21:25:11
47,0.1778,2026-01-27 21:25:22
48,0.2320,2026-01-27 21:25:33
49,0.3758,2026-01-27 21:25:38
50,0.3783,2026-01-27 21:25:41
51,0.2420,2026-01-27 21:25:44
52,0.3833,2026-01-27 21:25:47
53,0.2357,2026-01-27 21:25:54
54,0.3783,2026-01-27 21:25:59
55,0.2627,2026-01-27 21:26:04
56,0.3636,2026-01-27 21:26:09
57,0.2144,2026-01-27 21:26:16
58,0.2610,2026-01-27 21:26:23
59,0.3722,2026-01-27 21:27:47
60,0.3772,2026-01-27 21:27:50
61,0.2937,2026-01-27 21:27:53
62,0.3701,2026-01-27 21:27:56
63,0.3751,2026-01-27 21:27:59
64,0.1238,2026-01-27 21:28:04
65,0.2834,2026-01-27 21:30:08
66,0.2881,2026-01-27 21:30:11
67,0.1900,2026-01-27 21:30:18
68,0.1938,2026-01-27 21:30:25
69,0.3737,2026-01-27 21:30:28
70,0.3004,2026-01-27 21:30:32
71,0.2907,2026-01-27 21:30:38
72,0.3742,2026-01-27 21:30:42
73,0.2777,2026-01-27 21:30:45
74,0.2276,2026-01-27 21:30:49
75,0.2638,2026-01-27 21:30:54
76,0.2682,2026-01-27 21:30:58
77,0.3747,2026-01-27 21:31:02
78,0.2480,2026-01-27 21:31:05
79,0.3747,2026-01-27 21:31:08
80,0.2859,2026-01-27 21:31:11
81,0.2406,2026-01-27 21:31:15
82,0.3747,2026-01-27 21:31:18
83,0.2298,2026-01-27 21:31:23
84,0.2419,2026-01-27 21:31:30
85,0.3747,2026-01-27 21:31:35
86,0.2867,2026-01-27 21:32:02
87,0.2903,2026-01-27 21:32:07
88,0.2894,2026-01-27 21:32:13
89,0.2200,2026-01-27 21:32:17
90,0.2830,2026-01-27 21:32:20
91,0.3710,2026-01-27 21:32:24
92,0.2825,2026-01-27 21:32:27
93,0.3660,2026-01-27 21:32:31
94,0.3751,2026-01-27 21:32:33
95,0.2189,2026-01-27 21:32:36
96,0.3751,2026-01-27 21:32:40
97,0.2994,2026-01-27 21:32:42
98,0.2732,2026-01-27 21:32:47
99,0.2907,2026-01-27 21:32:51
100,0.2276,2026-01-27 21:32:55
101,0.3685,2026-01-27 21:32:59
102,0.2227,2026-01-27 21:33:03
103,0.3808,2026-01-27 21:34:26
104,0.3833,2026-01-27 21:34:29
105,0.3017,2026-01-27 21:34:32
106,0.3858,2026-01-27 21:34:35
107,0.2992,2026-01-27 21:34:38
108,0.3833,2026-01-27 21:34:41
109,0.3808,2026-01-27 21:34:43
110,0.1855,2026-01-27 21:35:00
111,0.2769,2026-01-27 21:35:15
112,0.3758,2026-01-27 21:35:18
