SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,876,500,8,11,1,200,13,100,1,742,0.3960
6,871,500,8,11,1,200,26,100,1,1,0.3901
6,868,500,8,12,1,200,20,100,1,88,0.3858
6,881,250,8,10,1,200,10,100,1,1,0.3636
7,871,250,7,16,0,200,9,120,1,1,0.3394
7,875,250,5,16,0,200,21,120,1,1,0.3329
7,874,250,8,7,0,200,24,80,1,1,0.3295
7,864,250,6,14,0,200,15,120,1,1,0.3279
6,889,500,6,6,1,200,59,80,1,1,0.3262
9,873,125,6,10,0,200,17,100,1,1,0.3241
8,889,250,8,16,0,200,88,120,1,1,0.3239
6,890,500,8,4,1,200,64,80,1,1,0.3200
8,876,250,7,16,0,200,35,120,1,1,0.3198
9,864,250,7,11,0,200,27,100,1,1,0.3184
6,860,250,7,8,1,200,26,100,1,1,0.3166
9,886,250,8,8,0,200,82,100,1,1,0.3165
8,886,250,6,5,0,200,30,80,1,1,0.3149
6,884,125,6,2,1,200,17,80,1,1,0.3142
6,868,250,8,5,1,200,22,80,1,1,0.3125
8,885,250,7,14,0,200,91,120,1,1,0.3114
8,882,250,7,3,0,200,64,80,1,1,0.3114
8,883,250,6,10,0,200,75,100,1,1,0.3095
8,886,125,6,15,0,200,31,120,1,1,0.3094
6,882,500,5,4,1,200,93,80,1,1,0.3092
8,885,125,7,17,0,200,8,120,1,1,0.3053
6,885,125,7,11,1,200,6,100,1,1,0.3044
9,873,250,7,6,0,200,99,80,1,1,0.3041
8,883,500,7,12,0,200,25,100,1,1,0.3037
9,861,250,7,16,0,200,48,120,1,1,0.3032
6,861,250,5,11,1,200,52,100,1,1,0.3017
9,888,250,8,4,0,200,56,80,1,1,0.3004
9,880,125,6,7,0,200,60,80,1,1,0.2999
8,884,250,8,7,0,200,70,80,1,1,0.2998
7,882,250,6,10,0,200,92,100,1,1,0.2994
8,866,250,5,6,0,200,14,80,1,1,0.2992
8,880,250,8,14,0,200,56,120,1,1,0.2967
7,875,250,5,17,0,200,85,120,1,1,0.2961
8,869,250,8,2,0,200,41,80,1,1,0.2951
6,877,125,7,7,1,200,9,80,1,1,0.2937
7,860,250,8,10,0,200,76,100,1,1,0.2915
10,886,250,7,12,0,200,93,100,1,1,0.2907
8,875,500,7,6,0,200,13,80,1,1,0.2907
11,886,250,8,13,0,200,6,100,1,1,0.2903
8,877,125,6,15,0,200,71,120,1,1,0.2894
8,864,125,8,3,0,200,34,80,1,1,0.2891
8,863,250,5,17,0,200,35,120,1,1,0.2886
7,883,125,5,6,0,200,27,80,1,1,0.2881
7,867,500,7,6,0,200,23,80,1,1,0.2881
6,861,500,5,11,1,200,75,100,1,1,0.2877
6,869,500,5,7,1,200,100,80,1,1,0.2869
9,870,125,6,13,0,200,69,100,1,1,0.2869
6,873,125,7,13,1,200,6,100,1,1,0.2867
6,863,250,5,11,1,200,92,100,1,1,0.2859
