iteration,reward,timestamp
1,0.3043,2026-01-29 12:24:45
2,0.2684,2026-01-29 12:24:47
3,0.2597,2026-01-29 12:24:49
4,0.1622,2026-01-29 12:25:03
5,0.3043,2026-01-29 12:25:15
6,0.1763,2026-01-29 12:25:22
7,0.3389,2026-01-29 12:25:28
8,0.3439,2026-01-29 12:25:29
9,0.1829,2026-01-29 12:25:39
10,0.3217,2026-01-29 12:25:49
11,0.3414,2026-01-29 12:25:50
12,0.3414,2026-01-29 12:25:51
13,0.2540,2026-01-29 12:25:53
14,0.3057,2026-01-29 12:25:54
15,0.2501,2026-01-29 12:25:57
16,0.2875,2026-01-29 12:26:00
17,0.3071,2026-01-29 12:26:01
18,0.3439,2026-01-29 12:26:02
19,0.2796,2026-01-29 12:26:03
20,0.2865,2026-01-29 12:26:04
21,0.3368,2026-01-29 12:26:05
22,0.3439,2026-01-29 12:26:06
23,0.3414,2026-01-29 12:26:07
24,0.2063,2026-01-29 12:26:09
25,0.3303,2026-01-29 12:26:10
26,0.2180,2026-01-29 12:26:12
27,0.3439,2026-01-29 12:26:14
28,0.3136,2026-01-29 12:26:15
29,0.3661,2026-01-29 12:26:36
30,0.2870,2026-01-29 12:26:38
31,0.3686,2026-01-29 12:26:40
32,0.2621,2026-01-29 12:26:40
33,0.2843,2026-01-29 12:26:43
34,0.1560,2026-01-29 12:26:49
35,0.2861,2026-01-29 12:26:54
36,0.2975,2026-01-29 12:26:59
37,0.2671,2026-01-29 12:27:05
38,0.3646,2026-01-29 12:27:30
39,0.2782,2026-01-29 12:27:31
40,0.2455,2026-01-29 12:27:32
41,0.3017,2026-01-29 12:27:34
42,0.2149,2026-01-29 12:27:37
43,0.2116,2026-01-29 12:27:40
44,0.3266,2026-01-29 12:27:42
45,0.3713,2026-01-29 12:27:43
46,0.2258,2026-01-29 12:27:47
47,0.3312,2026-01-29 12:27:51
48,0.2392,2026-01-29 12:27:54
49,0.2807,2026-01-29 12:28:00
50,0.2653,2026-01-29 12:28:03
51,0.2827,2026-01-29 12:28:04
52,0.3838,2026-01-29 12:28:06
53,0.3738,2026-01-29 12:28:06
54,0.3279,2026-01-29 12:28:07
55,0.3763,2026-01-29 12:28:08
56,0.2085,2026-01-29 12:28:10
57,0.2912,2026-01-29 12:28:13
58,0.3688,2026-01-29 12:28:26
59,0.1774,2026-01-29 12:28:35
60,0.1390,2026-01-29 12:28:46
61,0.2987,2026-01-29 12:30:06
62,0.3082,2026-01-29 12:30:06
63,0.1835,2026-01-29 12:30:17
64,0.2710,2026-01-29 12:30:26
65,0.2841,2026-01-29 12:30:27
66,0.3738,2026-01-29 12:30:28
67,0.2993,2026-01-29 12:30:29
68,0.2155,2026-01-29 12:30:31
69,0.3763,2026-01-29 12:30:33
70,0.2810,2026-01-29 12:30:34
71,0.2313,2026-01-29 12:30:36
72,0.2875,2026-01-29 12:30:39
73,0.3058,2026-01-29 12:30:40
74,0.3169,2026-01-29 12:30:41
75,0.2799,2026-01-29 12:31:45
76,0.2930,2026-01-29 12:31:46
77,0.3738,2026-01-29 12:31:48
78,0.3063,2026-01-29 12:31:49
79,0.3294,2026-01-29 12:31:51
80,0.2930,2026-01-29 12:31:52
81,0.3153,2026-01-29 12:31:53
82,0.1719,2026-01-29 12:31:59
83,0.2104,2026-01-29 12:33:13
84,0.2334,2026-01-29 12:33:17
85,0.2604,2026-01-29 12:33:19
86,0.2735,2026-01-29 12:33:21
87,0.3788,2026-01-29 12:33:24
88,0.2553,2026-01-29 12:33:24
89,0.3838,2026-01-29 12:33:25
90,0.2079,2026-01-29 12:33:30
91,0.1865,2026-01-29 12:33:43
92,0.2679,2026-01-29 12:33:52
93,0.2730,2026-01-29 12:33:53
94,0.2449,2026-01-29 12:33:55
95,0.3788,2026-01-29 12:33:56
96,0.3813,2026-01-29 12:33:57
97,0.1525,2026-01-29 12:33:59
98,0.3132,2026-01-29 12:34:01
99,0.3868,2026-01-29 12:34:01
100,0.2807,2026-01-29 12:34:02
101,0.3868,2026-01-29 12:34:03
102,0.2713,2026-01-29 12:34:04
103,0.3843,2026-01-29 12:34:05
104,0.3868,2026-01-29 12:34:05
105,0.3018,2026-01-29 12:34:06
106,0.1448,2026-01-29 12:34:26
107,0.2832,2026-01-29 12:34:42
108,0.1951,2026-01-29 12:34:57
109,0.2079,2026-01-29 12:35:16
110,0.2950,2026-01-29 12:35:24
111,0.2159,2026-01-29 12:35:27
112,0.3261,2026-01-29 12:35:28
113,0.2809,2026-01-29 12:35:29
114,0.3038,2026-01-29 12:35:29
115,0.3252,2026-01-29 12:35:30
116,0.3007,2026-01-29 12:35:31
117,0.2822,2026-01-29 12:35:32
118,0.3121,2026-01-29 12:35:33
119,0.1774,2026-01-29 12:35:42
120,0.2224,2026-01-29 12:35:53
121,0.3368,2026-01-29 12:35:55
122,0.2464,2026-01-29 12:35:58
123,0.2226,2026-01-29 12:36:01
124,0.2632,2026-01-29 12:36:04
125,0.2349,2026-01-29 12:36:07
126,0.2654,2026-01-29 12:36:10
127,0.2958,2026-01-29 12:36:11
128,0.1548,2026-01-29 12:36:25
129,0.3142,2026-01-29 12:36:38
130,0.2509,2026-01-29 12:36:39
131,0.2815,2026-01-29 12:36:41
132,0.3918,2026-01-29 12:36:42
133,0.1573,2026-01-29 12:36:50
134,0.2993,2026-01-29 12:36:58
135,0.3818,2026-01-29 12:36:59
136,0.2275,2026-01-29 12:37:01
137,0.2382,2026-01-29 12:37:04
138,0.2984,2026-01-29 12:37:06
139,0.2720,2026-01-29 12:37:08
140,0.2060,2026-01-29 12:37:12
141,0.2377,2026-01-29 12:37:16
142,0.1563,2026-01-29 12:37:21
143,0.3843,2026-01-29 12:37:24
144,0.3868,2026-01-29 12:37:25
145,0.2362,2026-01-29 12:37:30
146,0.1547,2026-01-29 12:37:39
147,0.2974,2026-01-29 12:37:43
148,0.2881,2026-01-29 12:37:44
149,0.1533,2026-01-29 12:37:53
150,0.3843,2026-01-29 12:38:02
151,0.2902,2026-01-29 12:38:03
152,0.3868,2026-01-29 12:38:04
153,0.2841,2026-01-29 12:38:05
154,0.2339,2026-01-29 12:38:07
155,0.1897,2026-01-29 12:38:10
156,0.2904,2026-01-29 12:38:13
157,0.1679,2026-01-29 12:38:20
158,0.3162,2026-01-29 12:39:32
159,0.2819,2026-01-29 12:39:35
160,0.2828,2026-01-29 12:39:38
161,0.2490,2026-01-29 12:39:38
162,0.3843,2026-01-29 12:39:39
163,0.3742,2026-01-29 12:39:40
164,0.2934,2026-01-29 12:39:41
165,0.3843,2026-01-29 12:39:42
166,0.2309,2026-01-29 12:39:43
167,0.1994,2026-01-29 12:39:50
168,0.2481,2026-01-29 12:40:00
169,0.3283,2026-01-29 12:40:04
170,0.1999,2026-01-29 12:40:07
171,0.3943,2026-01-29 12:40:10
172,0.2489,2026-01-29 12:40:14
173,0.3227,2026-01-29 12:40:18
174,0.2097,2026-01-29 12:40:22
175,0.2756,2026-01-29 12:40:24
176,0.2799,2026-01-29 12:40:26
177,0.3843,2026-01-29 12:40:29
178,0.3843,2026-01-29 12:40:30
179,0.1742,2026-01-29 12:40:44
180,0.2883,2026-01-29 12:40:58
181,0.3843,2026-01-29 12:40:59
182,0.1786,2026-01-29 12:41:08
183,0.2340,2026-01-29 12:41:20
184,0.2058,2026-01-29 12:41:28
185,0.2194,2026-01-29 12:41:34
186,0.2705,2026-01-29 12:41:37
187,0.3082,2026-01-29 12:41:38
188,0.2552,2026-01-29 12:41:51
189,0.2949,2026-01-29 12:41:52
190,0.1597,2026-01-29 12:42:05
191,0.2371,2026-01-29 12:42:19
192,0.3074,2026-01-29 12:42:22
193,0.1910,2026-01-29 12:42:35
194,0.3121,2026-01-29 12:42:48
195,0.3843,2026-01-29 12:42:50
196,0.2861,2026-01-29 12:42:51
197,0.3070,2026-01-29 12:42:52
198,0.2823,2026-01-29 12:42:53
199,0.2548,2026-01-29 12:42:54
200,0.3727,2026-01-29 12:42:55
201,0.2695,2026-01-29 12:42:57
202,0.3893,2026-01-29 12:42:58
203,0.3285,2026-01-29 12:42:58
204,0.2555,2026-01-29 12:43:00
205,0.2694,2026-01-29 12:43:02
206,0.3172,2026-01-29 12:43:04
207,0.1473,2026-01-29 12:43:07
208,0.2220,2026-01-29 12:44:52
209,0.1877,2026-01-29 12:44:57
210,0.2586,2026-01-29 12:45:02
211,0.2823,2026-01-29 12:45:06
212,0.3893,2026-01-29 12:45:07
213,0.3122,2026-01-29 12:45:08
214,0.3893,2026-01-29 12:45:08
215,0.1698,2026-01-29 12:45:14
216,0.3893,2026-01-29 12:45:18
217,0.2008,2026-01-29 12:45:24
218,0.3868,2026-01-29 12:45:31
219,0.2757,2026-01-29 12:45:32
220,0.3105,2026-01-29 12:45:33
221,0.3843,2026-01-29 12:45:35
222,0.2455,2026-01-29 12:45:36
223,0.3295,2026-01-29 12:45:37
224,0.3344,2026-01-29 12:45:38
225,0.2885,2026-01-29 12:45:50
226,0.3130,2026-01-29 12:45:51
227,0.3868,2026-01-29 12:45:52
228,0.3868,2026-01-29 12:45:53
229,0.3868,2026-01-29 12:45:53
230,0.2391,2026-01-29 12:45:58
231,0.1865,2026-01-29 12:46:08
232,0.3843,2026-01-29 12:46:14
233,0.3868,2026-01-29 12:46:15
234,0.2693,2026-01-29 12:46:16
235,0.2086,2026-01-29 12:46:19
236,0.2646,2026-01-29 12:46:22
237,0.3868,2026-01-29 12:46:24
238,0.3843,2026-01-29 12:46:24
239,0.3868,2026-01-29 12:46:25
240,0.3091,2026-01-29 12:46:26
241,0.1303,2026-01-29 12:46:45
242,0.2984,2026-01-29 12:47:00
243,0.2253,2026-01-29 12:47:04
244,0.3147,2026-01-29 12:47:06
245,0.2696,2026-01-29 12:47:07
246,0.3843,2026-01-29 12:47:08
247,0.3036,2026-01-29 12:47:10
248,0.2854,2026-01-29 12:47:11
249,0.2263,2026-01-29 12:47:14
250,0.2790,2026-01-29 12:47:16
251,0.2763,2026-01-29 12:47:17
252,0.2950,2026-01-29 12:47:21
253,0.2519,2026-01-29 12:47:26
254,0.3013,2026-01-29 12:47:29
255,0.2657,2026-01-29 12:47:34
256,0.3059,2026-01-29 12:47:38
257,0.3007,2026-01-29 12:47:41
258,0.3176,2026-01-29 12:47:44
259,0.3082,2026-01-29 12:47:45
260,0.2373,2026-01-29 12:47:46
261,0.3007,2026-01-29 12:47:48
262,0.3793,2026-01-29 12:47:49
263,0.1897,2026-01-29 12:47:50
264,0.3098,2026-01-29 12:47:52
265,0.3868,2026-01-29 12:47:53
266,0.3292,2026-01-29 12:47:54
267,0.3868,2026-01-29 12:47:54
268,0.3868,2026-01-29 12:47:55
269,0.2279,2026-01-29 12:48:00
270,0.1497,2026-01-29 12:48:10
271,0.2109,2026-01-29 12:48:15
272,0.3072,2026-01-29 12:48:17
273,0.2710,2026-01-29 12:48:20
274,0.2902,2026-01-29 12:48:22
275,0.1545,2026-01-29 12:48:35
276,0.2548,2026-01-29 12:48:38
277,0.2628,2026-01-29 12:48:42
278,0.3150,2026-01-29 12:48:46
279,0.3093,2026-01-29 12:48:58
280,0.2865,2026-01-29 12:49:00
281,0.2768,2026-01-29 12:49:01
282,0.4037,2026-01-29 12:49:01
283,0.3364,2026-01-29 12:49:02
284,0.4012,2026-01-29 12:49:03
285,0.2834,2026-01-29 12:49:03
286,0.1910,2026-01-29 12:49:06
287,0.4012,2026-01-29 12:50:26
288,0.1875,2026-01-29 12:50:34
289,0.2504,2026-01-29 12:50:42
290,0.2556,2026-01-29 12:50:43
291,0.2945,2026-01-29 12:50:44
292,0.2869,2026-01-29 12:50:46
293,0.4012,2026-01-29 12:50:47
294,0.1654,2026-01-29 12:50:50
295,0.3158,2026-01-29 12:51:57
296,0.2127,2026-01-29 12:52:00
297,0.1596,2026-01-29 12:52:05
298,0.3194,2026-01-29 12:52:09
299,0.3156,2026-01-29 12:53:13
300,0.2841,2026-01-29 12:53:15
301,0.4308,2026-01-29 12:53:16
302,0.4333,2026-01-29 12:53:16
303,0.3034,2026-01-29 12:53:17
304,0.2729,2026-01-29 12:53:18
305,0.2997,2026-01-29 12:53:20
306,0.3187,2026-01-29 12:53:21
307,0.4408,2026-01-29 12:53:22
308,0.3210,2026-01-29 12:53:22
309,0.3003,2026-01-29 12:53:24
310,0.2867,2026-01-29 12:53:25
311,0.2207,2026-01-29 12:53:27
312,0.2112,2026-01-29 12:53:34
313,0.4383,2026-01-29 12:53:39
314,0.2973,2026-01-29 12:53:40
315,0.4283,2026-01-29 12:53:41
316,0.1409,2026-01-29 12:53:57
317,0.2013,2026-01-29 12:54:12
318,0.1636,2026-01-29 12:54:20
319,0.2375,2026-01-29 12:54:30
320,0.3019,2026-01-29 12:54:31
321,0.2731,2026-01-29 12:54:32
322,0.1882,2026-01-29 12:54:41
323,0.1947,2026-01-29 12:54:54
324,0.4358,2026-01-29 12:55:01
325,0.2379,2026-01-29 12:55:02
326,0.4483,2026-01-29 12:55:03
327,0.2689,2026-01-29 12:55:04
328,0.4333,2026-01-29 12:55:05
329,0.2340,2026-01-29 12:55:07
330,0.2044,2026-01-29 12:55:10
331,0.4333,2026-01-29 12:55:13
332,0.3308,2026-01-29 12:55:13
333,0.4383,2026-01-29 12:55:14
334,0.2371,2026-01-29 12:55:18
335,0.2862,2026-01-29 12:55:23
336,0.2635,2026-01-29 12:55:28
337,0.2854,2026-01-29 12:55:41
338,0.2368,2026-01-29 12:55:43
339,0.3177,2026-01-29 12:55:44
340,0.2911,2026-01-29 12:55:46
341,0.4333,2026-01-29 12:55:47
342,0.2890,2026-01-29 12:55:49
343,0.2578,2026-01-29 12:55:50
344,0.1695,2026-01-29 12:55:59
345,0.2906,2026-01-29 12:56:06
346,0.2787,2026-01-29 12:56:08
347,0.2026,2026-01-29 12:56:14
348,0.3511,2026-01-29 12:56:20
349,0.2577,2026-01-29 12:56:33
350,0.3036,2026-01-29 12:56:34
351,0.4383,2026-01-29 12:56:36
352,0.2586,2026-01-29 12:56:40
353,0.1581,2026-01-29 12:56:45
354,0.2917,2026-01-29 12:56:49
355,0.1881,2026-01-29 12:57:00
356,0.4333,2026-01-29 12:57:06
357,0.1630,2026-01-29 12:57:26
358,0.4333,2026-01-29 12:57:43
359,0.4333,2026-01-29 12:57:43
360,0.2054,2026-01-29 12:57:50
361,0.4283,2026-01-29 12:57:56
362,0.4283,2026-01-29 12:57:56
363,0.2588,2026-01-29 12:58:01
364,0.2924,2026-01-29 12:58:04
365,0.1937,2026-01-29 12:58:10
366,0.2492,2026-01-29 12:58:14
367,0.3232,2026-01-29 12:58:16
368,0.1866,2026-01-29 12:58:19
369,0.2590,2026-01-29 12:58:23
370,0.2813,2026-01-29 12:58:24
371,0.2752,2026-01-29 12:58:27
372,0.4283,2026-01-29 12:58:40
373,0.2461,2026-01-29 12:58:43
374,0.2813,2026-01-29 12:58:45
375,0.3007,2026-01-29 12:58:46
376,0.3357,2026-01-29 12:58:47
377,0.4258,2026-01-29 12:58:48
378,0.2850,2026-01-29 12:58:49
379,0.2890,2026-01-29 12:58:49
380,0.2901,2026-01-29 12:58:50
381,0.2626,2026-01-29 12:58:51
382,0.2127,2026-01-29 12:58:54
383,0.4283,2026-01-29 12:58:58
384,0.3311,2026-01-29 12:58:59
385,0.4358,2026-01-29 12:59:01
386,0.2696,2026-01-29 12:59:01
387,0.4333,2026-01-29 12:59:02
388,0.3013,2026-01-29 12:59:03
389,0.2632,2026-01-29 12:59:07
390,0.2334,2026-01-29 12:59:10
391,0.2127,2026-01-29 12:59:19
392,0.2319,2026-01-29 12:59:29
393,0.2364,2026-01-29 12:59:35
394,0.3161,2026-01-29 12:59:37
395,0.2520,2026-01-29 12:59:40
396,0.2477,2026-01-29 12:59:43
397,0.2950,2026-01-29 12:59:45
398,0.3252,2026-01-29 12:59:46
399,0.2981,2026-01-29 12:59:47
400,0.4333,2026-01-29 12:59:47
401,0.1612,2026-01-29 12:59:50
402,0.2485,2026-01-29 13:01:36
403,0.4358,2026-01-29 13:01:39
404,0.2758,2026-01-29 13:01:40
405,0.3094,2026-01-29 13:01:43
406,0.2138,2026-01-29 13:01:46
407,0.2569,2026-01-29 13:01:48
408,0.2902,2026-01-29 13:01:51
409,0.2101,2026-01-29 13:01:56
410,0.3213,2026-01-29 13:02:00
411,0.1820,2026-01-29 13:02:01
412,0.2843,2026-01-29 13:02:03
413,0.3250,2026-01-29 13:02:05
414,0.4333,2026-01-29 13:02:06
415,0.1651,2026-01-29 13:02:16
416,0.2778,2026-01-29 13:02:25
417,0.3130,2026-01-29 13:02:26
418,0.2994,2026-01-29 13:02:28
419,0.2750,2026-01-29 13:02:31
420,0.2206,2026-01-29 13:02:38
421,0.4383,2026-01-29 13:02:53
422,0.2756,2026-01-29 13:02:56
423,0.2859,2026-01-29 13:03:10
424,0.2826,2026-01-29 13:03:11
425,0.1773,2026-01-29 13:03:20
426,0.2955,2026-01-29 13:03:28
427,0.1488,2026-01-29 13:03:45
428,0.1808,2026-01-29 13:04:01
429,0.2055,2026-01-29 13:04:05
430,0.2913,2026-01-29 13:04:07
431,0.3006,2026-01-29 13:04:08
432,0.3128,2026-01-29 13:04:09
433,0.4383,2026-01-29 13:04:20
434,0.1428,2026-01-29 13:04:34
435,0.4333,2026-01-29 13:04:46
436,0.2433,2026-01-29 13:04:50
437,0.2793,2026-01-29 13:05:05
438,0.2231,2026-01-29 13:05:09
439,0.1744,2026-01-29 13:05:24
440,0.2060,2026-01-29 13:05:38
441,0.1769,2026-01-29 13:05:48
442,0.4333,2026-01-29 13:05:54
443,0.1937,2026-01-29 13:06:01
444,0.2994,2026-01-29 13:06:09
445,0.2726,2026-01-29 13:06:10
446,0.3022,2026-01-29 13:06:12
447,0.2580,2026-01-29 13:06:19
448,0.1575,2026-01-29 13:06:29
449,0.1761,2026-01-29 13:06:40
450,0.2038,2026-01-29 13:06:50
451,0.3944,2026-01-29 13:06:56
452,0.4383,2026-01-29 13:06:57
453,0.4358,2026-01-29 13:06:57
454,0.4358,2026-01-29 13:06:58
455,0.3288,2026-01-29 13:06:59
456,0.1707,2026-01-29 13:07:06
457,0.3058,2026-01-29 13:07:14
458,0.2905,2026-01-29 13:07:14
459,0.3311,2026-01-29 13:07:15
460,0.2824,2026-01-29 13:07:16
461,0.3320,2026-01-29 13:07:17
462,0.2954,2026-01-29 13:07:18
463,0.2608,2026-01-29 13:07:20
464,0.2942,2026-01-29 13:07:21
465,0.1376,2026-01-29 13:07:38
466,0.1445,2026-01-29 13:08:47
467,0.2987,2026-01-29 13:09:00
468,0.2652,2026-01-29 13:09:03
469,0.2448,2026-01-29 13:09:06
470,0.2788,2026-01-29 13:09:08
471,0.2787,2026-01-29 13:09:09
472,0.4001,2026-01-29 13:09:10
473,0.4358,2026-01-29 13:09:10
474,0.2447,2026-01-29 13:09:16
475,0.2213,2026-01-29 13:09:24
476,0.2481,2026-01-29 13:09:26
477,0.2664,2026-01-29 13:09:28
478,0.2775,2026-01-29 13:09:32
479,0.4358,2026-01-29 13:09:34
480,0.2329,2026-01-29 13:09:35
481,0.2712,2026-01-29 13:09:36
482,0.3087,2026-01-29 13:09:37
483,0.1560,2026-01-29 13:09:41
484,0.2642,2026-01-29 13:10:55
485,0.2680,2026-01-29 13:10:58
486,0.3325,2026-01-29 13:11:00
487,0.3036,2026-01-29 13:11:02
488,0.2466,2026-01-29 13:11:04
489,0.2161,2026-01-29 13:11:10
490,0.3087,2026-01-29 13:11:14
491,0.2578,2026-01-29 13:11:15
492,0.2752,2026-01-29 13:11:17
493,0.4358,2026-01-29 13:11:18
494,0.2858,2026-01-29 13:11:20
495,0.2565,2026-01-29 13:11:23
496,0.4358,2026-01-29 13:11:24
497,0.2701,2026-01-29 13:11:25
498,0.1639,2026-01-29 13:11:33
499,0.2595,2026-01-29 13:11:42
500,0.2966,2026-01-29 13:11:44
501,0.2895,2026-01-29 13:11:46
502,0.2538,2026-01-29 13:11:47
503,0.3071,2026-01-29 13:11:47
504,0.2166,2026-01-29 13:11:50
505,0.3671,2026-01-29 13:12:03
506,0.3567,2026-01-29 13:13:06
507,0.3123,2026-01-29 13:13:07
508,0.2996,2026-01-29 13:13:08
509,0.2644,2026-01-29 13:13:09
510,0.1838,2026-01-29 13:13:19
511,0.3005,2026-01-29 13:13:29
512,0.3222,2026-01-29 13:13:31
513,0.2452,2026-01-29 13:13:33
514,0.4333,2026-01-29 13:13:34
515,0.2970,2026-01-29 13:13:36
516,0.4358,2026-01-29 13:13:37
517,0.2615,2026-01-29 13:13:40
518,0.2978,2026-01-29 13:13:42
519,0.2591,2026-01-29 13:13:44
520,0.2743,2026-01-29 13:13:45
521,0.1962,2026-01-29 13:13:48
522,0.3524,2026-01-29 13:13:50
523,0.2914,2026-01-29 13:13:51
524,0.2533,2026-01-29 13:13:54
525,0.3966,2026-01-29 13:13:57
526,0.2135,2026-01-29 13:13:58
527,0.3055,2026-01-29 13:14:00
528,0.2048,2026-01-29 13:14:04
529,0.4258,2026-01-29 13:14:07
530,0.2945,2026-01-29 13:14:07
531,0.3051,2026-01-29 13:14:09
532,0.3049,2026-01-29 13:14:12
533,0.2289,2026-01-29 13:14:17
534,0.2550,2026-01-29 13:14:22
535,0.2896,2026-01-29 13:14:24
536,0.1869,2026-01-29 13:14:32
537,0.1389,2026-01-29 13:14:40
538,0.3077,2026-01-29 13:14:54
539,0.2691,2026-01-29 13:14:54
540,0.2792,2026-01-29 13:14:55
541,0.3495,2026-01-29 13:14:56
542,0.2511,2026-01-29 13:14:58
543,0.1876,2026-01-29 13:15:01
544,0.2685,2026-01-29 13:15:04
545,0.3343,2026-01-29 13:15:05
546,0.2594,2026-01-29 13:15:06
547,0.1481,2026-01-29 13:15:15
548,0.2832,2026-01-29 13:15:24
549,0.2271,2026-01-29 13:15:28
550,0.4308,2026-01-29 13:15:31
551,0.4358,2026-01-29 13:15:32
552,0.2484,2026-01-29 13:15:35
553,0.2137,2026-01-29 13:15:43
554,0.2523,2026-01-29 13:15:50
555,0.2442,2026-01-29 13:15:56
556,0.2592,2026-01-29 13:16:01
557,0.3235,2026-01-29 13:16:02
558,0.1320,2026-01-29 13:16:18
559,0.2721,2026-01-29 13:16:30
560,0.2858,2026-01-29 13:16:31
561,0.3171,2026-01-29 13:16:32
562,0.1945,2026-01-29 13:16:34
563,0.2383,2026-01-29 13:16:39
564,0.4358,2026-01-29 13:16:45
565,0.4358,2026-01-29 13:16:45
566,0.2518,2026-01-29 13:16:47
567,0.2845,2026-01-29 13:16:48
568,0.2777,2026-01-29 13:16:50
569,0.2058,2026-01-29 13:16:56
570,0.2771,2026-01-29 13:17:00
571,0.3185,2026-01-29 13:17:02
572,0.2755,2026-01-29 13:17:04
573,0.2732,2026-01-29 13:17:08
574,0.2663,2026-01-29 13:17:11
575,0.1998,2026-01-29 13:17:14
576,0.2915,2026-01-29 13:17:17
577,0.3363,2026-01-29 13:17:18
578,0.3044,2026-01-29 13:17:19
579,0.2957,2026-01-29 13:17:20
580,0.3251,2026-01-29 13:17:22
581,0.3164,2026-01-29 13:17:23
582,0.3081,2026-01-29 13:17:26
583,0.2365,2026-01-29 13:17:27
584,0.2622,2026-01-29 13:17:31
585,0.2929,2026-01-29 13:17:34
586,0.1865,2026-01-29 13:17:41
587,0.3233,2026-01-29 13:17:47
588,0.2291,2026-01-29 13:17:50
589,0.1809,2026-01-29 13:18:01
590,0.2900,2026-01-29 13:18:08
591,0.1232,2026-01-29 13:18:12
592,0.1852,2026-01-29 13:19:53
593,0.2631,2026-01-29 13:20:00
594,0.4383,2026-01-29 13:20:01
595,0.2787,2026-01-29 13:20:03
596,0.2559,2026-01-29 13:20:06
597,0.2814,2026-01-29 13:20:09
598,0.3055,2026-01-29 13:20:10
599,0.2358,2026-01-29 13:20:13
600,0.2570,2026-01-29 13:20:16
601,0.3022,2026-01-29 13:20:18
602,0.3063,2026-01-29 13:20:20
603,0.2746,2026-01-29 13:20:22
604,0.2967,2026-01-29 13:20:25
605,0.3068,2026-01-29 13:20:27
606,0.2997,2026-01-29 13:20:29
607,0.4333,2026-01-29 13:20:31
608,0.4358,2026-01-29 13:20:31
609,0.2906,2026-01-29 13:20:33
610,0.4358,2026-01-29 13:20:34
611,0.2268,2026-01-29 13:20:40
612,0.2571,2026-01-29 13:20:47
613,0.3040,2026-01-29 13:20:48
614,0.1645,2026-01-29 13:20:49
615,0.4333,2026-01-29 13:20:51
616,0.2687,2026-01-29 13:21:03
617,0.4383,2026-01-29 13:21:04
618,0.2942,2026-01-29 13:21:05
619,0.3003,2026-01-29 13:21:06
620,0.2263,2026-01-29 13:21:11
621,0.1542,2026-01-29 13:21:34
622,0.2548,2026-01-29 13:21:47
623,0.2608,2026-01-29 13:22:00
624,0.1913,2026-01-29 13:22:05
625,0.2756,2026-01-29 13:22:11
626,0.4047,2026-01-29 13:22:13
627,0.1936,2026-01-29 13:22:17
628,0.2885,2026-01-29 13:22:21
629,0.1877,2026-01-29 13:22:31
630,0.3156,2026-01-29 13:22:39
631,0.2327,2026-01-29 13:22:41
632,0.2331,2026-01-29 13:22:44
633,0.4333,2026-01-29 13:22:45
634,0.3125,2026-01-29 13:22:46
635,0.2838,2026-01-29 13:22:47
636,0.2322,2026-01-29 13:22:50
637,0.2847,2026-01-29 13:22:53
638,0.4358,2026-01-29 13:22:53
639,0.4408,2026-01-29 13:22:54
640,0.1825,2026-01-29 13:22:58
641,0.2990,2026-01-29 13:23:03
642,0.4358,2026-01-29 13:23:04
643,0.1806,2026-01-29 13:23:14
644,0.2713,2026-01-29 13:23:21
645,0.2911,2026-01-29 13:23:23
646,0.4333,2026-01-29 13:23:24
647,0.2888,2026-01-29 13:23:25
648,0.2929,2026-01-29 13:23:26
649,0.2245,2026-01-29 13:23:29
650,0.3630,2026-01-29 13:23:32
651,0.4333,2026-01-29 13:23:33
652,0.2806,2026-01-29 13:23:34
653,0.2232,2026-01-29 13:23:36
654,0.3130,2026-01-29 13:23:36
655,0.3165,2026-01-29 13:23:38
656,0.3132,2026-01-29 13:23:39
657,0.2184,2026-01-29 13:23:43
658,0.4308,2026-01-29 13:23:47
659,0.3030,2026-01-29 13:23:48
