SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,885,500,5,15,1,200,18,120,1,128,0.4308
6,875,500,8,2,1,200,9,80,1,1,0.4047
6,873,500,6,16,1,200,23,120,1,4,0.4037
6,866,500,8,15,1,200,14,120,1,1,0.4006
6,890,500,8,15,1,200,11,120,1,1,0.4001
6,871,500,5,6,1,200,23,80,1,1,0.3966
6,880,500,8,7,1,200,15,80,1,1,0.3944
6,875,500,5,11,1,200,31,100,1,36,0.3868
6,861,500,7,7,1,200,21,80,1,1,0.3808
6,885,500,7,7,1,200,27,80,1,1,0.3742
6,875,250,7,15,1,200,9,120,1,1,0.3727
6,873,500,8,13,1,200,19,100,1,12,0.3713
6,871,250,5,20,1,200,6,140,1,1,0.3671
6,873,250,5,17,1,200,8,120,1,3,0.3661
6,869,500,7,8,1,200,33,100,1,1,0.3630
6,881,500,6,15,1,200,34,120,1,1,0.3606
6,869,250,7,13,1,200,11,100,1,1,0.3602
6,871,500,5,12,1,200,44,100,1,1,0.3567
6,881,250,7,5,1,200,9,80,1,1,0.3524
6,871,250,6,9,1,200,14,100,1,1,0.3520
7,872,500,6,16,0,200,14,120,1,1,0.3511
7,890,250,6,16,0,200,7,120,1,1,0.3499
6,861,250,6,14,1,200,13,120,1,1,0.3495
7,890,250,5,15,0,200,13,120,1,1,0.3412
6,889,500,7,2,1,200,39,80,1,9,0.3389
7,871,500,7,9,0,200,16,100,1,1,0.3368
6,878,500,6,15,1,200,49,120,1,1,0.3364
6,887,500,6,10,1,200,51,100,1,1,0.3363
6,865,500,5,9,1,200,57,100,1,1,0.3357
8,878,250,7,11,0,200,18,100,1,1,0.3344
6,873,500,5,9,1,200,60,100,1,1,0.3343
7,869,250,6,10,0,200,20,100,1,1,0.3325
6,877,250,6,5,1,200,22,80,1,1,0.3320
7,869,500,6,4,0,200,15,80,1,1,0.3312
6,878,500,8,17,1,200,40,120,1,1,0.3311
10,869,250,6,14,0,200,13,120,1,1,0.3311
7,889,500,5,17,0,200,30,120,1,1,0.3308
8,872,250,8,8,0,200,22,100,1,1,0.3303
8,870,250,6,12,0,200,47,100,1,1,0.3298
