SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,869,500,8,2,1,200,9,80,1,815,0.3986
6,882,500,6,10,1,200,27,100,1,1,0.3798
7,881,250,7,10,0,200,8,100,1,1,0.3366
6,878,500,8,7,1,200,46,80,1,3,0.3357
7,878,500,6,15,0,200,17,120,1,1,0.3345
7,873,250,5,14,0,200,27,120,1,1,0.3277
6,863,250,7,10,1,200,12,100,1,1,0.3249
8,876,250,6,20,0,200,12,140,1,1,0.3242
8,877,250,6,20,0,200,18,140,1,1,0.3221
9,884,250,5,13,0,200,58,100,1,1,0.3213
6,883,500,6,12,1,200,75,100,1,1,0.3164
6,879,500,6,12,1,200,82,100,1,1,0.3133
6,874,500,8,12,1,200,78,100,1,1,0.3102
6,877,500,7,16,1,200,80,120,1,1,0.3088
6,884,250,8,12,1,200,65,100,1,1,0.3082
6,889,500,7,15,1,200,79,120,1,1,0.3063
8,872,250,7,8,0,200,53,100,1,1,0.3053
7,889,500,5,8,0,200,40,100,1,1,0.3051
7,888,250,8,4,0,200,32,80,1,1,0.3051
8,881,125,7,8,0,200,23,100,1,1,0.3051
6,874,500,7,11,1,200,77,100,1,1,0.3046
7,882,125,6,17,0,200,9,120,1,1,0.3040
7,873,500,7,15,0,200,48,120,1,1,0.3033
7,880,250,7,4,0,200,49,80,1,1,0.3022
7,872,500,8,6,0,200,19,80,1,1,0.3003
6,868,250,7,8,1,200,42,100,1,1,0.2995
8,877,250,6,3,0,200,56,80,1,1,0.2982
8,872,250,8,6,0,200,26,80,1,1,0.2981
9,870,250,5,11,0,200,90,100,1,1,0.2978
8,870,250,6,5,0,200,32,80,1,1,0.2974
9,885,125,6,12,0,200,90,100,1,1,0.2973
8,889,125,8,5,0,200,34,80,1,1,0.2973
6,883,125,5,12,1,200,28,100,1,1,0.2972
7,877,250,5,6,0,200,100,80,1,1,0.2972
9,865,250,5,11,0,200,19,100,1,1,0.2968
9,873,250,7,16,0,200,95,120,1,1,0.2960
6,875,250,8,13,1,200,91,100,1,1,0.2958
8,876,500,8,11,0,200,16,100,1,1,0.2954
7,873,500,6,11,0,200,55,100,1,1,0.2945
7,880,500,5,12,0,200,71,100,1,1,0.2941
8,880,500,7,12,0,200,34,100,1,1,0.2938
7,867,250,5,15,0,200,50,120,1,1,0.2934
7,864,250,5,12,0,200,27,100,1,1,0.2931
7,869,250,6,4,0,200,52,80,1,1,0.2929
10,872,250,8,4,0,200,47,80,1,1,0.2920
7,886,500,5,11,0,200,70,100,1,1,0.2916
9,872,125,6,10,0,200,58,100,1,1,0.2912
8,872,125,5,15,0,200,42,120,1,1,0.2905
9,868,250,6,17,0,200,9,120,1,1,0.2903
10,882,125,5,4,0,200,9,80,1,1,0.2902
8,872,250,5,3,0,200,32,80,1,1,0.2898
7,869,250,5,2,0,200,38,80,1,1,0.2882
7,888,125,5,7,0,200,44,80,1,1,0.2866
10,867,250,6,11,0,200,56,100,1,1,0.2866
8,879,500,6,17,0,200,41,120,1,1,0.2866
7,875,500,6,6,0,200,55,80,1,1,0.2859
9,884,250,8,3,0,200,36,80,1,1,0.2854
10,883,125,6,4,0,200,13,80,1,1,0.2846
7,876,125,7,3,0,200,19,80,1,1,0.2841
6,884,125,6,6,1,200,16,80,1,1,0.2837
7,862,250,8,13,0,200,39,100,1,1,0.2822
10,883,250,7,4,0,200,37,80,1,1,0.2817
9,879,500,7,5,0,200,12,80,1,1,0.2771
8,864,250,6,3,0,200,39,80,1,1,0.2766
8,882,500,6,12,0,200,73,100,1,1,0.2760
9,886,250,8,7,0,200,85,80,1,1,0.2752
6,867,250,8,11,1,200,55,100,1,1,0.2749
8,875,125,5,2,0,200,69,80,1,1,0.2749
9,885,500,8,16,0,200,83,120,1,1,0.2748
12,880,250,8,9,0,200,6,100,1,1,0.2728
9,870,250,7,9,0,200,41,100,1,1,0.2726
8,890,500,7,7,0,200,73,80,1,1,0.2724
11,860,250,8,16,0,200,19,120,1,1,0.2707
10,883,250,8,8,0,200,69,100,1,1,0.2704
6,864,250,5,14,1,200,91,120,1,1,0.2681
10,874,500,6,15,0,200,37,120,1,1,0.2678
7,874,500,7,5,0,200,82,80,1,1,0.2678
8,878,500,6,8,0,200,47,100,1,1,0.2671
11,883,250,6,8,0,200,23,100,1,1,0.2669
9,861,125,6,16,0,200,45,120,1,1,0.2663
8,869,125,6,6,0,200,79,80,1,1,0.2659
7,871,125,7,3,0,200,54,80,1,1,0.2643
6,878,125,6,7,1,200,48,80,1,1,0.2643
9,878,500,5,6,0,200,67,80,1,1,0.2631
10,876,500,8,7,0,200,59,80,1,1,0.2625
8,874,500,7,6,0,200,75,80,1,1,0.2609
7,867,125,7,8,0,200,23,100,1,1,0.2608
9,886,125,8,13,0,200,87,100,1,1,0.2596
6,871,125,8,8,1,200,49,100,1,1,0.2585
9,878,250,8,17,0,200,92,120,1,1,0.2581
8,890,500,8,2,0,200,59,80,1,1,0.2579
9,876,125,5,2,0,200,88,80,1,1,0.2571
6,878,125,5,5,1,200,93,80,1,1,0.2558
6,863,125,7,11,1,200,15,100,1,1,0.2556
11,884,250,6,9,0,200,58,100,1,1,0.2542
7,863,500,8,16,0,200,44,120,1,1,0.2539
10,874,125,7,10,0,200,25,100,1,1,0.2529
9,889,500,8,14,0,200,83,120,1,1,0.2507
8,862,500,7,20,0,200,36,140,1,1,0.2504
10,888,500,6,10,0,200,41,100,1,1,0.2501
8,869,500,6,4,0,200,48,80,1,1,0.2486
11,878,500,8,5,0,200,12,80,1,1,0.2455
10,877,250,8,3,0,200,94,80,1,1,0.2448
10,864,500,8,14,0,200,14,120,1,1,0.2442
9,862,500,6,7,0,200,43,80,1,1,0.2437
12,882,250,7,10,0,200,21,100,1,1,0.2437
10,875,500,8,9,0,200,11,100,1,1,0.2418
7,865,125,7,11,0,200,76,100,1,1,0.2406
10,873,500,6,13,0,200,45,100,1,1,0.2395
10,866,250,8,14,0,200,71,120,1,1,0.2393
9,879,500,6,2,0,200,82,80,1,1,0.2390
11,871,250,8,10,0,200,68,100,1,1,0.2385
10,876,125,7,4,0,200,59,80,1,1,0.2371
10,886,125,6,15,0,200,51,120,1,1,0.2364
10,870,125,7,5,0,200,82,80,1,1,0.2356
10,861,125,7,7,0,200,68,80,1,1,0.2352
11,886,125,5,11,0,200,37,100,1,1,0.2350
9,869,250,7,20,0,200,78,140,1,1,0.2333
10,863,125,5,2,0,200,50,80,1,1,0.2327
11,879,500,8,9,0,200,40,100,1,1,0.2309
6,860,125,8,11,1,200,78,100,1,1,0.2291
10,875,500,6,6,0,200,67,80,1,1,0.2280
10,885,125,8,2,0,200,54,80,1,1,0.2279
11,876,250,7,3,0,200,38,80,1,1,0.2249
10,870,500,8,3,0,200,45,80,1,1,0.2246
