iteration,reward,timestamp
1,0.2686,2026-01-28 12:42:21
2,0.2662,2026-01-28 12:42:23
3,0.2489,2026-01-28 12:42:25
4,0.2663,2026-01-28 12:42:27
5,0.3091,2026-01-28 12:42:28
6,0.3062,2026-01-28 12:42:29
7,0.3652,2026-01-28 12:42:30
8,0.3564,2026-01-28 12:42:32
9,0.3196,2026-01-28 12:42:33
10,0.4273,2026-01-28 12:42:33
11,0.3353,2026-01-28 12:42:34
12,0.3496,2026-01-28 12:42:35
13,0.2607,2026-01-28 12:42:36
14,0.3033,2026-01-28 12:42:37
15,0.2595,2026-01-28 12:42:38
16,0.2649,2026-01-28 12:42:39
17,0.3076,2026-01-28 12:42:40
18,0.3439,2026-01-28 12:42:41
19,0.2913,2026-01-28 12:42:42
20,0.3367,2026-01-28 12:42:43
21,0.2900,2026-01-28 12:42:43
22,0.2860,2026-01-28 12:42:54
23,0.3007,2026-01-28 12:42:55
24,0.3395,2026-01-28 12:42:55
25,0.3074,2026-01-28 12:42:56
26,0.2139,2026-01-28 12:42:58
27,0.3010,2026-01-28 12:43:00
28,0.2739,2026-01-28 12:43:02
29,0.3105,2026-01-28 12:43:04
30,0.2505,2026-01-28 12:43:05
31,0.3239,2026-01-28 12:43:07
32,0.2977,2026-01-28 12:43:08
33,0.2419,2026-01-28 12:43:09
34,0.2613,2026-01-28 12:43:10
35,0.2765,2026-01-28 12:43:11
36,0.2683,2026-01-28 12:43:12
37,0.3070,2026-01-28 12:43:14
38,0.2560,2026-01-28 12:43:17
39,0.2750,2026-01-28 12:43:20
40,0.3183,2026-01-28 12:43:23
41,0.3138,2026-01-28 12:43:26
42,0.3292,2026-01-28 12:43:27
43,0.2852,2026-01-28 12:43:29
44,0.2352,2026-01-28 12:43:31
45,0.2705,2026-01-28 12:43:33
46,0.2937,2026-01-28 12:43:34
47,0.2645,2026-01-28 12:43:35
48,0.2541,2026-01-28 12:43:46
49,0.2463,2026-01-28 12:43:49
50,0.2482,2026-01-28 12:43:53
51,0.2216,2026-01-28 12:43:59
52,0.2303,2026-01-28 12:44:07
53,0.2045,2026-01-28 12:44:13
54,0.2885,2026-01-28 12:44:16
55,0.1793,2026-01-28 12:44:20
56,0.2697,2026-01-28 12:44:34
57,0.2632,2026-01-28 12:44:36
58,0.2633,2026-01-28 12:44:37
59,0.2686,2026-01-28 12:44:39
60,0.2653,2026-01-28 12:44:40
61,0.1950,2026-01-28 12:44:59
62,0.2277,2026-01-28 12:45:09
63,0.2410,2026-01-28 12:45:18
64,0.2458,2026-01-28 12:45:29
65,0.2543,2026-01-28 12:45:37
66,0.2414,2026-01-28 12:45:42
67,0.2449,2026-01-28 12:45:48
68,0.2769,2026-01-28 12:45:53
69,0.2159,2026-01-28 12:45:57
70,0.2449,2026-01-28 12:45:59
71,0.2650,2026-01-28 12:46:01
72,0.2119,2026-01-28 12:46:04
73,0.1775,2026-01-28 12:46:13
74,0.1411,2026-01-28 12:46:37
75,0.1497,2026-01-28 12:49:26
76,0.1881,2026-01-28 12:50:32
77,0.2340,2026-01-28 12:50:49
78,0.2423,2026-01-28 12:50:57
79,0.1905,2026-01-28 12:51:11
80,0.1685,2026-01-28 12:51:28
81,0.2143,2026-01-28 12:51:38
82,0.1648,2026-01-28 12:52:03
83,0.1563,2026-01-28 12:52:10
84,0.2082,2026-01-28 12:53:24
85,0.3327,2026-01-28 12:54:33
86,0.3617,2026-01-28 12:54:34
87,0.2999,2026-01-28 12:54:46
88,0.3951,2026-01-28 12:54:47
89,0.3061,2026-01-28 12:54:47
90,0.2795,2026-01-28 12:54:48
91,0.3108,2026-01-28 12:54:49
92,0.4238,2026-01-28 12:54:50
93,0.3327,2026-01-28 12:54:51
94,0.3405,2026-01-28 12:54:52
95,0.4283,2026-01-28 12:54:53
96,0.2936,2026-01-28 12:54:55
97,0.3321,2026-01-28 12:54:58
98,0.3410,2026-01-28 12:54:59
99,0.3187,2026-01-28 12:55:00
100,0.3478,2026-01-28 12:55:01
101,0.2775,2026-01-28 12:55:03
102,0.3033,2026-01-28 12:55:05
103,0.3032,2026-01-28 12:55:07
104,0.2997,2026-01-28 12:55:08
105,0.2542,2026-01-28 12:55:10
106,0.3180,2026-01-28 12:55:12
107,0.3390,2026-01-28 12:55:12
108,0.2937,2026-01-28 12:55:13
109,0.3042,2026-01-28 12:55:14
110,0.3052,2026-01-28 12:55:15
111,0.3020,2026-01-28 12:55:16
112,0.2784,2026-01-28 12:55:18
113,0.3302,2026-01-28 12:55:19
114,0.2719,2026-01-28 12:55:22
115,0.3112,2026-01-28 12:55:25
116,0.3188,2026-01-28 12:55:27
117,0.3190,2026-01-28 12:55:29
118,0.3006,2026-01-28 12:55:30
119,0.2333,2026-01-28 12:55:33
120,0.3146,2026-01-28 12:55:36
121,0.2686,2026-01-28 12:55:37
122,0.3098,2026-01-28 12:55:38
123,0.2885,2026-01-28 12:55:40
124,0.2825,2026-01-28 12:55:42
125,0.2673,2026-01-28 12:55:43
126,0.2205,2026-01-28 12:55:45
127,0.2961,2026-01-28 12:55:47
128,0.2955,2026-01-28 12:55:48
129,0.2207,2026-01-28 12:55:50
130,0.2707,2026-01-28 12:55:52
131,0.3029,2026-01-28 12:55:53
132,0.2806,2026-01-28 12:55:54
133,0.2843,2026-01-28 12:55:55
134,0.2899,2026-01-28 12:55:57
135,0.2536,2026-01-28 12:56:01
136,0.2940,2026-01-28 12:56:03
137,0.3029,2026-01-28 12:56:04
138,0.2929,2026-01-28 12:56:06
139,0.2848,2026-01-28 12:56:09
140,0.2708,2026-01-28 12:56:14
141,0.1705,2026-01-28 12:56:23
142,0.1928,2026-01-28 12:56:35
143,0.2639,2026-01-28 12:56:51
144,0.2423,2026-01-28 12:56:56
145,0.2847,2026-01-28 12:57:01
146,0.2730,2026-01-28 12:57:03
147,0.1919,2026-01-28 12:57:13
148,0.2807,2026-01-28 12:57:21
149,0.2143,2026-01-28 12:57:29
150,0.2764,2026-01-28 12:57:37
151,0.2302,2026-01-28 12:57:44
152,0.2766,2026-01-28 12:57:51
153,0.2420,2026-01-28 12:57:54
154,0.2118,2026-01-28 12:57:57
155,0.3202,2026-01-28 12:58:00
156,0.2432,2026-01-28 12:58:02
157,0.2074,2026-01-28 12:58:05
158,0.3015,2026-01-28 12:58:53
159,0.2325,2026-01-28 12:58:58
160,0.2494,2026-01-28 12:59:07
161,0.1869,2026-01-28 12:59:23
162,0.3041,2026-01-28 12:59:37
163,0.1347,2026-01-28 12:59:53
164,0.1775,2026-01-28 13:00:12
165,0.2185,2026-01-28 13:00:21
166,0.2121,2026-01-28 13:00:25
167,0.1904,2026-01-28 13:02:04
168,0.1890,2026-01-28 13:02:22
169,0.3811,2026-01-28 13:02:31
170,0.4308,2026-01-28 13:02:31
171,0.3976,2026-01-28 13:02:32
172,0.3022,2026-01-28 13:02:33
173,0.3306,2026-01-28 13:02:34
174,0.4308,2026-01-28 13:02:35
175,0.4308,2026-01-28 13:02:35
176,0.3459,2026-01-28 13:02:36
177,0.3409,2026-01-28 13:02:37
178,0.3951,2026-01-28 13:02:38
179,0.3022,2026-01-28 13:02:38
180,0.3327,2026-01-28 13:02:40
181,0.3503,2026-01-28 13:02:41
182,0.3335,2026-01-28 13:02:41
183,0.3321,2026-01-28 13:02:42
184,0.3514,2026-01-28 13:02:44
185,0.3390,2026-01-28 13:02:45
186,0.3444,2026-01-28 13:02:46
187,0.3347,2026-01-28 13:02:46
188,0.3976,2026-01-28 13:02:47
189,0.3014,2026-01-28 13:02:48
190,0.3302,2026-01-28 13:02:49
191,0.3033,2026-01-28 13:02:51
192,0.3271,2026-01-28 13:02:51
193,0.3183,2026-01-28 13:02:53
194,0.3597,2026-01-28 13:02:55
195,0.3359,2026-01-28 13:02:55
196,0.3133,2026-01-28 13:02:57
197,0.3513,2026-01-28 13:02:59
198,0.3140,2026-01-28 13:03:00
199,0.3183,2026-01-28 13:03:02
200,0.3160,2026-01-28 13:03:04
201,0.2486,2026-01-28 13:03:05
202,0.3385,2026-01-28 13:03:06
203,0.2552,2026-01-28 13:03:07
204,0.3070,2026-01-28 13:03:08
205,0.2811,2026-01-28 13:03:11
206,0.2937,2026-01-28 13:03:12
207,0.3073,2026-01-28 13:03:12
208,0.3156,2026-01-28 13:03:13
209,0.2935,2026-01-28 13:03:15
210,0.3154,2026-01-28 13:04:18
211,0.3068,2026-01-28 13:04:19
212,0.2995,2026-01-28 13:04:20
213,0.3602,2026-01-28 13:04:21
214,0.3461,2026-01-28 13:04:22
215,0.3453,2026-01-28 13:04:23
216,0.2860,2026-01-28 13:04:24
217,0.2981,2026-01-28 13:04:26
218,0.3197,2026-01-28 13:04:27
219,0.2760,2026-01-28 13:04:29
220,0.2991,2026-01-28 13:04:31
221,0.2929,2026-01-28 13:04:33
222,0.2669,2026-01-28 13:04:35
223,0.2914,2026-01-28 13:04:38
224,0.3062,2026-01-28 13:04:41
225,0.2838,2026-01-28 13:04:43
226,0.3528,2026-01-28 13:04:44
227,0.4323,2026-01-28 13:04:44
228,0.4348,2026-01-28 13:04:45
229,0.3967,2026-01-28 13:04:46
230,0.4273,2026-01-28 13:04:46
231,0.4348,2026-01-28 13:04:47
232,0.3137,2026-01-28 13:04:48
233,0.3021,2026-01-28 13:04:50
234,0.2856,2026-01-28 13:04:53
235,0.2827,2026-01-28 13:04:55
236,0.3208,2026-01-28 13:04:56
237,0.2843,2026-01-28 13:04:57
238,0.3425,2026-01-28 13:04:58
239,0.3489,2026-01-28 13:04:59
240,0.3401,2026-01-28 13:05:00
241,0.3261,2026-01-28 13:05:02
242,0.2979,2026-01-28 13:05:05
243,0.2925,2026-01-28 13:05:09
244,0.3173,2026-01-28 13:05:12
245,0.3393,2026-01-28 13:05:13
246,0.2064,2026-01-28 13:05:18
247,0.3381,2026-01-28 13:05:22
248,0.4308,2026-01-28 13:05:23
249,0.4358,2026-01-28 13:05:23
250,0.4333,2026-01-28 13:05:24
251,0.4358,2026-01-28 13:05:25
252,0.4308,2026-01-28 13:05:25
253,0.4333,2026-01-28 13:05:26
254,0.4333,2026-01-28 13:05:27
255,0.4333,2026-01-28 13:05:27
256,0.2595,2026-01-28 13:05:29
257,0.3602,2026-01-28 13:05:30
258,0.3456,2026-01-28 13:05:31
259,0.3572,2026-01-28 13:05:33
