SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,879,500,5,13,1,200,13,100,1,51,0.4283
6,879,500,6,13,1,200,13,100,1,43,0.4273
6,879,500,7,13,1,200,13,100,1,44,0.4238
6,874,500,7,17,1,200,13,120,1,1,0.4168
6,883,500,7,13,1,200,16,100,1,1,0.4051
6,879,500,6,14,1,200,23,120,1,1,0.4037
6,889,500,6,15,1,200,21,120,1,1,0.3987
6,860,500,6,7,1,200,13,80,1,1,0.3967
6,879,500,8,13,1,200,13,100,1,28,0.3951
6,866,500,7,13,1,200,17,100,1,1,0.3945
6,879,500,7,2,1,200,15,80,1,1,0.3944
6,860,500,7,8,1,200,19,100,1,1,0.3811
6,879,250,5,13,1,200,13,100,1,17,0.3708
6,879,250,7,13,1,200,13,100,1,14,0.3652
6,875,500,6,8,1,200,36,100,1,1,0.3651
6,882,250,7,11,1,200,10,100,1,1,0.3617
6,879,250,6,13,1,200,13,100,1,15,0.3597
6,879,250,8,13,1,200,13,100,1,15,0.3564
7,879,500,5,13,0,200,13,100,1,12,0.3514
6,864,500,5,10,1,200,42,100,1,1,0.3513
6,881,500,8,17,1,200,30,120,1,1,0.3496
7,879,250,5,13,0,200,13,100,1,14,0.3478
7,879,500,6,13,0,200,13,100,1,12,0.3461
6,883,500,5,11,1,200,53,100,1,1,0.3459
8,879,250,6,13,0,200,13,100,1,11,0.3453
7,879,250,6,13,0,200,13,100,1,12,0.3439
7,879,500,7,13,0,200,13,100,1,11,0.3420
8,879,250,5,13,0,200,13,100,1,13,0.3410
8,879,250,7,13,0,200,13,100,1,13,0.3405
9,879,250,8,13,0,200,13,100,1,13,0.3401
7,881,500,8,20,0,200,8,140,1,1,0.3395
8,879,250,8,13,0,200,13,100,1,12,0.3390
7,879,250,7,13,0,200,13,100,1,10,0.3385
7,879,250,8,13,0,200,13,100,1,13,0.3367
7,871,500,8,9,0,200,7,100,1,1,0.3359
6,880,500,7,7,1,200,49,80,1,1,0.3353
7,879,500,8,13,0,200,13,100,1,7,0.3338
9,879,250,6,13,0,200,13,100,1,14,0.3327
6,880,500,6,20,1,200,46,140,1,1,0.3327
9,879,250,5,13,0,200,13,100,1,13,0.3321
6,881,250,7,8,1,200,30,100,1,1,0.3306
9,879,250,7,13,0,200,13,100,1,12,0.3302
9,871,250,7,7,0,200,16,80,1,1,0.3298
9,879,250,6,8,0,200,35,100,1,1,0.3292
6,870,500,8,20,1,200,40,140,1,1,0.3271
10,879,250,8,13,0,200,13,100,1,9,0.3268
7,869,500,7,8,0,200,16,100,1,1,0.3257
8,869,250,7,16,0,200,66,120,1,1,0.3239
7,879,250,7,17,0,200,23,120,1,1,0.3235
6,865,250,7,20,1,200,7,140,1,1,0.3232
9,879,125,6,13,0,200,13,100,1,8,0.3218
8,879,500,5,13,0,200,13,100,1,6,0.3208
8,879,125,6,13,0,200,13,100,1,11,0.3202
8,879,125,7,13,0,200,13,100,1,9,0.3198
6,883,500,5,14,1,200,70,120,1,1,0.3196
8,879,125,8,13,0,200,13,100,1,11,0.3190
9,879,125,7,13,0,200,13,100,1,11,0.3188
6,874,250,5,12,1,200,64,100,1,1,0.3187
7,879,125,5,13,0,200,13,100,1,9,0.3186
9,879,125,5,13,0,200,13,100,1,6,0.3183
9,879,125,8,13,0,200,13,100,1,8,0.3183
7,871,500,7,14,0,200,30,120,1,1,0.3180
6,888,500,8,16,1,200,60,120,1,1,0.3175
7,872,250,6,16,0,200,78,120,1,1,0.3173
8,879,125,5,13,0,200,13,100,1,10,0.3156
8,879,500,6,13,0,200,13,100,1,8,0.3154
6,881,250,5,14,1,200,60,120,1,1,0.3153
6,879,125,5,13,1,200,13,100,1,9,0.3146
7,879,125,6,13,0,200,13,100,1,8,0.3140
9,890,250,5,11,0,200,76,100,1,1,0.3138
6,878,500,6,6,1,200,86,80,1,1,0.3137
8,876,250,6,17,0,200,10,120,1,1,0.3127
8,864,250,7,20,0,200,14,140,1,1,0.3112
8,879,500,7,13,0,200,13,100,1,9,0.3112
7,874,250,8,7,0,200,50,80,1,1,0.3108
8,862,250,5,13,0,200,21,100,1,1,0.3105
8,879,500,8,13,0,200,13,100,1,10,0.3098
8,881,500,6,12,0,200,22,100,1,1,0.3091
6,885,250,5,11,1,200,70,100,1,1,0.3091
7,879,125,7,13,0,200,13,100,1,8,0.3088
