SF,IH,BW,CR,reward,count,ucb
6,1,500,5,0.4342,55,0.5345
6,1,500,6,0.4312,51,0.5353
6,1,500,7,0.4308,51,0.5349
6,1,500,8,0.4014,32,0.5329
6,1,250,5,0.3725,21,0.5347
6,1,250,6,0.3576,18,0.5328
6,1,250,8,0.3481,16,0.5340
7,0,500,5,0.3476,16,0.5334
6,1,250,7,0.3469,17,0.5272
7,0,250,5,0.3465,16,0.5324
7,0,500,6,0.3435,15,0.5354
8,0,250,7,0.3429,15,0.5348
7,0,250,6,0.3421,15,0.5341
8,0,250,8,0.3411,15,0.5331
9,0,250,6,0.3411,15,0.5330
8,0,250,6,0.3408,15,0.5327
9,0,250,5,0.3403,15,0.5322
9,0,250,8,0.3401,15,0.5320
7,0,500,7,0.3390,15,0.5310
9,0,250,7,0.3385,15,0.5305
8,0,250,5,0.3383,15,0.5303
7,0,250,7,0.3335,14,0.5322
7,0,250,8,0.3315,14,0.5302
10,0,250,6,0.3236,13,0.5298
10,0,250,7,0.3191,12,0.5337
7,0,500,8,0.3191,12,0.5337
10,0,250,8,0.3184,12,0.5330
10,0,250,5,0.3184,12,0.5330
9,0,125,7,0.3164,12,0.5310
8,0,125,5,0.3156,12,0.5302
8,0,125,6,0.3154,12,0.5299
8,0,125,8,0.3147,12,0.5293
8,0,125,7,0.3143,12,0.5289
7,0,125,5,0.3137,12,0.5283
8,0,500,5,0.3103,11,0.5344
8,0,500,7,0.3078,11,0.5319
8,0,500,6,0.3075,11,0.5317
8,0,500,8,0.3062,11,0.5303
7,0,125,6,0.3057,11,0.5299
6,1,125,5,0.3042,11,0.5283
7,0,125,7,0.3041,11,0.5282
7,0,125,8,0.2976,10,0.5327
9,0,125,6,0.2937,11,0.5178
10,0,125,7,0.2917,10,0.5356
10,0,125,5,0.2876,9,0.5354
11,0,250,5,0.2869,9,0.5347
9,0,500,5,0.2860,9,0.5337
9,0,125,8,0.2857,10,0.5208
9,0,500,7,0.2851,9,0.5329
10,0,125,8,0.2839,9,0.5317
6,1,125,6,0.2838,9,0.5316
11,0,250,7,0.2835,9,0.5313
9,0,500,6,0.2823,9,0.5301
6,1,125,7,0.2804,9,0.5282
9,0,125,5,0.2746,9,0.5224
10,0,125,6,0.2720,8,0.5349
11,0,250,8,0.2715,8,0.5343
9,0,500,8,0.2706,8,0.5335
11,0,250,6,0.2691,8,0.5319
10,0,500,7,0.2673,8,0.5301
6,1,125,8,0.2672,8,0.5301
10,0,500,8,0.2541,7,0.5351
10,0,500,5,0.2525,7,0.5335
10,0,500,6,0.2502,7,0.5312
12,0,250,5,0.2290,6,0.5325
11,0,500,6,0.2287,6,0.5322
12,0,250,6,0.2273,6,0.5308
11,0,500,5,0.2271,6,0.5306
11,0,500,7,0.2248,6,0.5283
11,0,125,5,0.2245,6,0.5280
11,0,500,8,0.2236,6,0.5271
11,0,125,6,0.2223,6,0.5258
12,0,250,7,0.2213,6,0.5248
11,0,125,7,0.2016,5,0.5341
11,0,125,8,0.2007,5,0.5331
12,0,250,8,0.1917,5,0.5242
12,0,500,5,0.1878,5,0.5202
12,0,500,8,0.1835,5,0.5159
12,0,500,6,0.1834,5,0.5159
12,0,125,7,0.1523,4,0.5240
12,0,125,8,0.1518,4,0.5235
12,0,125,6,0.1423,4,0.5140
12,0,500,7,0.1418,4,0.5134
12,0,125,5,0.1304,4,0.5021
