SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,887,500,6,17,1,200,6,120,1,7,0.4647
6,887,500,5,17,1,200,6,120,1,42,0.4607
6,881,500,6,3,1,200,7,80,1,116,0.4554
6,862,500,6,10,1,200,6,100,1,1,0.4340
6,880,500,6,16,1,200,10,120,1,1,0.4323
6,880,500,6,13,1,200,15,100,1,1,0.4323
6,887,500,8,17,1,200,6,120,1,2,0.4273
6,881,500,5,8,1,200,22,100,1,2,0.4057
6,868,500,8,6,1,200,14,80,1,1,0.3944
6,867,500,6,9,1,200,12,100,1,1,0.3890
6,873,500,6,6,1,200,23,80,1,1,0.3832
6,887,250,5,17,1,200,6,120,1,2,0.3821
6,863,500,5,9,1,200,25,100,1,1,0.3791
6,881,250,5,3,1,200,7,80,1,1,0.3746
6,888,500,6,7,1,200,25,80,1,1,0.3696
6,877,500,6,14,1,200,37,120,1,1,0.3656
6,881,500,6,16,1,200,40,120,1,1,0.3656
6,887,250,6,17,1,200,6,120,1,2,0.3611
7,887,500,6,17,0,200,6,120,1,216,0.3594
6,871,500,6,15,1,200,34,120,1,1,0.3575
6,886,500,6,5,1,200,40,80,1,1,0.3563
7,887,250,5,17,0,200,6,120,1,181,0.3537
7,868,250,5,14,0,200,6,120,1,1,0.3531
6,881,250,7,3,1,200,7,80,1,1,0.3524
7,886,250,5,12,0,200,8,100,1,1,0.3522
6,883,500,6,14,1,200,41,120,1,1,0.3522
6,887,250,7,17,1,200,6,120,1,7,0.3513
7,880,250,6,15,0,200,9,120,1,1,0.3478
7,887,250,6,17,0,200,6,120,1,167,0.3473
6,861,500,6,10,1,200,26,100,1,1,0.3467
6,865,500,6,12,1,200,32,100,1,1,0.3451
6,887,500,6,13,1,200,53,100,1,1,0.3439
6,868,500,6,3,1,200,34,80,1,1,0.3438
7,887,250,7,17,0,200,6,120,1,1,0.3432
7,878,250,5,12,0,200,15,100,1,1,0.3427
8,887,250,7,17,0,200,6,120,1,1,0.3418
7,877,250,5,8,0,200,14,100,1,1,0.3390
6,881,250,8,8,1,200,22,100,1,1,0.3386
7,879,250,5,4,0,200,6,80,1,1,0.3383
7,885,250,6,17,0,200,14,120,1,1,0.3379
6,877,500,6,11,1,200,54,100,1,1,0.3372
6,865,500,6,7,1,200,32,80,1,1,0.3369
7,868,500,6,12,0,200,10,100,1,1,0.3365
8,887,250,8,17,0,200,6,120,1,1,0.3363
6,887,250,8,17,1,200,6,120,1,1,0.3362
6,885,500,6,9,1,200,51,100,1,1,0.3352
6,889,500,6,14,1,200,60,120,1,1,0.3348
6,878,500,6,11,1,200,53,100,1,1,0.3347
6,878,500,6,5,1,200,43,80,1,1,0.3333
7,883,250,5,10,0,200,28,100,1,1,0.3328
7,886,250,6,13,0,200,18,100,1,1,0.3319
7,885,250,5,14,0,200,42,120,1,1,0.3303
9,876,250,5,16,0,200,42,120,1,1,0.3288
9,881,250,7,8,0,200,22,100,1,1,0.3268
7,870,250,5,8,0,200,15,100,1,1,0.3264
6,884,500,6,4,1,200,61,80,1,1,0.3255
8,868,250,7,15,0,200,53,120,1,1,0.3252
6,878,500,5,16,1,200,69,120,1,1,0.3246
6,889,250,6,20,1,200,13,140,1,1,0.3242
6,887,500,6,6,1,200,63,80,1,1,0.3240
6,870,250,6,7,1,200,25,80,1,1,0.3223
10,879,250,5,16,0,200,28,120,1,1,0.3217
8,886,500,5,15,0,200,10,120,1,1,0.3216
6,875,500,6,9,1,200,60,100,1,1,0.3206
7,889,250,5,20,0,200,37,140,1,1,0.3205
8,886,250,8,11,0,200,72,100,1,1,0.3203
7,873,250,6,15,0,200,41,120,1,1,0.3169
6,885,500,6,11,1,200,70,100,1,1,0.3160
7,885,250,5,7,0,200,35,80,1,1,0.3157
7,881,250,7,15,0,200,59,120,1,1,0.3156
6,877,500,6,8,1,200,71,100,1,1,0.3153
7,890,250,7,16,0,200,48,120,1,1,0.3151
6,884,500,6,8,1,200,65,100,1,1,0.3149
6,860,500,6,11,1,200,52,100,1,1,0.3148
