SF,IH,BW,CR,reward,count,ucb
7,0,500,6,0.3482,225,0.3729
7,0,250,6,0.3477,171,0.3760
7,0,250,5,0.3410,200,0.3673
6,1,500,5,0.2936,49,0.3467
6,1,500,6,0.2821,177,0.3101
6,1,250,7,0.2292,9,0.3531
7,0,250,7,0.1594,3,0.3740
8,0,250,7,0.1594,3,0.3740
6,1,250,8,0.1584,3,0.3730
8,0,250,8,0.1582,3,0.3728
6,1,500,8,0.1448,4,0.3307
6,1,250,5,0.1399,4,0.3258
6,1,250,6,0.1322,4,0.3181
8,0,250,5,0.1123,2,0.3751
9,0,250,7,0.1122,2,0.3750
8,0,500,5,0.1114,2,0.3743
9,0,250,5,0.1097,2,0.3726
7,0,125,5,0.1087,2,0.3716
7,0,500,7,0.1082,2,0.3711
8,0,500,8,0.1076,2,0.3704
6,1,500,7,0.1071,2,0.3700
7,0,500,5,0.1071,2,0.3699
8,0,500,6,0.1063,2,0.3691
7,0,250,8,0.1062,2,0.3690
9,0,125,5,0.1060,2,0.3688
7,0,125,6,0.1057,2,0.3685
8,0,250,6,0.1052,2,0.3680
8,0,125,7,0.1045,2,0.3673
9,0,125,8,0.1040,2,0.3668
9,0,125,6,0.1034,2,0.3662
8,0,125,6,0.1033,2,0.3662
7,0,125,7,0.1023,2,0.3651
7,0,125,8,0.1023,2,0.3651
10,0,250,6,0.1021,2,0.3649
7,0,500,8,0.1020,2,0.3648
9,0,250,8,0.1016,2,0.3644
8,0,125,8,0.1014,2,0.3643
8,0,500,7,0.1007,2,0.3636
9,0,250,6,0.1006,2,0.3634
8,0,125,5,0.1006,2,0.3634
10,0,250,8,0.0998,2,0.3626
9,0,125,7,0.0992,2,0.3621
9,0,500,6,0.0972,2,0.3600
10,0,250,7,0.0961,2,0.3589
11,0,250,6,0.0954,2,0.3582
10,0,125,6,0.0953,5,0.2616
6,1,125,8,0.0950,2,0.3578
11,0,250,8,0.0942,2,0.3570
6,1,125,6,0.0936,2,0.3564
9,0,500,8,0.0934,2,0.3562
10,0,500,8,0.0933,2,0.3561
9,0,500,7,0.0931,2,0.3559
10,0,125,7,0.0926,2,0.3555
10,0,250,5,0.0918,2,0.3546
10,0,500,5,0.0911,2,0.3539
9,0,500,5,0.0905,2,0.3534
10,0,500,7,0.0902,2,0.3531
10,0,500,6,0.0896,2,0.3525
10,0,125,5,0.0855,2,0.3483
6,1,125,7,0.0852,2,0.3481
11,0,500,5,0.0834,2,0.3462
11,0,250,5,0.0812,2,0.3440
11,0,250,7,0.0805,2,0.3433
11,0,125,6,0.0792,2,0.3420
11,0,500,8,0.0790,2,0.3418
11,0,125,5,0.0789,2,0.3418
11,0,125,7,0.0778,2,0.3406
11,0,500,7,0.0770,2,0.3398
10,0,125,8,0.0765,2,0.3394
12,0,250,8,0.0764,2,0.3393
12,0,250,5,0.0749,2,0.3378
12,0,250,7,0.0747,2,0.3376
11,0,125,8,0.0740,2,0.3369
12,0,250,6,0.0739,2,0.3367
11,0,500,6,0.0683,2,0.3311
12,0,125,6,0.0647,2,0.3276
12,0,125,7,0.0640,2,0.3268
12,0,500,8,0.0638,2,0.3266
12,0,500,5,0.0618,2,0.3246
12,0,125,8,0.0606,2,0.3235
12,0,125,5,0.0579,2,0.3207
12,0,500,6,0.0574,2,0.3202
12,0,500,7,0.0546,2,0.3174
6,1,125,5,0.0305,2,0.2934
