SF,IH,BW,CR,preference,probability
6,1,500,5,0.0449,0.0124
8,0,500,6,0.0368,0.0123
8,0,500,7,0.0344,0.0123
7,0,500,5,0.0291,0.0123
6,1,500,8,0.0273,0.0122
6,1,250,8,0.0271,0.0122
9,0,500,5,0.0266,0.0122
6,1,250,7,0.0262,0.0122
7,0,500,7,0.0253,0.0122
7,0,250,6,0.0250,0.0122
6,1,250,5,0.0246,0.0122
6,1,500,7,0.0244,0.0122
8,0,500,5,0.0241,0.0122
6,1,250,6,0.0228,0.0122
7,0,250,8,0.0216,0.0122
6,1,500,6,0.0214,0.0122
6,1,125,7,0.0210,0.0122
7,0,250,7,0.0208,0.0122
6,1,125,5,0.0200,0.0121
7,0,500,6,0.0180,0.0121
7,0,250,5,0.0165,0.0121
8,0,250,6,0.0156,0.0121
8,0,500,8,0.0150,0.0121
7,0,500,8,0.0143,0.0121
6,1,125,6,0.0142,0.0121
8,0,250,5,0.0133,0.0121
9,0,500,6,0.0117,0.0120
6,1,125,8,0.0116,0.0120
8,0,250,7,0.0104,0.0120
7,0,125,5,0.0095,0.0120
8,0,250,8,0.0050,0.0120
7,0,125,6,0.0049,0.0120
9,0,500,7,0.0036,0.0119
7,0,125,8,0.0031,0.0119
9,0,500,8,0.0029,0.0119
7,0,125,7,0.0021,0.0119
9,0,250,5,-0.0004,0.0119
8,0,125,5,-0.0016,0.0119
10,0,500,5,-0.0019,0.0119
8,0,125,6,-0.0035,0.0119
9,0,250,6,-0.0037,0.0119
10,0,500,7,-0.0037,0.0119
10,0,500,6,-0.0058,0.0118
9,0,250,8,-0.0061,0.0118
9,0,125,5,-0.0064,0.0118
9,0,250,7,-0.0072,0.0118
10,0,250,5,-0.0084,0.0118
8,0,125,7,-0.0086,0.0118
11,0,500,8,-0.0100,0.0118
10,0,125,5,-0.0102,0.0118
10,0,250,8,-0.0105,0.0118
9,0,125,8,-0.0108,0.0118
8,0,125,8,-0.0108,0.0118
11,0,500,5,-0.0116,0.0118
11,0,500,7,-0.0117,0.0118
11,0,500,6,-0.0120,0.0118
10,0,500,8,-0.0122,0.0118
12,0,500,5,-0.0123,0.0118
11,0,250,8,-0.0124,0.0118
10,0,250,7,-0.0127,0.0118
12,0,125,8,-0.0135,0.0117
9,0,125,6,-0.0139,0.0117
10,0,250,6,-0.0152,0.0117
12,0,500,8,-0.0159,0.0117
11,0,125,7,-0.0159,0.0117
11,0,250,6,-0.0160,0.0117
11,0,125,5,-0.0162,0.0117
12,0,500,6,-0.0173,0.0117
12,0,250,5,-0.0178,0.0117
12,0,125,6,-0.0184,0.0117
12,0,500,7,-0.0188,0.0117
11,0,250,7,-0.0191,0.0117
10,0,125,6,-0.0204,0.0117
9,0,125,7,-0.0205,0.0117
11,0,250,5,-0.0206,0.0117
12,0,250,6,-0.0206,0.0117
11,0,125,8,-0.0208,0.0117
11,0,125,6,-0.0213,0.0117
12,0,250,8,-0.0220,0.0116
12,0,125,7,-0.0242,0.0116
10,0,125,7,-0.0250,0.0116
12,0,250,7,-0.0254,0.0116
10,0,125,8,-0.0303,0.0115
12,0,125,5,-0.0312,0.0115
