iteration,reward,timestamp
1,0.2609,2025-11-27 22:25:01
2,0.2870,2025-11-27 22:25:01
3,0.3303,2025-11-27 22:25:01
4,0.3772,2025-11-27 22:25:01
5,0.2207,2025-11-27 22:25:01
6,0.5255,2025-11-27 22:25:01
7,0.2683,2025-11-27 22:25:01
8,0.5726,2025-11-27 22:25:01
9,0.3822,2025-11-27 22:25:01
10,0.4841,2025-11-27 22:25:01
11,0.6356,2025-11-27 22:25:01
12,0.2565,2025-11-27 22:25:01
13,0.6036,2025-11-27 22:25:01
14,0.2212,2025-11-27 22:25:01
15,0.2643,2025-11-27 22:25:01
16,0.3665,2025-11-27 22:25:01
17,0.3508,2025-11-27 22:25:01
18,0.4794,2025-11-27 22:25:01
19,0.1934,2025-11-27 22:25:01
20,0.4007,2025-11-27 22:25:01
21,0.6512,2025-11-27 22:25:01
22,0.5866,2025-11-27 22:25:01
23,0.1902,2025-11-27 22:25:01
24,0.3636,2025-11-27 22:25:01
25,0.2211,2025-11-27 22:25:01
26,0.2911,2025-11-27 22:25:01
27,0.5902,2025-11-27 22:25:01
28,0.2773,2025-11-27 22:25:01
29,0.2304,2025-11-27 22:25:01
30,0.6225,2025-11-27 22:25:01
31,0.2663,2025-11-27 22:25:01
32,0.6177,2025-11-27 22:25:01
33,0.2836,2025-11-27 22:25:01
34,0.3550,2025-11-27 22:25:01
35,0.6573,2025-11-27 22:25:01
36,0.5177,2025-11-27 22:25:01
37,0.3254,2025-11-27 22:25:01
38,0.2864,2025-11-27 22:25:01
39,0.2752,2025-11-27 22:25:01
40,0.2491,2025-11-27 22:25:01
41,0.2276,2025-11-27 22:25:01
42,0.4934,2025-11-27 22:25:01
43,0.4286,2025-11-27 22:25:01
44,0.6325,2025-11-27 22:25:01
45,0.2792,2025-11-27 22:25:01
46,0.3113,2025-11-27 22:25:01
47,0.6362,2025-11-27 22:25:01
48,0.2252,2025-11-27 22:25:01
49,0.2108,2025-11-27 22:25:01
50,0.6252,2025-11-27 22:25:01
51,0.5703,2025-11-27 22:25:01
52,0.5423,2025-11-27 22:25:01
53,0.2007,2025-11-27 22:25:01
54,0.2870,2025-11-27 22:25:01
55,0.3904,2025-11-27 22:25:01
56,0.2630,2025-11-27 22:25:01
57,0.2589,2025-11-27 22:25:01
58,0.2954,2025-11-27 22:25:01
59,0.3436,2025-11-27 22:25:01
60,0.1688,2025-11-27 22:25:01
61,0.6253,2025-11-27 22:25:01
62,0.6616,2025-11-27 22:25:01
63,0.3709,2025-11-27 22:25:01
64,0.6445,2025-11-27 22:25:01
65,0.5017,2025-11-27 22:25:01
66,0.6533,2025-11-27 22:25:01
67,0.2745,2025-11-27 22:25:01
68,0.2489,2025-11-27 22:25:01
69,0.2517,2025-11-27 22:25:01
70,0.4652,2025-11-27 22:25:01
71,0.3029,2025-11-27 22:25:01
72,0.2191,2025-11-27 22:25:01
73,0.2845,2025-11-27 22:25:01
74,0.6476,2025-11-27 22:25:01
75,0.2225,2025-11-27 22:25:01
76,0.2756,2025-11-27 22:25:01
77,0.5788,2025-11-27 22:25:01
78,0.3033,2025-11-27 22:25:02
79,0.3045,2025-11-27 22:25:02
80,0.6488,2025-11-27 22:25:02
81,0.6362,2025-11-27 22:25:02
82,0.5248,2025-11-27 22:25:02
83,0.3287,2025-11-27 22:25:02
84,0.3165,2025-11-27 22:25:02
85,0.2480,2025-11-27 22:25:02
86,0.3014,2025-11-27 22:25:02
87,0.3321,2025-11-27 22:25:02
88,0.2545,2025-11-27 22:25:02
89,0.2181,2025-11-27 22:25:02
90,0.2358,2025-11-27 22:25:02
91,0.3250,2025-11-27 22:25:02
92,0.3208,2025-11-27 22:25:02
93,0.4023,2025-11-27 22:25:02
94,0.6213,2025-11-27 22:25:02
95,0.4478,2025-11-27 22:25:02
96,0.2286,2025-11-27 22:25:02
97,0.3558,2025-11-27 22:25:02
98,0.2304,2025-11-27 22:25:02
99,0.4200,2025-11-27 22:25:02
100,0.2725,2025-11-27 22:25:02
101,0.2446,2025-11-27 22:25:02
102,0.4040,2025-11-27 22:25:02
103,0.3471,2025-11-27 22:25:02
104,0.5821,2025-11-27 22:25:02
105,0.2613,2025-11-27 22:25:02
106,0.3677,2025-11-27 22:25:02
107,0.4493,2025-11-27 22:25:02
108,0.2153,2025-11-27 22:25:02
109,0.6139,2025-11-27 22:25:02
110,0.5709,2025-11-27 22:25:02
111,0.5038,2025-11-27 22:25:02
112,0.2860,2025-11-27 22:25:02
113,0.2861,2025-11-27 22:25:02
114,0.5682,2025-11-27 22:25:02
115,0.5991,2025-11-27 22:25:02
116,0.2840,2025-11-27 22:25:02
117,0.6078,2025-11-27 22:25:02
118,0.3695,2025-11-27 22:25:02
119,0.2594,2025-11-27 22:25:02
120,0.3557,2025-11-27 22:25:02
121,0.3873,2025-11-27 22:25:02
122,0.4097,2025-11-27 22:25:02
123,0.2165,2025-11-27 22:25:02
124,0.4865,2025-11-27 22:25:02
125,0.4024,2025-11-27 22:25:02
126,0.3483,2025-11-27 22:25:02
127,0.4457,2025-11-27 22:25:02
128,0.2761,2025-11-27 22:25:02
129,0.5980,2025-11-27 22:25:02
130,0.3216,2025-11-27 22:25:02
131,0.3210,2025-11-27 22:25:02
132,0.2363,2025-11-27 22:25:02
133,0.2106,2025-11-27 22:25:02
134,0.2659,2025-11-27 22:25:02
135,0.2486,2025-11-27 22:25:02
136,0.6052,2025-11-27 22:25:02
137,0.4968,2025-11-27 22:25:02
138,0.2076,2025-11-27 22:25:02
139,0.3290,2025-11-27 22:25:02
140,0.3456,2025-11-27 22:25:02
141,0.6347,2025-11-27 22:25:02
142,0.4186,2025-11-27 22:25:02
143,0.2740,2025-11-27 22:25:02
144,0.3625,2025-11-27 22:25:02
145,0.5962,2025-11-27 22:25:02
146,0.6515,2025-11-27 22:25:02
147,0.5808,2025-11-27 22:25:02
148,0.2922,2025-11-27 22:25:02
149,0.2073,2025-11-27 22:25:02
150,0.6208,2025-11-27 22:25:02
151,0.3928,2025-11-27 22:25:02
152,0.2251,2025-11-27 22:25:02
153,0.6563,2025-11-27 22:25:02
154,0.2408,2025-11-27 22:25:02
155,0.2279,2025-11-27 22:25:02
156,0.5216,2025-11-27 22:25:02
157,0.2596,2025-11-27 22:25:02
158,0.3564,2025-11-27 22:25:02
159,0.6549,2025-11-27 22:25:02
160,0.2444,2025-11-27 22:25:02
161,0.4457,2025-11-27 22:25:02
162,0.6122,2025-11-27 22:25:02
163,0.4073,2025-11-27 22:25:02
164,0.2569,2025-11-27 22:25:02
165,0.2522,2025-11-27 22:25:02
166,0.3258,2025-11-27 22:25:02
167,0.3451,2025-11-27 22:25:02
168,0.2579,2025-11-27 22:25:02
169,0.2640,2025-11-27 22:25:02
170,0.3251,2025-11-27 22:25:02
171,0.6154,2025-11-27 22:25:02
172,0.3926,2025-11-27 22:25:02
173,0.4144,2025-11-27 22:25:02
174,0.5831,2025-11-27 22:25:02
175,0.6152,2025-11-27 22:25:02
176,0.2165,2025-11-27 22:25:02
177,0.3671,2025-11-27 22:25:02
178,0.6347,2025-11-27 22:25:02
179,0.5071,2025-11-27 22:25:02
180,0.3019,2025-11-27 22:25:02
181,0.3344,2025-11-27 22:25:02
182,0.2851,2025-11-27 22:25:02
183,0.4826,2025-11-27 22:25:02
184,0.3607,2025-11-27 22:25:02
185,0.5854,2025-11-27 22:25:02
186,0.4071,2025-11-27 22:25:02
187,0.2051,2025-11-27 22:25:02
188,0.2676,2025-11-27 22:25:02
189,0.5988,2025-11-27 22:25:02
190,0.6272,2025-11-27 22:25:02
191,0.6450,2025-11-27 22:25:02
192,0.5989,2025-11-27 22:25:02
193,0.2530,2025-11-27 22:25:02
194,0.4653,2025-11-27 22:25:02
195,0.6474,2025-11-27 22:25:02
196,0.4896,2025-11-27 22:25:02
197,0.5384,2025-11-27 22:25:02
198,0.1822,2025-11-27 22:25:02
199,0.3726,2025-11-27 22:25:02
200,0.4382,2025-11-27 22:25:02
201,0.1887,2025-11-27 22:25:02
202,0.5049,2025-11-27 22:25:02
203,0.2386,2025-11-27 22:25:02
204,0.2973,2025-11-27 22:25:02
205,0.5325,2025-11-27 22:25:02
