SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
8.0,863,500.0,6.0,16,0.0,200,21,120,1,13,0.6573
7.0,863,250.0,5.0,16,0.0,200,21,120,1,5,0.6560
6.0,863,250.0,8.0,16,1.0,200,21,120,1,11,0.6533
6.0,881,500.0,8.0,15,1.0,200,29,120,1,1,0.6512
7.0,863,500.0,5.0,16,0.0,200,21,120,1,9,0.6488
7.0,875,500.0,7.0,13,0.0,200,51,100,1,1,0.6476
6.0,863,250.0,5.0,16,1.0,200,21,120,1,11,0.6450
7.0,863,250.0,6.0,16,0.0,200,21,120,1,10,0.6445
6.0,863,250.0,7.0,16,1.0,200,21,120,1,9,0.6412
8.0,863,500.0,8.0,16,0.0,200,21,120,1,6,0.6365
6.0,885,500.0,5.0,14,1.0,200,86,120,1,1,0.6362
6.0,860,250.0,7.0,14,1.0,200,18,120,1,1,0.6362
7.0,878,250.0,5.0,16,0.0,200,37,120,1,1,0.6356
6.0,863,500.0,5.0,16,1.0,200,21,120,1,18,0.6347
6.0,875,500.0,7.0,17,1.0,200,56,120,1,1,0.6325
7.0,863,250.0,7.0,16,0.0,200,21,120,1,9,0.6302
6.0,863,500.0,6.0,16,1.0,200,21,120,1,8,0.6264
8.0,887,500.0,6.0,16,0.0,200,43,120,1,1,0.6253
8.0,863,500.0,5.0,16,0.0,200,21,120,1,10,0.6252
6.0,876,250.0,7.0,17,1.0,200,93,120,1,1,0.6225
8.0,863,500.0,7.0,16,0.0,200,21,120,1,15,0.6213
9.0,872,500.0,5.0,17,0.0,200,9,120,1,1,0.6195
7.0,863,500.0,6.0,5,0.0,200,15,80,1,1,0.6183
6.0,863,125.0,8.0,16,1.0,200,21,120,1,4,0.6177
7.0,882,500.0,7.0,6,0.0,200,93,80,1,1,0.6177
7.0,871,500.0,5.0,15,0.0,200,98,120,1,1,0.6154
7.0,863,500.0,7.0,6,0.0,200,71,80,1,1,0.6152
6.0,867,125.0,7.0,7,1.0,200,18,80,1,1,0.6139
6.0,863,125.0,5.0,16,1.0,200,21,120,1,9,0.6122
7.0,889,500.0,5.0,9,0.0,200,31,100,1,1,0.6113
7.0,863,500.0,8.0,16,0.0,200,21,120,1,7,0.6101
6.0,863,250.0,6.0,16,1.0,200,21,120,1,8,0.6100
6.0,889,500.0,6.0,13,1.0,200,60,100,1,1,0.6082
7.0,878,500.0,5.0,20,0.0,200,48,140,1,1,0.6078
6.0,860,250.0,8.0,14,1.0,200,42,120,1,1,0.6078
6.0,882,500.0,8.0,5,1.0,200,83,80,1,1,0.6066
6.0,863,500.0,7.0,16,1.0,200,21,120,1,6,0.6064
7.0,863,500.0,7.0,16,0.0,200,21,120,1,8,0.6052
7.0,883,250.0,5.0,4,0.0,200,12,80,1,1,0.6036
6.0,863,125.0,7.0,16,1.0,200,21,120,1,9,0.6026
7.0,863,250.0,8.0,16,0.0,200,21,120,1,9,0.5991
6.0,873,500.0,6.0,7,1.0,200,22,80,1,1,0.5988
6.0,863,125.0,6.0,16,1.0,200,21,120,1,7,0.5983
7.0,885,500.0,6.0,2,0.0,200,39,80,1,1,0.5980
6.0,863,500.0,8.0,16,1.0,200,21,120,1,10,0.5962
6.0,873,500.0,5.0,20,1.0,200,90,140,1,1,0.5931
6.0,889,250.0,6.0,7,1.0,200,14,80,1,1,0.5902
7.0,880,500.0,6.0,3,0.0,200,68,80,1,1,0.5880
7.0,863,500.0,6.0,16,0.0,200,21,120,1,6,0.5880
6.0,868,500.0,7.0,5,1.0,200,48,80,1,1,0.5866
6.0,888,250.0,7.0,9,1.0,200,43,100,1,1,0.5854
6.0,866,500.0,7.0,8,1.0,200,19,100,1,1,0.5831
6.0,866,500.0,7.0,5,1.0,200,74,80,1,1,0.5829
6.0,876,250.0,6.0,3,1.0,200,28,80,1,1,0.5821
6.0,867,250.0,6.0,2,1.0,200,12,80,1,1,0.5808
8.0,861,500.0,8.0,9,0.0,200,32,100,1,1,0.5788
7.0,888,250.0,8.0,17,0.0,200,34,120,1,1,0.5726
8.0,863,250.0,5.0,16,0.0,200,21,120,1,9,0.5709
6.0,869,500.0,7.0,4,1.0,200,33,80,1,1,0.5703
7.0,876,500.0,5.0,9,0.0,200,80,100,1,1,0.5682
