SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,889,500,6,4,1,200,12,80,1,332,0.4345
6,860,500,6,4,1,200,24,80,1,1,0.4058
6,876,500,8,11,1,200,14,100,1,20,0.4055
6,883,250,5,3,1,200,7,80,1,122,0.4051
6,878,250,6,10,1,200,6,100,1,1,0.3888
6,880,500,7,4,1,200,31,80,1,1,0.3676
6,874,500,7,9,1,200,37,100,1,1,0.3674
6,878,250,8,3,1,200,14,80,1,1,0.3637
7,885,500,6,15,0,200,7,120,1,1,0.3501
9,875,250,6,9,0,200,10,100,1,1,0.3500
9,880,250,6,3,0,200,26,80,1,1,0.3483
10,881,250,5,2,0,200,20,80,1,1,0.3419
9,873,250,5,2,0,200,27,80,1,1,0.3418
9,861,125,6,8,0,200,8,100,1,1,0.3403
7,860,250,5,8,0,200,66,100,1,1,0.3370
7,874,500,6,2,0,200,21,80,1,48,0.3366
6,885,500,6,11,1,200,62,100,1,1,0.3338
9,877,125,7,9,0,200,14,100,1,1,0.3325
8,872,125,5,2,0,200,14,80,1,1,0.3317
9,866,250,6,2,0,200,74,80,1,1,0.3310
8,870,250,6,16,0,200,23,120,1,1,0.3306
8,881,250,8,6,0,200,71,80,1,1,0.3306
9,867,250,8,14,0,200,6,120,1,1,0.3306
8,868,500,7,8,0,200,7,100,1,1,0.3304
9,869,250,6,9,0,200,85,100,1,1,0.3303
10,879,125,8,2,0,200,9,80,1,1,0.3290
9,885,125,6,6,0,200,27,80,1,1,0.3287
9,869,125,5,10,0,200,16,100,1,1,0.3285
6,881,250,5,2,1,200,56,80,1,1,0.3281
9,876,250,5,12,0,200,40,100,1,1,0.3276
9,860,250,6,14,0,200,39,120,1,1,0.3270
7,890,250,6,12,0,200,38,100,1,1,0.3268
8,887,250,7,7,0,200,96,80,1,1,0.3267
8,881,125,7,10,0,200,14,100,1,1,0.3262
6,870,500,8,8,1,200,58,100,1,1,0.3261
9,874,250,6,6,0,200,89,80,1,1,0.3252
9,867,125,6,13,0,200,6,100,1,1,0.3251
7,867,500,5,13,0,200,35,100,1,1,0.3248
10,861,250,8,11,0,200,12,100,1,1,0.3243
7,863,250,5,2,0,200,55,80,1,1,0.3241
6,870,125,6,12,1,200,9,100,1,1,0.3221
10,885,250,5,10,0,200,47,100,1,1,0.3217
8,877,125,7,6,0,200,37,80,1,1,0.3207
7,882,250,7,8,0,200,55,100,1,1,0.3205
7,863,250,6,6,0,200,52,80,1,1,0.3203
8,867,250,5,14,0,200,40,120,1,1,0.3194
8,872,125,6,7,0,200,40,80,1,1,0.3177
6,876,125,7,5,1,200,10,80,1,1,0.3177
9,877,125,5,11,0,200,43,100,1,1,0.3174
7,862,250,6,11,0,200,59,100,1,1,0.3173
7,870,250,6,5,0,200,78,80,1,1,0.3163
7,870,250,8,15,0,200,40,120,1,1,0.3159
7,872,500,5,15,0,200,44,120,1,1,0.3159
10,876,250,5,6,0,200,17,80,1,1,0.3136
9,886,125,7,2,0,200,82,80,1,1,0.3133
6,875,125,6,20,1,200,10,140,1,1,0.3132
8,868,500,7,7,0,200,13,80,1,1,0.3132
10,865,125,5,10,0,200,14,100,1,1,0.3128
7,880,250,5,10,0,200,95,100,1,1,0.3123
10,887,250,8,6,0,200,80,80,1,1,0.3117
8,881,125,5,11,0,200,64,100,1,1,0.3115
