SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,882,500,5,16,1,200,31,120,1,814,0.3849436965562653
6,880,500,7,8,1,200,41,100,1,1,0.3564438333
8,865,250,7,2,0,200,15,80,1,1,0.3461266667
9,863,250,8,5,0,200,17,80,1,1,0.3459443333
7,870,500,5,2,0,200,15,80,1,1,0.3439873333
8,888,250,5,3,0,200,17,80,1,1,0.3432045333
7,883,250,7,11,0,200,13,100,1,12,0.34203058609166664
7,869,250,8,5,0,200,10,80,1,1,0.3408926333
9,870,250,6,6,0,200,51,80,1,1,0.3404032667
9,884,250,7,12,0,200,21,100,1,1,0.3396726667
8,868,250,5,2,0,200,24,80,1,1,0.3394965
9,873,250,7,14,0,200,19,120,1,1,0.3372599333
9,878,250,7,14,0,200,20,120,1,1,0.3366928333
6,875,500,8,9,1,200,54,100,1,1,0.3363492
6,878,250,6,9,1,200,42,100,1,1,0.3362829
6,871,500,7,15,1,200,57,120,1,1,0.3349765333
6,874,500,6,13,1,200,62,100,1,1,0.3336382667
10,863,250,6,5,0,200,22,80,1,1,0.3336015
6,866,250,5,8,1,200,48,100,1,1,0.3331268333
9,885,250,6,5,0,200,78,80,1,1,0.3330865333
6,865,500,7,14,1,200,54,120,1,1,0.3330515667
6,867,500,8,15,1,200,54,120,1,1,0.3324623667
6,890,500,5,3,1,200,73,80,1,1,0.3313744333
8,882,250,8,5,0,200,72,80,1,1,0.3308974333
8,869,125,5,11,0,200,6,100,1,1,0.3308789667
9,884,250,6,10,0,200,75,100,1,1,0.3289830667
7,889,250,8,7,0,200,22,80,1,1,0.3276718333
11,885,250,5,4,0,200,11,80,1,1,0.3269722
9,878,125,8,13,0,200,17,100,1,1,0.3254158667
11,881,125,8,5,0,200,9,80,1,1,0.3234957667
9,867,125,8,2,0,200,51,80,1,1,0.3230931667
6,873,500,8,20,1,200,61,140,1,1,0.321872
7,878,500,6,9,0,200,27,100,1,1,0.3215797
8,866,125,6,6,0,200,29,80,1,1,0.3211914333
9,886,250,7,10,0,200,85,100,1,1,0.32108345
6,865,250,8,14,1,200,61,120,1,1,0.3189745833
8,885,125,8,14,0,200,14,120,1,1,0.3185376833
6,885,250,6,14,1,200,54,120,1,1,0.3185135667
7,874,500,6,2,0,200,34,80,1,1,0.318104
8,885,500,6,8,0,200,15,100,1,1,0.3180830333
6,874,125,8,3,1,200,7,80,1,1,0.3177781
9,889,250,6,6,0,200,26,80,1,1,0.3171409667
11,869,250,5,3,0,200,13,80,1,1,0.3167874667
7,872,250,6,9,0,200,63,100,1,1,0.3167007667
