state,SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,value
"{'delay': 745.0, 'rssi': -18.0, 'snr': 10.5, 'time_over_air': 265.0, 'bytes_per_second': 33.0, 'chunks_count': 1.0, 'attempt': 1}",9,874,125,5,20,0,200,46,140,1,0.02117583333
"{'delay': 724.0, 'rssi': -10.0, 'snr': 11.0, 'time_over_air': 301.0, 'bytes_per_second': 29.0, 'chunks_count': 1.0, 'attempt': 1}",7,870,250,7,10,0,200,7,100,1,0.03457570833
"{'delay': 116.0, 'rssi': -18.0, 'snr': 10.0, 'time_over_air': 25.0, 'bytes_per_second': 360.0, 'chunks_count': 1.0, 'attempt': 1}",12,885,250,6,9,0,200,82,100,1,0.020124500000000003
"{'delay': 3860.0, 'rssi': -17.0, 'snr': 11.25, 'time_over_air': 1741.0, 'bytes_per_second': 5.0, 'chunks_count': 1.0, 'attempt': 1}",8,865,250,7,3,0,200,89,80,1,0.020932020000000003
"{'delay': 3860.0, 'rssi': -16.0, 'snr': 11.25, 'time_over_air': 1741.0, 'bytes_per_second': 5.0, 'chunks_count': 1.0, 'attempt': 2}",12,884,125,5,4,0,200,32,80,1,0.017856503330000002
"{'delay': 4159.0, 'rssi': -21.0, 'snr': 9.0, 'time_over_air': 1778.0, 'bytes_per_second': 5.0, 'chunks_count': 1.0, 'attempt': 1}",8,866,500,7,5,0,200,84,80,1,0.017331166670000002
"{'delay': 4158.0, 'rssi': -21.0, 'snr': 8.5, 'time_over_air': 1778.0, 'bytes_per_second': 5.0, 'chunks_count': 1.0, 'attempt': 2}",6,877,250,7,17,1,200,78,120,1,0.03375716
"{'delay': 349.0, 'rssi': -7.0, 'snr': 10.5, 'time_over_air': 29.0, 'bytes_per_second': 310.0, 'chunks_count': 1.0, 'attempt': 1}",11,867,500,7,3,0,200,95,80,1,0.024022256670000002
"{'delay': 1141.0, 'rssi': -32.0, 'snr': 6.75, 'time_over_air': 497.0, 'bytes_per_second': 18.0, 'chunks_count': 1.0, 'attempt': 1}",7,871,250,8,11,0,200,70,100,1,0.031225446670000004
"{'delay': 186.0, 'rssi': -18.0, 'snr': 9.75, 'time_over_air': 59.0, 'bytes_per_second': 152.0, 'chunks_count': 1.0, 'attempt': 1}",7,864,125,8,20,0,200,74,140,1,0.025554050000000002
