iteration,reward,timestamp
1,0.2916,2026-01-22 11:19:01
2,0.2901,2026-01-22 11:19:03
3,0.2898,2026-01-22 11:19:05
4,0.2847,2026-01-22 11:19:07
5,0.3102,2026-01-22 11:19:08
6,0.3044,2026-01-22 11:19:09
7,0.3106,2026-01-22 11:19:11
8,0.3028,2026-01-22 11:19:12
9,0.3850,2026-01-22 11:19:13
10,0.3671,2026-01-22 11:19:13
11,0.3110,2026-01-22 11:19:14
12,0.4073,2026-01-22 11:19:15
13,0.3136,2026-01-22 11:19:16
14,0.2991,2026-01-22 11:19:17
15,0.2957,2026-01-22 11:19:18
16,0.3035,2026-01-22 11:19:19
17,0.3176,2026-01-22 11:19:20
18,0.3152,2026-01-22 11:19:21
19,0.3347,2026-01-22 11:19:22
20,0.3340,2026-01-22 11:19:23
21,0.3363,2026-01-22 11:19:23
22,0.3421,2026-01-22 11:19:24
23,0.3230,2026-01-22 11:19:25
24,0.3097,2026-01-22 11:19:25
25,0.3189,2026-01-22 11:19:26
26,0.3153,2026-01-22 11:19:28
27,0.3136,2026-01-22 11:19:30
28,0.3205,2026-01-22 11:19:31
29,0.2989,2026-01-22 11:19:33
30,0.3248,2026-01-22 11:19:35
31,0.3234,2026-01-22 11:19:36
32,0.3098,2026-01-22 11:19:37
33,0.2940,2026-01-22 11:19:38
34,0.3052,2026-01-22 11:19:39
35,0.3152,2026-01-22 11:19:40
36,0.3159,2026-01-22 11:19:40
37,0.3084,2026-01-22 11:19:42
38,0.2887,2026-01-22 11:19:46
39,0.2720,2026-01-22 11:19:50
40,0.3152,2026-01-22 11:19:53
41,0.3150,2026-01-22 11:19:56
42,0.3131,2026-01-22 11:19:58
43,0.3325,2026-01-22 11:20:00
44,0.3343,2026-01-22 11:20:02
45,0.2913,2026-01-22 11:20:04
46,0.2812,2026-01-22 11:20:05
47,0.2807,2026-01-22 11:20:06
48,0.2908,2026-01-22 11:20:07
49,0.2842,2026-01-22 11:20:09
50,0.2270,2026-01-22 11:20:16
