SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,874,500,8,15,1,200,13,120,1,1,0.4073
6,882,500,5,17,1,200,30,120,1,1,0.3850
6,867,500,6,20,1,200,33,140,1,1,0.3671
7,874,500,6,15,0,200,13,120,1,1,0.3421
7,877,500,5,8,0,200,26,100,1,1,0.3363
7,874,250,7,15,0,200,13,120,1,1,0.3347
9,874,250,8,15,0,200,13,120,1,1,0.3343
7,874,250,8,15,0,200,13,120,1,1,0.3340
9,874,250,7,7,0,200,71,80,1,1,0.3325
8,861,250,6,10,0,200,84,100,1,1,0.3248
8,860,250,7,14,0,200,50,120,1,1,0.3234
7,865,500,7,3,0,200,29,80,1,1,0.3230
8,874,125,8,13,0,200,21,100,1,1,0.3205
8,878,125,5,2,0,200,28,80,1,1,0.3189
7,873,250,5,7,0,200,86,80,1,1,0.3176
8,874,500,8,15,0,200,13,120,1,1,0.3159
8,877,125,6,10,0,200,41,100,1,1,0.3153
9,884,125,8,11,0,200,22,100,1,1,0.3152
7,861,250,6,14,0,200,65,120,1,1,0.3152
8,874,500,7,15,0,200,13,120,1,1,0.3152
9,880,250,5,14,0,200,66,120,1,1,0.3150
8,874,125,7,15,0,200,13,120,1,1,0.3136
7,874,125,5,15,0,200,13,120,1,1,0.3136
9,884,250,6,9,0,200,62,100,1,1,0.3131
6,867,500,7,10,1,200,82,100,1,1,0.3110
6,866,250,7,2,1,200,83,80,1,1,0.3106
6,889,250,5,10,1,200,81,100,1,1,0.3102
8,877,250,8,16,0,200,75,120,1,1,0.3098
7,864,500,8,13,0,200,40,100,1,1,0.3097
9,867,125,5,11,0,200,58,100,1,1,0.3084
8,868,500,6,6,0,200,32,80,1,1,0.3052
6,870,250,6,12,1,200,84,100,1,1,0.3044
7,874,125,8,15,0,200,13,120,1,1,0.3035
6,874,250,8,3,1,200,87,80,1,1,0.3028
7,890,125,6,13,0,200,73,100,1,1,0.2991
8,883,250,5,3,0,200,99,80,1,1,0.2989
7,862,125,7,15,0,200,39,120,1,1,0.2957
8,878,500,5,20,0,200,27,140,1,1,0.2940
6,872,125,5,4,1,200,65,80,1,1,0.2916
9,883,500,5,6,0,200,52,80,1,1,0.2913
9,874,500,8,15,0,200,13,120,1,1,0.2908
6,864,125,6,15,1,200,45,120,1,1,0.2901
6,872,125,7,4,1,200,65,80,1,1,0.2898
9,880,125,6,10,0,200,46,100,1,1,0.2887
6,873,125,8,14,1,200,57,120,1,1,0.2847
10,874,125,5,15,0,200,13,120,1,1,0.2842
9,889,500,6,5,0,200,51,80,1,1,0.2812
9,870,500,7,10,0,200,64,100,1,1,0.2807
9,885,125,7,14,0,200,77,120,1,1,0.2720
10,886,125,6,20,0,200,95,140,1,1,0.2270
