SF,IH,BW,CR,reward,count,ucb
6,1,500,8,0.1222,1,0.6816
6,1,500,5,0.1155,1,0.6749
6,1,500,6,0.1101,1,0.6696
7,0,500,6,0.1026,1,0.6621
7,0,500,5,0.1009,1,0.6603
7,0,250,7,0.1004,1,0.6598
9,0,250,8,0.1003,1,0.6597
7,0,250,8,0.1002,1,0.6596
9,0,250,7,0.0997,1,0.6592
8,0,250,6,0.0974,1,0.6569
8,0,250,7,0.0970,1,0.6564
7,0,500,7,0.0969,1,0.6563
8,0,125,8,0.0961,1,0.6556
8,0,125,5,0.0957,1,0.6551
7,0,250,5,0.0953,1,0.6547
8,0,500,8,0.0948,1,0.6542
8,0,125,6,0.0946,1,0.6540
9,0,125,8,0.0946,1,0.6540
7,0,250,6,0.0946,1,0.6540
8,0,500,7,0.0946,1,0.6540
9,0,250,5,0.0945,1,0.6539
8,0,125,7,0.0941,1,0.6535
7,0,125,5,0.0941,1,0.6535
9,0,250,6,0.0939,1,0.6534
6,1,500,7,0.0933,1,0.6527
6,1,250,7,0.0932,1,0.6526
6,1,250,5,0.0930,1,0.6525
8,0,250,8,0.0929,1,0.6524
7,0,500,8,0.0929,1,0.6523
9,0,125,5,0.0925,1,0.6519
8,0,500,6,0.0916,1,0.6510
6,1,250,6,0.0913,1,0.6507
7,0,125,8,0.0911,1,0.6505
6,1,250,8,0.0908,1,0.6503
7,0,125,6,0.0897,1,0.6492
8,0,250,5,0.0897,1,0.6491
7,0,125,7,0.0887,1,0.6481
8,0,500,5,0.0882,1,0.6476
6,1,125,5,0.0875,1,0.6469
9,0,500,5,0.0874,1,0.6468
9,0,500,8,0.0872,1,0.6467
6,1,125,6,0.0870,1,0.6464
6,1,125,7,0.0869,1,0.6464
9,0,125,6,0.0866,1,0.6460
6,1,125,8,0.0854,1,0.6448
10,0,125,5,0.0853,1,0.6447
9,0,500,6,0.0843,1,0.6438
9,0,500,7,0.0842,1,0.6436
9,0,125,7,0.0816,1,0.6410
10,0,125,6,0.0681,1,inf
11,0,500,6,0.0000,0,inf
11,0,500,7,0.0000,0,inf
11,0,500,8,0.0000,0,inf
12,0,125,8,0.0000,0,inf
12,0,125,5,0.0000,0,inf
12,0,125,6,0.0000,0,inf
12,0,125,7,0.0000,0,inf
12,0,500,5,0.0000,0,inf
12,0,250,5,0.0000,0,inf
12,0,250,6,0.0000,0,inf
12,0,250,7,0.0000,0,inf
12,0,250,8,0.0000,0,inf
11,0,250,8,0.0000,0,inf
12,0,500,6,0.0000,0,inf
12,0,500,7,0.0000,0,inf
11,0,500,5,0.0000,0,inf
11,0,125,6,0.0000,0,inf
11,0,250,7,0.0000,0,inf
10,0,500,5,0.0000,0,inf
10,0,125,7,0.0000,0,inf
10,0,125,8,0.0000,0,inf
10,0,250,5,0.0000,0,inf
10,0,250,6,0.0000,0,inf
10,0,250,7,0.0000,0,inf
10,0,250,8,0.0000,0,inf
10,0,500,6,0.0000,0,inf
11,0,250,6,0.0000,0,inf
10,0,500,7,0.0000,0,inf
10,0,500,8,0.0000,0,inf
11,0,125,5,0.0000,0,inf
11,0,125,7,0.0000,0,inf
11,0,125,8,0.0000,0,inf
11,0,250,5,0.0000,0,inf
12,0,500,8,0.0000,0,inf
