SF,IH,BW,CR,preference,probability
6,1,500,5,0.7738,0.0255
6,1,500,7,0.4792,0.0190
6,1,500,6,0.4475,0.0184
6,1,250,5,0.2882,0.0157
6,1,500,8,0.2070,0.0144
7,0,500,5,0.1816,0.0141
6,1,250,6,0.1421,0.0135
8,0,125,8,0.1323,0.0134
7,0,500,8,0.1093,0.0131
7,0,250,5,0.1072,0.0131
7,0,250,7,0.1051,0.0130
8,0,125,6,0.1005,0.0130
8,0,125,5,0.0999,0.0130
9,0,125,5,0.0979,0.0130
7,0,125,7,0.0855,0.0128
6,1,125,8,0.0847,0.0128
7,0,500,7,0.0796,0.0127
8,0,250,5,0.0695,0.0126
6,1,125,7,0.0682,0.0126
7,0,125,6,0.0653,0.0125
7,0,250,8,0.0565,0.0124
7,0,125,5,0.0546,0.0124
10,0,125,6,0.0544,0.0124
6,1,125,6,0.0494,0.0123
7,0,250,6,0.0484,0.0123
6,1,125,5,0.0460,0.0123
7,0,500,6,0.0458,0.0123
7,0,125,8,0.0410,0.0122
9,0,125,6,0.0323,0.0121
8,0,250,7,0.0289,0.0121
9,0,125,7,0.0287,0.0121
8,0,500,5,0.0243,0.0120
8,0,125,7,0.0217,0.0120
6,1,250,8,0.0174,0.0119
8,0,500,7,0.0174,0.0119
9,0,250,8,0.0169,0.0119
10,0,125,7,0.0154,0.0119
10,0,125,5,0.0150,0.0119
8,0,250,8,0.0130,0.0119
6,1,250,7,0.0100,0.0119
10,0,125,8,0.0092,0.0119
8,0,250,6,0.0078,0.0118
9,0,125,8,-0.0018,0.0117
8,0,500,8,-0.0108,0.0116
9,0,250,6,-0.0113,0.0116
8,0,500,6,-0.0188,0.0115
10,0,250,5,-0.0243,0.0115
9,0,500,8,-0.0244,0.0115
9,0,500,5,-0.0247,0.0115
9,0,500,6,-0.0253,0.0115
10,0,250,6,-0.0303,0.0114
9,0,250,7,-0.0310,0.0114
9,0,250,5,-0.0335,0.0114
10,0,250,8,-0.0337,0.0114
11,0,125,5,-0.0354,0.0113
11,0,125,8,-0.0472,0.0112
10,0,500,8,-0.0562,0.0111
10,0,250,7,-0.0590,0.0111
10,0,500,5,-0.0626,0.0110
10,0,500,6,-0.0686,0.0110
11,0,125,7,-0.0696,0.0110
11,0,250,5,-0.0797,0.0108
11,0,125,6,-0.0812,0.0108
11,0,500,8,-0.0832,0.0108
11,0,250,7,-0.0848,0.0108
9,0,500,7,-0.0849,0.0108
11,0,250,8,-0.0912,0.0107
12,0,250,5,-0.1173,0.0104
11,0,250,6,-0.1201,0.0104
10,0,500,7,-0.1258,0.0104
12,0,125,5,-0.1370,0.0102
11,0,500,7,-0.1546,0.0101
12,0,500,6,-0.1597,0.0100
12,0,500,5,-0.1696,0.0099
12,0,250,7,-0.1743,0.0099
11,0,500,6,-0.1773,0.0098
11,0,500,5,-0.1784,0.0098
12,0,250,8,-0.1968,0.0096
12,0,500,8,-0.2108,0.0095
12,0,250,6,-0.2265,0.0094
12,0,125,8,-0.2514,0.0091
12,0,500,7,-0.2621,0.0090
12,0,125,7,-0.2659,0.0090
12,0,125,6,-0.2775,0.0089
