iteration,reward,timestamp
1,0.0920,2026-01-26 22:32:40
2,0.1201,2026-01-26 22:32:40
3,0.2200,2026-01-26 22:32:40
4,0.1455,2026-01-26 22:32:40
5,0.1914,2026-01-26 22:32:40
6,0.2080,2026-01-26 22:32:40
7,0.2138,2026-01-26 22:32:40
8,0.1659,2026-01-26 22:32:40
9,0.1268,2026-01-26 22:32:40
10,0.1153,2026-01-26 22:32:40
11,0.1798,2026-01-26 22:32:40
12,0.1530,2026-01-26 22:32:40
13,0.1705,2026-01-26 22:32:40
14,0.0887,2026-01-26 22:32:40
15,0.1550,2026-01-26 22:32:40
16,0.1282,2026-01-26 22:32:40
17,0.2299,2026-01-26 22:32:40
18,0.1092,2026-01-26 22:32:40
19,0.0937,2026-01-26 22:32:40
20,0.2216,2026-01-26 22:32:40
21,0.1202,2026-01-26 22:32:40
22,0.1108,2026-01-26 22:32:40
23,0.1791,2026-01-26 22:32:40
24,0.1095,2026-01-26 22:32:40
25,0.1538,2026-01-26 22:32:40
26,0.1569,2026-01-26 22:32:40
27,0.0960,2026-01-26 22:32:40
28,0.1725,2026-01-26 22:32:40
29,0.1739,2026-01-26 22:32:40
30,0.2501,2026-01-26 22:32:40
31,0.2006,2026-01-26 22:32:40
32,0.1748,2026-01-26 22:32:40
33,0.1612,2026-01-26 22:32:40
34,0.1867,2026-01-26 22:32:40
35,0.2768,2026-01-26 22:32:40
36,0.1288,2026-01-26 22:32:40
37,0.1774,2026-01-26 22:32:40
38,0.0433,2026-01-26 22:32:40
39,0.1338,2026-01-26 22:32:40
40,0.1222,2026-01-26 22:32:40
41,0.1483,2026-01-26 22:32:40
42,0.0837,2026-01-26 22:32:40
43,0.1915,2026-01-26 22:32:40
44,0.1028,2026-01-26 22:32:40
45,0.2446,2026-01-26 22:32:40
46,0.1507,2026-01-26 22:32:40
47,0.1693,2026-01-26 22:32:40
48,0.1963,2026-01-26 22:32:40
49,0.2324,2026-01-26 22:32:40
50,0.1720,2026-01-26 22:32:40
51,0.1066,2026-01-26 22:32:40
52,0.1287,2026-01-26 22:32:40
53,0.1175,2026-01-26 22:32:40
54,0.1363,2026-01-26 22:32:40
55,0.2115,2026-01-26 22:32:40
56,0.1734,2026-01-26 22:32:40
57,0.3362,2026-01-26 22:32:40
58,0.1158,2026-01-26 22:32:40
59,0.1347,2026-01-26 22:32:40
60,0.3100,2026-01-26 22:32:40
61,0.1891,2026-01-26 22:32:40
62,0.1520,2026-01-26 22:32:40
63,0.2122,2026-01-26 22:32:40
64,0.2517,2026-01-26 22:32:40
65,0.1771,2026-01-26 22:32:40
66,0.2268,2026-01-26 22:32:40
67,0.1800,2026-01-26 22:32:40
68,0.1937,2026-01-26 22:32:40
69,0.1420,2026-01-26 22:32:40
70,0.1274,2026-01-26 22:32:40
71,0.0822,2026-01-26 22:32:40
72,0.1250,2026-01-26 22:32:40
73,0.1932,2026-01-26 22:32:40
74,0.1633,2026-01-26 22:32:40
75,0.1431,2026-01-26 22:32:40
76,0.1975,2026-01-26 22:32:40
77,0.2178,2026-01-26 22:32:40
78,0.0944,2026-01-26 22:32:40
79,0.1662,2026-01-26 22:32:40
80,0.1990,2026-01-26 22:32:40
81,0.1347,2026-01-26 22:32:40
82,0.2249,2026-01-26 22:32:40
83,0.2686,2026-01-26 22:32:40
84,0.1708,2026-01-26 22:32:40
85,0.0902,2026-01-26 22:32:40
86,0.1662,2026-01-26 22:32:40
87,0.1888,2026-01-26 22:32:40
88,0.2530,2026-01-26 22:32:40
89,0.2065,2026-01-26 22:32:40
90,0.0537,2026-01-26 22:32:40
91,0.1284,2026-01-26 22:32:40
92,0.1524,2026-01-26 22:32:40
93,0.2738,2026-01-26 22:32:40
94,0.1647,2026-01-26 22:32:40
95,0.3194,2026-01-26 22:32:40
96,0.1001,2026-01-26 22:32:40
97,0.1473,2026-01-26 22:32:40
98,0.1819,2026-01-26 22:32:40
99,0.2370,2026-01-26 22:32:40
100,0.2560,2026-01-26 22:32:40
101,0.2508,2026-01-26 22:32:40
102,0.1251,2026-01-26 22:32:40
103,0.1750,2026-01-26 22:32:40
104,0.1304,2026-01-26 22:32:40
105,0.2266,2026-01-26 22:32:40
106,0.3170,2026-01-26 22:32:40
107,0.2360,2026-01-26 22:32:40
108,0.2297,2026-01-26 22:32:40
109,0.2430,2026-01-26 22:32:40
110,0.2046,2026-01-26 22:32:40
111,0.2093,2026-01-26 22:32:40
112,0.2230,2026-01-26 22:32:40
113,0.2184,2026-01-26 22:32:40
114,0.1443,2026-01-26 22:32:40
115,0.1462,2026-01-26 22:32:40
116,0.1889,2026-01-26 22:32:41
117,0.2410,2026-01-26 22:32:41
118,0.1716,2026-01-26 22:32:41
119,0.1844,2026-01-26 22:32:41
120,0.2094,2026-01-26 22:32:41
121,0.1272,2026-01-26 22:32:41
122,0.2379,2026-01-26 22:32:41
123,0.4112,2026-01-26 22:32:41
124,0.0975,2026-01-26 22:32:41
