SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6.0,876,500.0,5.0,20,1.0,200,12,140,1,10,0.4112
6.0,876,500.0,6.0,20,1.0,200,12,140,1,13,0.3446
6.0,876,500.0,8.0,20,1.0,200,12,140,1,15,0.3362
6.0,876,500.0,7.0,20,1.0,200,12,140,1,6,0.3306
7.0,876,500.0,5.0,20,0.0,200,12,140,1,8,0.3253
6.0,876,250.0,5.0,20,1.0,200,12,140,1,9,0.2768
6.0,876,250.0,6.0,20,1.0,200,12,140,1,9,0.2738
6.0,876,250.0,8.0,20,1.0,200,12,140,1,8,0.2716
6.0,876,250.0,7.0,20,1.0,200,12,140,1,6,0.2561
8.0,876,125.0,6.0,20,0.0,200,12,140,1,9,0.2560
7.0,876,500.0,7.0,20,0.0,200,12,140,1,14,0.2530
7.0,876,500.0,6.0,20,0.0,200,12,140,1,11,0.2517
7.0,876,125.0,6.0,20,0.0,200,12,140,1,10,0.2508
8.0,876,125.0,7.0,20,0.0,200,12,140,1,11,0.2501
7.0,879,500.0,7.0,14,0.0,200,6,120,1,1,0.2479
7.0,876,250.0,5.0,20,0.0,200,12,140,1,2,0.2458
6.0,876,125.0,6.0,20,1.0,200,12,140,1,13,0.2458
6.0,876,125.0,7.0,20,1.0,200,12,140,1,14,0.2447
6.0,876,125.0,5.0,20,1.0,200,12,140,1,14,0.2446
8.0,876,500.0,5.0,20,0.0,200,12,140,1,8,0.2428
7.0,876,500.0,8.0,20,0.0,200,12,140,1,5,0.2370
7.0,876,250.0,6.0,20,0.0,200,12,140,1,9,0.2360
8.0,876,500.0,7.0,20,0.0,200,12,140,1,7,0.2324
8.0,876,125.0,5.0,20,0.0,200,12,140,1,7,0.2324
9.0,876,125.0,8.0,20,0.0,200,12,140,1,10,0.2324
8.0,876,250.0,8.0,20,0.0,200,12,140,1,11,0.2321
7.0,876,125.0,7.0,20,0.0,200,12,140,1,10,0.2315
7.0,876,125.0,5.0,20,0.0,200,12,140,1,9,0.2312
6.0,862,500.0,5.0,20,1.0,200,95,140,1,1,0.2299
7.0,876,125.0,8.0,20,0.0,200,12,140,1,14,0.2291
9.0,876,125.0,5.0,20,0.0,200,12,140,1,13,0.2288
8.0,876,500.0,6.0,20,0.0,200,12,140,1,10,0.2268
8.0,876,250.0,6.0,20,0.0,200,12,140,1,10,0.2266
8.0,876,125.0,8.0,20,0.0,200,12,140,1,10,0.2254
7.0,876,250.0,8.0,20,0.0,200,12,140,1,14,0.2249
9.0,876,125.0,6.0,20,0.0,200,12,140,1,6,0.2232
7.0,870,125.0,5.0,11,0.0,200,11,100,1,1,0.2216
8.0,861,250.0,7.0,20,0.0,200,43,140,1,1,0.2214
9.0,876,125.0,7.0,20,0.0,200,12,140,1,10,0.2204
7.0,862,500.0,6.0,5,0.0,200,11,80,1,1,0.2200
9.0,876,250.0,8.0,20,0.0,200,12,140,1,9,0.2184
7.0,862,125.0,6.0,15,0.0,200,55,120,1,1,0.2178
7.0,875,125.0,7.0,17,0.0,200,17,120,1,1,0.2138
10.0,876,125.0,7.0,20,0.0,200,12,140,1,8,0.2137
7.0,873,250.0,8.0,17,0.0,200,11,120,1,1,0.2122
8.0,876,250.0,7.0,20,0.0,200,12,140,1,7,0.2111
9.0,876,500.0,6.0,20,0.0,200,12,140,1,8,0.2097
8.0,890,125.0,5.0,17,0.0,200,90,120,1,1,0.2094
8.0,876,500.0,8.0,20,0.0,200,12,140,1,9,0.2093
8.0,876,250.0,5.0,20,0.0,200,12,140,1,10,0.2089
11.0,876,125.0,8.0,20,0.0,200,12,140,1,9,0.2080
9.0,877,125.0,5.0,13,0.0,200,91,100,1,1,0.2080
9.0,876,250.0,6.0,20,0.0,200,12,140,1,14,0.2078
8.0,884,250.0,7.0,16,0.0,200,9,120,1,1,0.2076
7.0,876,250.0,7.0,20,0.0,200,12,140,1,9,0.2071
10.0,876,250.0,6.0,20,0.0,200,12,140,1,15,0.2070
10.0,876,250.0,5.0,20,0.0,200,12,140,1,7,0.2065
11.0,876,250.0,6.0,20,0.0,200,12,140,1,9,0.2059
9.0,876,500.0,5.0,20,0.0,200,12,140,1,11,0.2052
10.0,876,125.0,5.0,20,0.0,200,12,140,1,12,0.2046
9.0,876,250.0,5.0,20,0.0,200,12,140,1,9,0.2021
8.0,887,250.0,6.0,16,0.0,200,48,120,1,1,0.2014
6.0,876,125.0,8.0,20,1.0,200,12,140,1,9,0.2006
10.0,876,500.0,5.0,20,0.0,200,12,140,1,11,0.2005
6.0,887,250.0,5.0,6,1.0,200,28,80,1,1,0.2002
8.0,862,250.0,6.0,16,0.0,200,47,120,1,1,0.1995
9.0,876,250.0,7.0,20,0.0,200,12,140,1,9,0.1994
10.0,876,125.0,6.0,20,0.0,200,12,140,1,12,0.1990
9.0,867,125.0,7.0,11,0.0,200,87,100,1,1,0.1975
8.0,862,125.0,5.0,8,0.0,200,95,100,1,1,0.1963
8.0,877,250.0,5.0,13,0.0,200,30,100,1,1,0.1947
7.0,885,250.0,7.0,17,0.0,200,27,120,1,1,0.1947
9.0,876,500.0,8.0,20,0.0,200,12,140,1,12,0.1937
9.0,876,500.0,7.0,20,0.0,200,12,140,1,12,0.1932
7.0,884,125.0,5.0,13,0.0,200,47,100,1,1,0.1920
7.0,865,500.0,5.0,16,0.0,200,77,120,1,1,0.1915
7.0,860,250.0,7.0,17,0.0,200,24,120,1,1,0.1914
12.0,876,125.0,5.0,20,0.0,200,12,140,1,11,0.1891
8.0,865,250.0,6.0,15,0.0,200,64,120,1,1,0.1891
10.0,876,500.0,8.0,20,0.0,200,12,140,1,10,0.1889
8.0,860,125.0,6.0,12,0.0,200,70,100,1,1,0.1888
11.0,876,250.0,5.0,20,0.0,200,12,140,1,17,0.1874
6.0,873,500.0,8.0,15,1.0,200,63,120,1,1,0.1871
9.0,881,500.0,7.0,12,0.0,200,20,100,1,1,0.1870
7.0,870,250.0,6.0,12,0.0,200,87,100,1,1,0.1867
7.0,873,500.0,7.0,2,0.0,200,11,80,1,1,0.1859
9.0,888,125.0,5.0,17,0.0,200,83,120,1,1,0.1855
6.0,883,250.0,8.0,17,1.0,200,97,120,1,1,0.1844
8.0,882,250.0,6.0,15,0.0,200,35,120,1,1,0.1841
7.0,870,125.0,5.0,12,0.0,200,66,100,1,1,0.1833
7.0,879,125.0,8.0,14,0.0,200,86,120,1,1,0.1830
10.0,876,250.0,8.0,20,0.0,200,12,140,1,9,0.1823
12.0,876,250.0,8.0,20,0.0,200,12,140,1,8,0.1820
10.0,884,250.0,5.0,20,0.0,200,85,140,1,1,0.1819
7.0,885,125.0,5.0,11,0.0,200,75,100,1,1,0.1819
12.0,876,500.0,5.0,20,0.0,200,12,140,1,6,0.1810
10.0,876,125.0,8.0,20,0.0,200,12,140,1,10,0.1809
10.0,876,250.0,7.0,20,0.0,200,12,140,1,13,0.1800
6.0,870,125.0,5.0,12,1.0,200,37,100,1,1,0.1798
6.0,861,500.0,8.0,13,1.0,200,88,100,1,1,0.1791
7.0,860,500.0,7.0,14,0.0,200,53,120,1,1,0.1774
9.0,890,125.0,7.0,10,0.0,200,52,100,1,1,0.1771
8.0,868,250.0,7.0,12,0.0,200,32,100,1,1,0.1767
8.0,887,500.0,6.0,14,0.0,200,59,120,1,1,0.1764
7.0,870,125.0,7.0,12,0.0,200,19,100,1,1,0.1764
7.0,861,500.0,5.0,17,0.0,200,84,120,1,1,0.1764
6.0,861,125.0,8.0,13,1.0,200,50,100,1,1,0.1764
8.0,886,125.0,8.0,10,0.0,200,95,100,1,1,0.1754
11.0,880,125.0,5.0,12,0.0,200,10,100,1,1,0.1750
7.0,889,125.0,6.0,8,0.0,200,23,100,1,1,0.1748
8.0,875,500.0,7.0,6,0.0,200,44,80,1,1,0.1739
8.0,866,250.0,6.0,14,0.0,200,60,120,1,1,0.1734
8.0,862,250.0,5.0,20,0.0,200,95,140,1,1,0.1725
6.0,881,125.0,8.0,14,1.0,200,82,120,1,1,0.1720
11.0,876,125.0,7.0,20,0.0,200,12,140,1,9,0.1716
8.0,881,500.0,8.0,16,0.0,200,40,120,1,1,0.1714
9.0,877,500.0,6.0,17,0.0,200,16,120,1,1,0.1711
6.0,881,125.0,6.0,6,1.0,200,41,80,1,1,0.1708
9.0,861,250.0,6.0,13,0.0,200,40,100,1,1,0.1705
9.0,861,125.0,7.0,15,0.0,200,75,120,1,1,0.1701
9.0,870,500.0,5.0,13,0.0,200,30,100,1,1,0.1697
8.0,885,250.0,6.0,16,0.0,200,38,120,1,1,0.1696
10.0,876,500.0,6.0,20,0.0,200,12,140,1,9,0.1695
8.0,864,250.0,6.0,12,0.0,200,49,100,1,1,0.1693
10.0,876,500.0,7.0,20,0.0,200,12,140,1,5,0.1692
8.0,887,125.0,8.0,9,0.0,200,76,100,1,1,0.1690
7.0,877,250.0,8.0,14,0.0,200,64,120,1,1,0.1690
9.0,870,125.0,8.0,17,0.0,200,92,120,1,1,0.1688
9.0,873,500.0,7.0,14,0.0,200,7,120,1,1,0.1679
7.0,886,250.0,7.0,12,0.0,200,72,100,1,1,0.1675
11.0,876,250.0,7.0,20,0.0,200,12,140,1,11,0.1666
9.0,884,125.0,8.0,9,0.0,200,50,100,1,1,0.1662
12.0,876,250.0,5.0,20,0.0,200,12,140,1,10,0.1662
10.0,881,250.0,5.0,7,0.0,200,9,80,1,1,0.1659
7.0,869,250.0,7.0,14,0.0,200,27,120,1,1,0.1650
8.0,879,500.0,7.0,20,0.0,200,64,140,1,1,0.1643
10.0,888,125.0,6.0,10,0.0,200,23,100,1,1,0.1639
11.0,876,125.0,5.0,20,0.0,200,12,140,1,10,0.1633
8.0,872,500.0,8.0,13,0.0,200,100,100,1,1,0.1632
12.0,876,125.0,6.0,20,0.0,200,12,140,1,8,0.1626
11.0,876,250.0,8.0,20,0.0,200,12,140,1,7,0.1626
7.0,889,500.0,6.0,12,0.0,200,92,100,1,1,0.1621
12.0,876,125.0,7.0,20,0.0,200,12,140,1,6,0.1618
10.0,888,125.0,8.0,7,0.0,200,12,80,1,1,0.1612
8.0,863,250.0,6.0,10,0.0,200,61,100,1,1,0.1610
11.0,876,125.0,6.0,20,0.0,200,12,140,1,9,0.1599
7.0,867,500.0,7.0,10,0.0,200,66,100,1,1,0.1585
8.0,861,500.0,5.0,9,0.0,200,82,100,1,1,0.1585
7.0,883,500.0,6.0,2,0.0,200,37,80,1,1,0.1584
10.0,874,250.0,5.0,14,0.0,200,36,120,1,1,0.1570
9.0,871,500.0,7.0,16,0.0,200,28,120,1,1,0.1569
7.0,863,250.0,7.0,13,0.0,200,52,100,1,1,0.1567
11.0,878,125.0,5.0,16,0.0,200,66,120,1,1,0.1550
10.0,877,500.0,8.0,15,0.0,200,24,120,1,1,0.1538
7.0,871,250.0,8.0,10,0.0,200,40,100,1,1,0.1538
11.0,876,500.0,5.0,20,0.0,200,12,140,1,8,0.1535
12.0,876,250.0,6.0,20,0.0,200,12,140,1,7,0.1534
7.0,875,125.0,6.0,10,0.0,200,95,100,1,1,0.1533
8.0,866,125.0,6.0,6,0.0,200,26,80,1,1,0.1530
8.0,866,250.0,7.0,2,0.0,200,19,80,1,1,0.1524
