SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,873,500,5,10,1,200,13,100,1,34,0.3688
6,865,500,7,13,1,200,7,100,1,1,0.3216
6,877,500,7,6,1,200,7,80,1,49,0.3161
6,884,500,7,12,1,200,10,100,1,1,0.3155
6,879,500,6,5,1,200,16,80,1,1,0.2997
6,860,250,5,7,1,200,6,80,1,1,0.2745
6,870,500,5,16,1,200,43,120,1,1,0.2709
6,865,500,5,15,1,200,38,120,1,1,0.2702
6,879,250,6,17,1,200,9,120,1,1,0.2680
6,861,500,5,2,1,200,31,80,1,1,0.2664
6,873,500,5,3,1,200,33,80,1,1,0.2661
7,887,500,5,7,0,200,6,80,1,1,0.2646
6,875,500,7,2,1,200,16,80,1,1,0.2611
6,865,250,6,13,1,200,7,100,1,1,0.2598
6,885,500,5,5,1,200,38,80,1,1,0.2564
6,862,500,5,5,1,200,36,80,1,1,0.2560
6,879,500,6,10,1,200,34,100,1,1,0.2502
8,875,125,8,20,0,200,20,140,1,5,0.2487
6,868,500,6,17,1,200,50,120,1,1,0.2465
7,889,500,6,16,0,200,17,120,1,1,0.2430
7,866,500,5,9,0,200,16,100,1,1,0.2372
7,885,500,8,20,0,200,33,140,1,1,0.2348
7,864,250,5,15,0,200,18,120,1,1,0.2289
6,870,500,5,7,1,200,48,80,1,1,0.2277
6,884,500,8,6,1,200,25,80,1,1,0.2265
6,864,125,5,17,1,200,14,120,1,1,0.2237
6,874,500,8,15,1,200,40,120,1,1,0.2216
9,873,500,5,20,0,200,9,140,1,1,0.2206
8,873,125,5,20,0,200,71,140,1,1,0.2204
6,864,500,7,6,1,200,35,80,1,1,0.2203
6,889,125,6,15,1,200,16,120,1,8,0.2200
6,883,500,8,9,1,200,45,100,1,1,0.2198
7,883,500,7,20,0,200,36,140,1,1,0.2192
6,889,250,7,13,1,200,16,100,1,1,0.2189
8,879,250,5,16,0,200,39,120,1,1,0.2188
7,871,125,6,12,0,200,9,100,1,1,0.2183
6,875,125,5,20,1,200,88,140,1,1,0.2164
7,864,500,7,15,0,200,11,120,1,1,0.2158
9,889,250,5,20,0,200,58,140,1,1,0.2156
7,878,125,6,17,0,200,42,120,1,1,0.2155
8,870,125,7,14,0,200,98,120,1,1,0.2150
6,878,250,7,16,1,200,23,120,1,1,0.2149
10,876,125,5,20,0,200,89,140,1,1,0.2139
8,877,500,5,14,0,200,10,120,1,1,0.2136
6,885,250,6,12,1,200,23,100,1,1,0.2132
7,871,125,7,17,0,200,65,120,1,1,0.2119
6,873,500,7,13,1,200,50,100,1,1,0.2116
6,861,250,7,15,1,200,73,120,1,1,0.2115
10,870,125,8,13,0,200,30,100,1,1,0.2108
8,863,125,7,17,0,200,23,120,1,1,0.2104
10,875,125,6,20,0,200,62,140,1,1,0.2104
6,887,500,6,3,1,200,47,80,1,1,0.2103
6,870,500,7,5,1,200,45,80,1,1,0.2103
8,871,125,6,20,0,200,12,140,1,1,0.2103
8,865,500,7,20,0,200,19,140,1,1,0.2094
6,861,500,8,4,1,200,35,80,1,1,0.2094
7,874,500,6,6,0,200,14,80,1,1,0.2092
6,869,250,5,12,1,200,51,100,1,1,0.2092
7,884,125,8,14,0,200,21,120,1,1,0.2085
6,884,250,7,20,1,200,41,140,1,1,0.2077
9,882,500,8,16,0,200,20,120,1,1,0.2075
8,870,125,7,14,0,200,81,120,1,2,0.2074
7,877,250,8,20,0,200,20,140,1,1,0.2073
7,869,250,5,16,0,200,45,120,1,1,0.2071
8,868,125,5,14,0,200,29,120,1,1,0.2070
9,870,125,7,12,0,200,8,100,1,1,0.2064
9,872,125,8,14,0,200,13,120,1,1,0.2064
6,889,250,6,15,1,200,33,120,1,1,0.2061
11,862,125,7,17,0,200,19,120,1,1,0.2060
7,890,125,6,20,0,200,99,140,1,1,0.2054
6,884,250,5,9,1,200,20,100,1,1,0.2053
10,876,125,6,17,0,200,40,120,1,1,0.2052
8,883,250,8,13,0,200,8,100,1,1,0.2051
7,876,250,5,14,0,200,10,120,1,1,0.2051
7,880,125,8,20,0,200,17,140,1,1,0.2047
6,868,125,8,16,1,200,22,120,1,1,0.2046
6,866,500,8,7,1,200,43,80,1,1,0.2039
8,883,125,7,17,0,200,82,120,1,1,0.2038
6,881,500,6,8,1,200,57,100,1,1,0.2036
8,882,125,7,16,0,200,79,120,1,1,0.2032
10,873,250,6,20,0,200,39,140,1,1,0.2032
8,860,500,7,13,0,200,16,100,1,1,0.2030
6,872,250,8,20,1,200,92,140,1,1,0.2029
7,880,500,5,14,0,200,37,120,1,1,0.2027
8,890,250,5,13,0,200,20,100,1,1,0.2027
8,866,250,5,20,0,200,83,140,1,1,0.2021
9,883,250,6,17,0,200,86,120,1,1,0.2021
6,887,500,8,3,1,200,33,80,1,1,0.2021
7,882,250,6,16,0,200,63,120,1,1,0.2018
7,865,250,7,17,0,200,36,120,1,1,0.2011
8,861,500,5,14,0,200,18,120,1,1,0.2009
9,890,125,5,11,0,200,60,100,1,1,0.2007
8,887,500,6,14,0,200,14,120,1,1,0.2003
8,882,125,5,17,0,200,68,120,1,1,0.1998
7,863,125,5,13,0,200,71,100,1,1,0.1998
8,882,125,8,12,0,200,55,100,1,1,0.1998
7,878,500,6,16,0,200,29,120,1,1,0.1996
7,890,250,8,17,0,200,16,120,1,1,0.1991
6,875,500,5,13,1,200,86,100,1,1,0.1986
8,873,500,8,20,0,200,56,140,1,1,0.1983
7,861,125,7,16,0,200,18,120,1,1,0.1977
8,886,125,7,17,0,200,7,120,1,1,0.1976
6,885,250,5,8,1,200,38,100,1,1,0.1972
6,862,500,8,12,1,200,61,100,1,1,0.1970
7,876,125,7,13,0,200,63,100,1,1,0.1968
7,870,125,7,8,0,200,18,100,1,1,0.1966
10,880,125,6,20,0,200,46,140,1,1,0.1966
9,870,250,6,17,0,200,27,120,1,1,0.1965
6,881,250,8,14,1,200,83,120,1,1,0.1964
6,876,500,8,11,1,200,48,100,1,1,0.1964
8,883,500,5,20,0,200,68,140,1,1,0.1964
9,864,125,7,16,0,200,40,120,1,1,0.1958
10,860,125,8,17,0,200,8,120,1,1,0.1957
7,877,500,8,16,0,200,65,120,1,1,0.1954
7,868,250,6,16,0,200,34,120,1,1,0.1954
7,866,500,5,6,0,200,24,80,1,1,0.1952
6,861,250,5,16,1,200,72,120,1,1,0.1952
9,870,250,6,17,0,200,36,120,1,1,0.1952
6,888,125,7,17,1,200,51,120,1,1,0.1950
7,862,125,5,13,0,200,50,100,1,1,0.1947
8,863,250,7,15,0,200,11,120,1,1,0.1946
8,873,250,6,13,0,200,43,100,1,1,0.1945
9,879,500,8,17,0,200,66,120,1,1,0.1943
8,877,500,7,13,0,200,18,100,1,1,0.1942
8,866,125,8,12,0,200,38,100,1,1,0.1939
7,863,125,7,9,0,200,13,100,1,1,0.1939
6,861,500,6,17,1,200,91,120,1,1,0.1936
10,878,125,8,20,0,200,92,140,1,1,0.1935
7,885,250,8,11,0,200,48,100,1,1,0.1934
7,873,125,5,8,0,200,43,100,1,1,0.1933
8,866,125,8,16,0,200,35,120,1,1,0.1930
8,880,125,6,15,0,200,77,120,1,1,0.1930
6,883,500,6,11,1,200,81,100,1,1,0.1930
6,889,125,7,20,1,200,92,140,1,1,0.1930
6,875,125,6,4,1,200,6,80,1,1,0.1927
7,866,500,7,11,0,200,43,100,1,1,0.1925
9,869,250,5,15,0,200,83,120,1,1,0.1924
6,869,500,6,12,1,200,98,100,1,1,0.1923
6,890,250,8,7,1,200,13,80,1,1,0.1920
9,860,250,8,16,0,200,86,120,1,1,0.1920
10,867,125,8,17,0,200,28,120,1,1,0.1917
8,881,500,6,12,0,200,20,100,1,1,0.1916
8,890,125,8,16,0,200,90,120,1,1,0.1912
7,875,250,6,7,0,200,13,80,1,1,0.1911
9,869,125,5,14,0,200,37,120,1,1,0.1907
8,870,500,6,11,0,200,15,100,1,1,0.1901
11,869,125,5,16,0,200,19,120,1,1,0.1896
7,878,500,5,2,0,200,20,80,1,1,0.1893
10,886,125,6,15,0,200,34,120,1,1,0.1892
6,864,250,7,9,1,200,55,100,1,1,0.1892
6,872,250,7,17,1,200,85,120,1,1,0.1885
8,876,125,5,13,0,200,58,100,1,1,0.1884
8,889,250,5,16,0,200,23,120,1,1,0.1878
10,881,125,7,17,0,200,22,120,1,1,0.1877
9,874,125,5,5,0,200,49,80,1,1,0.1867
9,889,250,6,15,0,200,27,120,1,1,0.1864
7,877,125,8,13,0,200,77,100,1,1,0.1859
6,873,125,7,20,1,200,47,140,1,1,0.1859
6,871,500,8,9,1,200,58,100,1,1,0.1857
8,884,125,8,9,0,200,7,100,1,1,0.1856
7,882,500,8,14,0,200,52,120,1,1,0.1851
9,869,125,6,10,0,200,39,100,1,1,0.1851
9,868,125,7,14,0,200,85,120,1,1,0.1851
6,866,125,8,11,1,200,66,100,1,1,0.1851
10,871,500,7,17,0,200,30,120,1,1,0.1850
7,863,500,7,14,0,200,44,120,1,1,0.1847
8,863,250,7,11,0,200,33,100,1,1,0.1847
10,862,500,8,16,0,200,16,120,1,1,0.1847
6,887,500,8,2,1,200,41,80,1,1,0.1844
7,890,250,6,20,0,200,56,140,1,1,0.1843
9,883,125,7,14,0,200,75,120,1,1,0.1836
8,873,250,5,13,0,200,77,100,1,1,0.1828
8,861,125,8,12,0,200,70,100,1,1,0.1820
9,886,250,8,15,0,200,100,120,1,1,0.1819
7,881,125,7,9,0,200,46,100,1,1,0.1818
7,878,250,6,16,0,200,85,120,1,1,0.1818
10,889,125,6,13,0,200,25,100,1,1,0.1813
10,861,125,6,17,0,200,94,120,1,1,0.1812
6,866,125,7,11,1,200,6,100,1,1,0.1812
9,878,500,7,16,0,200,83,120,1,1,0.1812
11,878,125,7,12,0,200,16,100,1,1,0.1809
7,874,500,8,16,0,200,66,120,1,1,0.1808
8,870,125,5,9,0,200,47,100,1,1,0.1807
7,886,500,7,12,0,200,64,100,1,1,0.1807
7,887,500,7,16,0,200,100,120,1,1,0.1806
7,879,500,8,14,0,200,37,120,1,1,0.1806
6,889,250,7,15,1,200,53,120,1,1,0.1802
6,873,250,5,2,1,200,29,80,1,1,0.1802
9,882,125,7,10,0,200,72,100,1,1,0.1800
8,868,250,5,13,0,200,74,100,1,1,0.1797
9,862,500,5,20,0,200,95,140,1,1,0.1796
7,875,125,8,15,0,200,66,120,1,1,0.1795
8,888,500,7,17,0,200,67,120,1,1,0.1794
6,871,250,6,16,1,200,67,120,1,1,0.1793
7,887,500,8,15,0,200,50,120,1,1,0.1793
10,864,125,6,15,0,200,71,120,1,1,0.1792
10,861,250,5,20,0,200,84,140,1,1,0.1790
10,879,125,5,13,0,200,99,100,1,1,0.1788
8,877,500,7,9,0,200,48,100,1,1,0.1786
10,884,125,7,13,0,200,6,100,1,1,0.1783
6,886,125,5,11,1,200,53,100,1,1,0.1782
10,888,250,6,16,0,200,73,120,1,1,0.1780
9,886,500,8,14,0,200,49,120,1,1,0.1780
10,882,125,7,17,0,200,20,120,1,1,0.1779
7,882,500,8,7,0,200,28,80,1,1,0.1777
7,883,500,7,13,0,200,60,100,1,1,0.1777
9,884,125,8,11,0,200,68,100,1,1,0.1777
6,873,500,8,4,1,200,60,80,1,1,0.1776
9,861,250,8,16,0,200,47,120,1,1,0.1776
10,890,250,5,20,0,200,81,140,1,1,0.1774
8,871,125,5,10,0,200,65,100,1,1,0.1772
9,880,250,6,14,0,200,60,120,1,1,0.1771
9,874,500,5,16,0,200,77,120,1,1,0.1770
7,871,125,8,13,0,200,45,100,1,1,0.1770
8,878,250,5,12,0,200,71,100,1,1,0.1768
10,862,125,5,13,0,200,87,100,1,1,0.1768
8,886,250,5,16,0,200,74,120,1,1,0.1767
7,889,125,7,16,0,200,74,120,1,1,0.1765
10,872,250,6,12,0,200,26,100,1,1,0.1765
6,874,125,6,13,1,200,74,100,1,1,0.1765
7,877,125,8,4,0,200,23,80,1,1,0.1764
6,880,250,5,16,1,200,56,120,1,1,0.1760
8,881,125,5,16,0,200,89,120,1,1,0.1760
7,878,250,8,14,0,200,80,120,1,1,0.1759
10,878,125,5,13,0,200,97,100,1,1,0.1755
8,883,250,8,15,0,200,42,120,1,1,0.1755
6,882,125,6,13,1,200,51,100,1,1,0.1754
6,882,250,6,6,1,200,32,80,1,1,0.1751
9,864,125,5,7,0,200,13,80,1,1,0.1749
6,870,125,5,10,1,200,85,100,1,1,0.1749
11,860,250,6,15,0,200,12,120,1,1,0.1748
6,862,250,7,11,1,200,39,100,1,1,0.1746
9,888,250,6,14,0,200,28,120,1,1,0.1746
7,864,250,5,10,0,200,33,100,1,1,0.1745
7,880,125,5,14,0,200,78,120,1,1,0.1743
10,860,500,8,20,0,200,73,140,1,1,0.1743
6,883,125,8,6,1,200,17,80,1,1,0.1742
10,868,250,6,11,0,200,53,100,1,1,0.1740
6,868,250,6,17,1,200,85,120,1,1,0.1739
10,862,250,6,15,0,200,11,120,1,1,0.1738
11,883,125,8,20,0,200,56,140,1,1,0.1737
7,862,125,7,9,0,200,12,100,1,1,0.1737
6,867,125,6,9,1,200,58,100,1,1,0.1736
10,884,500,7,14,0,200,51,120,1,1,0.1732
6,866,125,5,4,1,200,15,80,1,1,0.1731
10,870,125,8,10,0,200,51,100,1,1,0.1730
7,882,500,6,8,0,200,81,100,1,1,0.1730
7,890,250,8,15,0,200,26,120,1,1,0.1728
7,882,125,6,6,0,200,35,80,1,1,0.1728
9,887,125,5,11,0,200,50,100,1,1,0.1726
8,862,125,7,8,0,200,21,100,1,1,0.1726
10,873,250,6,16,0,200,65,120,1,1,0.1726
8,874,500,6,20,0,200,68,140,1,1,0.1726
7,879,250,8,14,0,200,65,120,1,1,0.1724
7,872,125,6,9,0,200,35,100,1,1,0.1721
7,881,250,7,14,0,200,58,120,1,1,0.1716
11,864,125,7,20,0,200,29,140,1,1,0.1716
8,860,250,7,16,0,200,100,120,1,1,0.1716
10,888,250,7,16,0,200,21,120,1,1,0.1716
7,884,250,6,14,0,200,88,120,1,1,0.1715
10,870,125,7,13,0,200,48,100,1,1,0.1712
9,885,500,5,14,0,200,47,120,1,1,0.1712
8,875,500,8,12,0,200,30,100,1,1,0.1710
7,870,125,8,17,0,200,82,120,1,1,0.1709
7,863,250,8,11,0,200,16,100,1,1,0.1708
9,889,250,7,11,0,200,10,100,1,1,0.1708
8,875,125,5,7,0,200,40,80,1,1,0.1705
9,886,125,8,8,0,200,47,100,1,1,0.1702
9,878,125,7,9,0,200,84,100,1,1,0.1701
11,879,250,6,20,0,200,86,140,1,1,0.1700
7,885,250,5,9,0,200,26,100,1,1,0.1699
6,879,500,6,5,1,200,90,80,1,1,0.1697
7,872,500,8,15,0,200,61,120,1,1,0.1697
7,872,125,5,2,0,200,52,80,1,1,0.1694
9,865,125,7,14,0,200,82,120,1,1,0.1694
9,865,125,7,10,0,200,78,100,1,1,0.1692
7,874,500,5,5,0,200,31,80,1,1,0.1691
7,860,125,8,12,0,200,53,100,1,1,0.1691
7,873,250,5,8,0,200,24,100,1,1,0.1691
8,887,500,8,8,0,200,25,100,1,1,0.1690
7,888,500,6,7,0,200,31,80,1,1,0.1689
8,860,125,6,10,0,200,39,100,1,1,0.1688
8,889,500,5,16,0,200,71,120,1,1,0.1688
6,875,500,8,7,1,200,84,80,1,1,0.1683
