SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,882,500,5,20,1,200,60,140,1,825,0.2560
6,885,500,7,12,1,200,38,100,1,1,0.2306
6,874,500,5,20,1,200,84,140,1,1,0.2149
6,879,250,8,15,1,200,43,120,1,1,0.2141
6,871,500,5,3,1,200,49,80,1,1,0.2130
7,879,125,8,20,0,200,14,140,1,1,0.2106
8,865,125,7,20,0,200,33,140,1,1,0.2105
9,868,250,5,20,0,200,38,140,1,1,0.2032
6,862,125,5,5,1,200,13,80,1,1,0.2025
9,870,125,5,14,0,200,41,120,1,1,0.2014
6,872,500,6,9,1,200,66,100,1,1,0.1990
6,877,500,8,5,1,200,52,80,1,1,0.1978
6,869,500,7,13,1,200,93,100,1,1,0.1972
8,884,500,7,14,0,200,15,120,1,1,0.1967
8,871,125,7,16,0,200,34,120,1,1,0.1946
7,861,500,5,13,0,200,31,100,1,1,0.1922
7,884,250,6,15,0,200,38,120,1,1,0.1907
8,865,250,8,14,0,200,30,120,1,1,0.1897
9,860,125,6,13,0,200,82,100,1,1,0.1894
7,865,125,8,17,0,200,28,120,1,1,0.1889
9,877,500,7,20,0,200,48,140,1,3,0.1871
10,870,250,8,10,0,200,11,100,1,1,0.1867
9,870,125,5,15,0,200,25,120,1,1,0.1862
7,872,250,5,20,0,200,52,140,1,1,0.1847
8,886,500,8,17,0,200,89,120,1,1,0.1842
10,883,500,5,13,0,200,6,100,1,1,0.1838
7,873,500,7,8,0,200,29,100,1,1,0.1835
7,871,125,8,10,0,200,71,100,1,1,0.1832
10,887,500,5,14,0,200,20,120,1,1,0.1828
7,883,500,8,15,0,200,31,120,1,1,0.1827
8,879,500,6,15,0,200,71,120,1,1,0.1826
7,880,250,5,14,0,200,97,120,1,1,0.1823
9,879,250,8,16,0,200,94,120,1,1,0.1819
11,867,125,6,15,0,200,15,120,1,1,0.1809
7,862,125,5,16,0,200,95,120,1,2,0.1804
8,886,500,6,10,0,200,25,100,1,1,0.1802
7,880,125,8,9,0,200,49,100,1,1,0.1799
8,865,250,5,14,0,200,96,120,1,1,0.1798
11,865,250,6,20,0,200,65,140,1,1,0.1794
10,870,125,6,11,0,200,20,100,1,1,0.1793
8,863,500,5,17,0,200,64,120,1,1,0.1787
9,869,250,7,15,0,200,13,120,1,1,0.1774
10,875,250,5,17,0,200,94,120,1,1,0.1774
7,877,125,6,11,0,200,93,100,1,1,0.1762
9,868,250,8,14,0,200,59,120,1,1,0.1761
9,882,250,6,10,0,200,16,100,1,1,0.1760
8,868,125,5,10,0,200,59,100,1,1,0.1749
7,884,500,6,15,0,200,96,120,1,1,0.1731
6,888,125,7,9,1,200,18,100,1,1,0.1701
9,860,250,7,13,0,200,34,100,1,1,0.1687
10,880,125,6,9,0,200,85,100,1,1,0.1675
9,889,125,5,6,0,200,97,80,1,1,0.1673
8,880,125,5,9,0,200,71,100,1,1,0.1673
6,867,125,5,11,1,200,65,100,1,1,0.1673
10,874,250,5,11,0,200,31,100,1,1,0.1670
6,868,250,7,4,1,200,23,80,1,1,0.1665
6,876,125,8,12,1,200,71,100,1,1,0.1658
7,885,250,7,13,0,200,39,100,1,1,0.1648
6,883,500,7,8,1,200,82,100,1,1,0.1648
10,882,125,7,11,0,200,36,100,1,1,0.1639
9,860,250,7,15,0,200,24,120,1,1,0.1637
7,863,500,7,14,0,200,93,120,1,1,0.1632
9,870,500,6,17,0,200,48,120,1,1,0.1615
6,869,125,7,11,1,200,50,100,1,1,0.1615
9,864,250,5,5,0,200,88,80,1,1,0.1605
7,875,125,6,8,0,200,91,100,1,1,0.1600
6,870,125,6,7,1,200,44,80,1,1,0.1593
10,862,125,5,10,0,200,54,100,1,1,0.1582
10,867,250,5,12,0,200,43,100,1,1,0.1576
11,865,125,7,15,0,200,52,120,1,1,0.1576
