SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,878,500,7,14,1,200,39,120,1,343,0.2317
6,863,500,6,6,1,200,41,80,1,449,0.2295
6,860,500,7,15,1,200,37,120,1,1,0.2278
7,866,250,5,20,0,200,40,140,1,43,0.2220
6,883,125,8,17,1,200,8,120,1,1,0.2196
6,885,500,5,4,1,200,58,80,1,1,0.2131
7,880,500,7,12,0,200,30,100,1,1,0.2095
11,873,125,6,20,0,200,7,140,1,1,0.2079
9,888,125,8,20,0,200,74,140,1,1,0.2056
9,882,125,8,20,0,200,79,140,1,1,0.2053
7,875,125,7,20,0,200,60,140,1,1,0.2049
6,883,500,5,11,1,200,68,100,1,1,0.2029
8,882,500,6,14,0,200,22,120,1,1,0.1989
8,865,125,7,15,0,200,66,120,1,1,0.1986
10,869,125,6,17,0,200,70,120,1,1,0.1980
8,872,500,7,13,0,200,8,100,1,1,0.1966
9,875,125,8,16,0,200,29,120,1,1,0.1927
6,876,125,6,8,1,200,22,100,1,1,0.1926
8,875,500,5,15,0,200,76,120,1,1,0.1910
6,872,500,8,8,1,200,50,100,1,1,0.1909
7,861,125,5,9,0,200,21,100,1,1,0.1903
9,887,125,5,15,0,200,14,120,1,1,0.1894
7,878,125,5,10,0,200,27,100,1,1,0.1893
8,881,500,8,12,0,200,9,100,1,1,0.1892
12,881,125,5,17,0,200,8,120,1,1,0.1863
7,860,250,7,16,0,200,49,120,1,1,0.1853
8,870,125,8,17,0,200,76,120,1,1,0.1849
6,889,500,7,16,1,200,84,120,1,1,0.1810
6,876,125,6,8,1,200,40,100,1,1,0.1789
7,883,250,8,11,0,200,96,100,1,1,0.1789
7,875,125,7,11,0,200,38,100,1,1,0.1781
8,861,500,8,6,0,200,10,80,1,1,0.1775
7,876,125,5,9,0,200,34,100,1,1,0.1767
7,887,125,6,13,0,200,43,100,1,1,0.1764
8,865,250,6,12,0,200,43,100,1,1,0.1763
6,876,125,8,9,1,200,55,100,1,1,0.1759
6,883,250,8,10,1,200,27,100,1,1,0.1754
12,879,125,5,17,0,200,24,120,1,1,0.1748
7,881,250,8,14,0,200,19,120,1,1,0.1736
6,880,250,6,6,1,200,36,80,1,1,0.1734
11,890,250,6,20,0,200,16,140,1,1,0.1725
10,887,250,8,15,0,200,18,120,1,1,0.1716
10,863,250,5,15,0,200,30,120,1,1,0.1703
6,868,250,6,16,1,200,65,120,1,1,0.1702
7,860,500,6,9,0,200,49,100,1,1,0.1696
11,873,125,5,11,0,200,6,100,1,1,0.1679
7,874,500,7,4,0,200,19,80,1,1,0.1667
10,860,250,5,16,0,200,94,120,1,1,0.1666
7,875,125,8,10,0,200,51,100,1,1,0.1660
7,880,250,5,13,0,200,94,100,1,1,0.1657
9,880,125,8,6,0,200,9,80,1,2,0.1647
6,880,250,5,9,1,200,82,100,1,1,0.1631
10,874,250,6,13,0,200,67,100,1,1,0.1631
7,861,125,5,9,0,200,50,100,1,1,0.1625
8,878,125,7,5,0,200,31,80,1,1,0.1622
8,884,500,5,9,0,200,76,100,1,1,0.1621
7,880,500,6,8,0,200,55,100,1,1,0.1611
11,869,125,5,9,0,200,42,100,1,1,0.1610
8,875,500,7,13,0,200,90,100,1,1,0.1607
10,889,250,6,14,0,200,65,120,1,1,0.1604
8,883,250,5,13,0,200,78,100,1,1,0.1589
8,884,125,8,2,0,200,19,80,1,1,0.1586
11,875,125,7,10,0,200,46,100,1,1,0.1583
10,886,125,5,11,0,200,31,100,1,1,0.1573
8,890,125,7,7,0,200,33,80,1,1,0.1562
9,881,125,8,8,0,200,69,100,1,1,0.1561
11,862,250,6,20,0,200,77,140,1,1,0.1560
8,860,125,5,6,0,200,22,80,1,1,0.1560
11,879,500,5,16,0,200,12,120,1,1,0.1552
9,884,250,8,13,0,200,44,100,1,1,0.1550
11,874,250,5,9,0,200,15,100,1,1,0.1544
9,871,125,6,2,0,200,75,80,1,1,0.1528
9,866,500,6,15,0,200,66,120,1,1,0.1526
