iteration,reward,timestamp
1,0.1150,2026-01-26 22:32:15
2,0.1472,2026-01-26 22:32:15
3,0.1769,2026-01-26 22:32:15
4,0.1786,2026-01-26 22:32:15
5,0.1469,2026-01-26 22:32:15
6,0.0548,2026-01-26 22:32:15
7,0.1507,2026-01-26 22:32:15
8,0.1720,2026-01-26 22:32:15
9,0.1661,2026-01-26 22:32:15
10,0.1022,2026-01-26 22:32:15
11,0.1834,2026-01-26 22:32:15
12,0.1264,2026-01-26 22:32:15
13,0.1720,2026-01-26 22:32:15
14,0.1708,2026-01-26 22:32:15
15,0.1970,2026-01-26 22:32:15
16,0.1661,2026-01-26 22:32:15
17,0.1960,2026-01-26 22:32:15
18,0.1682,2026-01-26 22:32:15
19,0.1699,2026-01-26 22:32:15
20,0.2029,2026-01-26 22:32:15
21,0.1213,2026-01-26 22:32:15
22,0.1927,2026-01-26 22:32:15
23,0.1336,2026-01-26 22:32:15
24,0.1413,2026-01-26 22:32:15
25,0.1640,2026-01-26 22:32:15
26,0.0727,2026-01-26 22:32:15
27,0.1768,2026-01-26 22:32:15
28,0.0557,2026-01-26 22:32:15
29,0.1285,2026-01-26 22:32:15
30,0.2600,2026-01-26 22:32:15
31,0.1283,2026-01-26 22:32:15
32,0.2481,2026-01-26 22:32:15
33,0.2064,2026-01-26 22:32:15
34,0.1647,2026-01-26 22:32:15
35,0.1257,2026-01-26 22:32:15
36,0.2476,2026-01-26 22:32:15
37,0.1280,2026-01-26 22:32:15
38,0.0944,2026-01-26 22:32:15
39,0.1704,2026-01-26 22:32:15
40,0.1731,2026-01-26 22:32:15
41,0.0869,2026-01-26 22:32:15
42,0.1201,2026-01-26 22:32:15
43,0.2507,2026-01-26 22:32:15
44,0.1379,2026-01-26 22:32:15
45,0.1637,2026-01-26 22:32:15
46,0.1911,2026-01-26 22:32:15
47,0.2445,2026-01-26 22:32:15
48,0.2521,2026-01-26 22:32:15
49,0.1400,2026-01-26 22:32:15
50,0.0286,2026-01-26 22:32:15
51,0.2168,2026-01-26 22:32:15
52,0.1242,2026-01-26 22:32:15
53,0.1295,2026-01-26 22:32:15
54,0.1261,2026-01-26 22:32:15
55,0.1474,2026-01-26 22:32:15
56,0.1650,2026-01-26 22:32:15
57,0.1541,2026-01-26 22:32:15
58,0.1770,2026-01-26 22:32:15
59,0.1113,2026-01-26 22:32:15
60,0.2437,2026-01-26 22:32:15
61,0.1711,2026-01-26 22:32:15
62,0.0997,2026-01-26 22:32:15
63,0.2420,2026-01-26 22:32:15
64,0.1981,2026-01-26 22:32:15
65,0.1108,2026-01-26 22:32:15
66,0.1093,2026-01-26 22:32:15
67,0.2603,2026-01-26 22:32:15
68,0.1258,2026-01-26 22:32:15
69,0.2035,2026-01-26 22:32:15
70,0.2387,2026-01-26 22:32:15
71,0.1773,2026-01-26 22:32:15
72,0.1953,2026-01-26 22:32:15
73,0.2430,2026-01-26 22:32:15
74,0.2657,2026-01-26 22:32:15
75,0.0665,2026-01-26 22:32:15
76,0.2562,2026-01-26 22:32:15
77,0.1503,2026-01-26 22:32:15
78,0.1628,2026-01-26 22:32:15
79,0.2481,2026-01-26 22:32:15
80,0.2507,2026-01-26 22:32:15
81,0.1176,2026-01-26 22:32:15
82,0.1481,2026-01-26 22:32:15
83,0.2485,2026-01-26 22:32:15
84,0.1014,2026-01-26 22:32:15
85,0.1804,2026-01-26 22:32:15
86,0.1233,2026-01-26 22:32:15
87,0.1083,2026-01-26 22:32:15
88,0.2440,2026-01-26 22:32:15
89,0.2210,2026-01-26 22:32:15
90,0.2747,2026-01-26 22:32:15
91,0.1810,2026-01-26 22:32:15
92,0.1151,2026-01-26 22:32:15
93,0.1242,2026-01-26 22:32:15
94,0.2558,2026-01-26 22:32:15
95,0.1693,2026-01-26 22:32:15
96,0.2088,2026-01-26 22:32:15
97,0.1575,2026-01-26 22:32:15
98,0.1105,2026-01-26 22:32:15
99,0.1566,2026-01-26 22:32:15
100,0.2304,2026-01-26 22:32:15
101,0.1476,2026-01-26 22:32:15
102,0.2145,2026-01-26 22:32:15
103,0.2390,2026-01-26 22:32:15
104,0.2543,2026-01-26 22:32:15
105,0.1220,2026-01-26 22:32:15
106,0.2689,2026-01-26 22:32:15
107,0.3257,2026-01-26 22:32:15
108,0.3197,2026-01-26 22:32:15
109,0.3263,2026-01-26 22:32:15
110,0.3247,2026-01-26 22:32:15
111,0.3178,2026-01-26 22:32:15
112,0.3320,2026-01-26 22:32:15
113,0.1053,2026-01-26 22:32:15
114,0.1436,2026-01-26 22:32:15
115,0.3169,2026-01-26 22:32:15
116,0.3259,2026-01-26 22:32:15
117,0.1904,2026-01-26 22:32:15
118,0.2141,2026-01-26 22:32:15
119,0.1456,2026-01-26 22:32:15
120,0.3236,2026-01-26 22:32:15
121,0.1683,2026-01-26 22:32:15
122,0.3273,2026-01-26 22:32:15
123,0.3306,2026-01-26 22:32:15
124,0.3242,2026-01-26 22:32:15
125,0.3273,2026-01-26 22:32:15
126,0.0405,2026-01-26 22:32:15
127,0.1405,2026-01-26 22:32:15
128,0.3148,2026-01-26 22:32:15
129,0.3177,2026-01-26 22:32:15
130,0.1880,2026-01-26 22:32:15
131,0.3182,2026-01-26 22:32:15
132,0.1406,2026-01-26 22:32:15
133,0.1618,2026-01-26 22:32:15
134,0.3246,2026-01-26 22:32:15
135,0.2032,2026-01-26 22:32:15
136,0.3177,2026-01-26 22:32:15
137,0.3224,2026-01-26 22:32:15
138,0.3197,2026-01-26 22:32:15
139,0.1700,2026-01-26 22:32:15
140,0.3274,2026-01-26 22:32:15
