SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,889,500,6,11,1,200,7,100,1,700,0.3690
6,864,500,6,6,1,200,12,80,1,91,0.3257
6,876,500,7,7,1,200,18,80,1,1,0.2788
6,861,250,5,14,1,200,19,120,1,24,0.2600
6,886,500,7,2,1,200,23,80,1,1,0.2464
7,874,250,8,20,0,200,13,140,1,1,0.2347
6,861,500,8,20,1,200,67,140,1,1,0.2324
6,863,250,7,17,1,200,16,120,1,1,0.2312
6,864,250,5,15,1,200,32,120,1,1,0.2243
7,866,500,8,14,0,200,15,120,1,1,0.2168
8,870,125,5,16,0,200,93,120,1,1,0.2145
7,860,125,6,14,0,200,41,120,1,1,0.2141
8,868,125,7,16,0,200,20,120,1,1,0.2130
10,861,125,8,20,0,200,13,140,1,1,0.2112
7,884,250,6,20,0,200,26,140,1,1,0.2109
8,886,125,6,12,0,200,32,100,1,1,0.2095
8,864,125,7,15,0,200,8,120,1,1,0.2088
8,872,250,6,20,0,200,43,140,1,1,0.2064
8,872,125,5,15,0,200,49,120,1,1,0.2056
8,880,125,7,11,0,200,8,100,1,1,0.2035
6,870,500,5,4,1,200,65,80,1,1,0.2032
8,883,125,6,10,0,200,6,100,1,3,0.2029
6,872,500,7,12,1,200,56,100,1,1,0.2022
7,864,125,7,16,0,200,29,120,1,1,0.1988
6,861,125,8,13,1,200,36,100,1,1,0.1981
7,877,125,7,11,0,200,37,100,1,2,0.1970
7,888,500,7,14,0,200,28,120,1,1,0.1963
9,879,125,5,15,0,200,13,120,1,1,0.1960
10,868,125,8,15,0,200,36,120,1,1,0.1953
7,869,500,6,2,0,200,12,80,1,1,0.1919
6,863,250,5,4,1,200,20,80,1,1,0.1911
9,874,125,5,11,0,200,46,100,1,1,0.1904
9,875,500,5,17,0,200,27,120,1,1,0.1902
9,868,125,8,13,0,200,62,100,1,1,0.1897
8,890,250,5,8,0,200,10,100,1,1,0.1880
8,884,250,5,13,0,200,77,100,1,1,0.1842
10,880,500,6,20,0,200,78,140,1,1,0.1828
7,871,125,5,13,0,200,40,100,1,1,0.1812
8,874,125,8,13,0,200,97,100,1,1,0.1810
12,872,250,5,20,0,200,6,140,1,1,0.1808
7,867,125,5,8,0,200,52,100,1,1,0.1804
9,882,125,8,14,0,200,65,120,1,1,0.1798
6,877,500,7,12,1,200,81,100,1,1,0.1773
9,869,250,5,9,0,200,58,100,1,1,0.1770
9,873,125,7,7,0,200,19,80,1,1,0.1769
10,865,125,7,17,0,200,38,120,1,3,0.1769
7,867,500,6,14,0,200,63,120,1,1,0.1767
7,860,125,6,10,0,200,70,100,1,1,0.1763
7,881,250,6,5,0,200,6,80,1,1,0.1744
11,865,125,5,16,0,200,41,120,1,1,0.1738
8,873,500,8,13,0,200,33,100,1,1,0.1734
7,870,125,5,10,0,200,63,100,1,1,0.1731
8,862,500,6,16,0,200,42,120,1,1,0.1720
9,860,500,6,17,0,200,74,120,1,1,0.1720
9,872,500,7,17,0,200,43,120,1,1,0.1716
6,885,500,7,4,1,200,67,80,1,1,0.1711
10,890,125,5,14,0,200,56,120,1,1,0.1708
6,869,250,6,17,1,200,66,120,1,1,0.1706
9,860,125,7,7,0,200,23,80,1,1,0.1706
11,877,250,6,20,0,200,60,140,1,1,0.1705
7,881,250,8,12,0,200,32,100,1,1,0.1705
9,878,125,7,5,0,200,96,80,1,1,0.1704
10,881,125,6,9,0,200,8,100,1,1,0.1700
12,863,125,6,15,0,200,14,120,1,1,0.1693
7,874,500,6,17,0,200,75,120,1,1,0.1688
8,872,250,5,6,0,200,12,80,1,1,0.1683
7,876,125,7,12,0,200,34,100,1,1,0.1682
8,888,125,6,7,0,200,52,80,1,1,0.1676
6,889,250,5,13,1,200,74,100,1,1,0.1675
8,882,250,7,15,0,200,72,120,1,1,0.1664
7,866,500,7,11,0,200,46,100,1,1,0.1661
8,870,125,8,7,0,200,6,80,1,1,0.1661
8,861,125,5,6,0,200,69,80,1,1,0.1650
8,876,125,7,15,0,200,43,120,1,1,0.1647
9,871,125,7,15,0,200,57,120,1,1,0.1646
8,876,250,7,9,0,200,66,100,1,1,0.1640
6,878,125,7,8,1,200,55,100,1,1,0.1637
9,871,500,7,8,0,200,16,100,1,1,0.1634
6,869,500,6,3,1,200,94,80,1,1,0.1632
9,884,500,7,16,0,200,40,120,1,1,0.1629
10,886,500,5,20,0,200,42,140,1,1,0.1628
10,880,125,7,12,0,200,8,100,1,1,0.1618
10,876,500,6,15,0,200,14,120,1,1,0.1608
10,886,125,7,8,0,200,40,100,1,1,0.1606
6,860,250,8,14,1,200,89,120,1,1,0.1601
10,876,125,8,13,0,200,98,100,1,1,0.1601
11,886,250,6,16,0,200,38,120,1,1,0.1588
8,867,250,5,7,0,200,75,80,1,1,0.1581
11,866,500,5,20,0,200,39,140,1,1,0.1575
8,888,250,7,10,0,200,21,100,1,1,0.1566
7,860,125,5,2,0,200,22,80,1,1,0.1555
8,882,500,8,11,0,200,44,100,1,1,0.1547
9,874,125,8,5,0,200,22,80,1,1,0.1541
11,876,125,5,17,0,200,84,120,1,1,0.1539
8,883,250,6,9,0,200,52,100,1,1,0.1513
7,884,500,8,3,0,200,21,80,1,1,0.1509
12,884,125,7,20,0,200,36,140,1,1,0.1509
11,871,125,7,12,0,200,11,100,1,1,0.1507
7,861,250,7,9,0,200,84,100,1,1,0.1503
9,877,125,8,9,0,200,58,100,1,1,0.1500
7,886,125,8,5,0,200,74,80,1,1,0.1486
8,874,500,7,13,0,200,57,100,1,1,0.1485
6,890,125,7,5,1,200,54,80,1,1,0.1481
9,886,125,6,4,0,200,59,80,1,1,0.1476
7,884,500,7,7,0,200,78,80,1,1,0.1475
10,888,500,7,9,0,200,39,100,1,1,0.1474
6,866,125,7,4,1,200,45,80,1,1,0.1472
8,870,250,8,11,0,200,43,100,1,1,0.1469
7,887,250,7,10,0,200,96,100,1,1,0.1463
11,866,250,8,15,0,200,11,120,1,1,0.1457
10,878,125,5,6,0,200,73,80,1,1,0.1456
9,863,500,6,12,0,200,86,100,1,1,0.1436
9,884,250,7,5,0,200,34,80,1,1,0.1436
8,864,250,8,3,0,200,29,80,1,1,0.1413
11,888,250,5,17,0,200,57,120,1,1,0.1408
9,884,125,8,4,0,200,99,80,1,1,0.1406
11,886,500,5,16,0,200,98,120,1,1,0.1405
9,867,250,7,15,0,200,55,120,1,1,0.1400
9,889,250,6,8,0,200,61,100,1,1,0.1388
11,889,250,7,17,0,200,38,120,1,1,0.1386
6,883,125,8,2,1,200,27,80,1,1,0.1379
9,889,125,5,5,0,200,75,80,1,1,0.1350
9,861,500,7,13,0,200,52,100,1,1,0.1342
7,882,250,5,6,0,200,73,80,1,1,0.1341
6,864,125,5,6,1,200,79,80,1,1,0.1336
11,877,250,6,14,0,200,44,120,1,1,0.1330
12,864,250,8,8,0,200,12,100,1,1,0.1300
11,887,500,5,17,0,200,70,120,1,1,0.1295
11,881,125,6,5,0,200,41,80,1,1,0.1285
8,862,125,5,3,0,200,90,80,1,1,0.1283
12,876,125,7,17,0,200,16,120,1,1,0.1280
7,890,125,8,6,0,200,81,80,1,1,0.1272
10,882,500,8,17,0,200,81,120,1,1,0.1264
11,882,500,7,15,0,200,28,120,1,1,0.1261
7,881,250,7,11,0,200,95,100,1,1,0.1258
12,865,500,6,20,0,200,89,140,1,1,0.1257
11,878,250,7,13,0,200,75,100,1,1,0.1256
12,883,500,7,17,0,200,32,120,1,1,0.1252
11,880,125,7,7,0,200,41,80,1,1,0.1242
12,884,125,5,16,0,200,60,120,1,1,0.1242
10,889,250,5,7,0,200,81,80,1,1,0.1233
11,873,250,8,12,0,200,88,100,1,1,0.1220
7,889,250,8,5,0,200,77,80,1,1,0.1220
11,872,500,5,15,0,200,64,120,1,1,0.1213
10,870,500,5,8,0,200,69,100,1,1,0.1211
10,863,500,5,5,0,200,75,80,1,1,0.1201
11,878,125,7,12,0,200,75,100,1,1,0.1190
11,887,125,6,6,0,200,61,80,1,1,0.1176
9,876,125,5,2,0,200,44,80,1,1,0.1172
