SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,874,500,5,9,1,200,7,100,1,192,0.4297
6,872,500,5,14,1,200,12,120,1,1,0.3835
6,874,500,6,9,1,200,7,100,1,56,0.3701
6,876,500,5,9,1,200,17,100,1,1,0.3397
6,874,500,7,9,1,200,7,100,1,40,0.3279
6,877,500,6,17,1,200,19,120,1,1,0.3278
6,873,500,5,5,1,200,21,80,1,1,0.3127
6,890,500,7,20,1,200,19,140,1,1,0.3126
6,880,500,7,9,1,200,10,100,1,1,0.3109
6,874,500,8,9,1,200,7,100,1,26,0.2991
6,866,500,5,15,1,200,29,120,1,1,0.2931
6,870,500,6,10,1,200,21,100,1,1,0.2909
6,885,250,5,12,1,200,7,100,1,1,0.2806
6,876,500,7,9,1,200,17,100,1,1,0.2752
7,874,500,5,9,0,200,7,100,1,20,0.2687
6,874,250,5,9,1,200,7,100,1,17,0.2678
6,862,500,5,10,1,200,39,100,1,1,0.2594
7,874,500,6,9,0,200,7,100,1,15,0.2558
6,872,500,5,20,1,200,61,140,1,1,0.2421
6,889,500,7,10,1,200,28,100,1,1,0.2415
6,885,125,5,12,1,200,7,100,1,1,0.2393
6,874,250,6,9,1,200,7,100,1,14,0.2374
6,866,500,5,10,1,200,47,100,1,1,0.2341
6,885,500,8,14,1,200,36,120,1,1,0.2314
6,867,125,5,20,1,200,56,140,1,1,0.2277
7,874,250,5,9,0,200,7,100,1,10,0.2264
6,885,500,6,4,1,200,40,80,1,1,0.2252
6,874,125,5,9,1,200,7,100,1,10,0.2250
8,884,250,5,20,0,200,41,140,1,1,0.2174
6,861,500,5,6,1,200,56,80,1,1,0.2172
7,874,500,7,9,0,200,7,100,1,11,0.2168
9,867,125,8,15,0,200,37,120,1,1,0.2155
7,880,500,7,14,0,200,13,120,1,1,0.2151
9,879,125,8,20,0,200,95,140,1,1,0.2149
8,861,500,7,20,0,200,51,140,1,1,0.2139
7,884,125,6,15,0,200,41,120,1,1,0.2129
