SF,IH,BW,CR,reward,count,ucb
6,1,500,5,0.3568,203,0.4089
6,1,500,7,0.3147,44,0.4267
6,1,500,6,0.2994,64,0.3923
6,1,500,8,0.2911,30,0.4269
7,0,500,5,0.2663,22,0.4248
6,1,250,5,0.2602,20,0.4265
7,0,500,6,0.2383,16,0.4242
6,1,250,6,0.2357,16,0.4215
6,1,125,5,0.2148,13,0.4210
6,1,250,7,0.2116,12,0.4262
7,0,500,7,0.2113,12,0.4259
6,1,250,8,0.2054,12,0.4200
6,1,125,6,0.1989,11,0.4272
7,0,250,6,0.1919,10,0.4270
8,0,500,5,0.1905,10,0.4256
7,0,125,5,0.1900,10,0.4251
7,0,500,8,0.1893,10,0.4244
8,0,125,5,0.1887,10,0.4238
7,0,250,7,0.1875,10,0.4225
7,0,250,5,0.1868,12,0.4014
7,0,125,6,0.1866,10,0.4217
8,0,250,6,0.1840,10,0.4191
8,0,125,7,0.1792,9,0.4269
8,0,125,6,0.1788,9,0.4266
8,0,250,5,0.1785,9,0.4263
7,0,125,7,0.1781,9,0.4259
8,0,500,6,0.1776,9,0.4254
8,0,500,7,0.1741,9,0.4219
9,0,125,5,0.1736,10,0.4087
6,1,125,7,0.1731,9,0.4209
9,0,125,6,0.1707,9,0.4185
8,0,500,8,0.1691,9,0.4169
9,0,125,8,0.1689,9,0.4167
6,1,125,8,0.1640,9,0.4118
8,0,250,7,0.1635,8,0.4264
10,0,125,5,0.1635,8,0.4264
7,0,125,8,0.1621,8,0.4249
9,0,500,5,0.1599,8,0.4227
9,0,250,6,0.1593,8,0.4222
8,0,250,8,0.1589,8,0.4217
9,0,125,7,0.1588,8,0.4216
7,0,250,8,0.1578,8,0.4207
8,0,125,8,0.1574,8,0.4203
10,0,125,6,0.1507,8,0.4135
10,0,125,8,0.1493,8,0.4122
9,0,250,7,0.1457,7,0.4267
10,0,125,7,0.1452,7,0.4262
9,0,250,5,0.1450,7,0.4260
9,0,250,8,0.1426,7,0.4235
10,0,250,8,0.1387,7,0.4196
10,0,250,5,0.1386,7,0.4196
11,0,125,5,0.1372,7,0.4181
9,0,500,8,0.1370,7,0.4180
9,0,500,7,0.1369,7,0.4179
9,0,500,6,0.1362,7,0.4172
10,0,500,5,0.1355,7,0.4165
11,0,125,7,0.1276,7,0.4086
11,0,250,7,0.1226,7,0.4036
12,0,125,6,0.1209,6,0.4244
10,0,500,7,0.1185,6,0.4220
11,0,125,6,0.1173,6,0.4208
10,0,250,6,0.1164,6,0.4199
10,0,250,7,0.1163,6,0.4197
11,0,125,8,0.1147,6,0.4182
11,0,250,6,0.1116,6,0.4151
12,0,125,5,0.1103,6,0.4138
11,0,250,5,0.1089,6,0.4124
10,0,500,8,0.1087,6,0.4122
10,0,500,6,0.1068,6,0.4103
11,0,250,8,0.1066,6,0.4100
11,0,500,7,0.1060,6,0.4094
12,0,250,6,0.1017,6,0.4052
11,0,500,6,0.0996,6,0.4031
11,0,500,5,0.0932,5,0.4256
12,0,250,5,0.0928,5,0.4253
12,0,125,8,0.0927,5,0.4252
12,0,250,8,0.0925,5,0.4249
12,0,500,5,0.0901,5,0.4225
11,0,500,8,0.0853,5,0.4178
12,0,500,6,0.0819,5,0.4143
12,0,250,7,0.0817,5,0.4141
12,0,500,8,0.0772,5,0.4096
12,0,125,7,0.0761,5,0.4085
12,0,500,7,0.0751,5,0.4076
