SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,885,500,5,12,1,200,6,100,1,660,0.4436
6,886,500,5,15,1,200,7,120,1,1,0.4387
6,882,500,5,6,1,200,7,80,1,1,0.4131
6,886,500,5,20,1,200,13,140,1,9,0.3826
6,878,500,5,4,1,200,12,80,1,1,0.3604
6,880,500,5,9,1,200,14,100,1,1,0.3573
6,864,500,5,6,1,200,15,80,1,1,0.3542
6,886,500,7,20,1,200,13,140,1,39,0.3460
6,874,500,5,12,1,200,19,100,1,1,0.3391
6,871,500,5,3,1,200,19,80,1,1,0.3295
6,863,500,5,14,1,200,25,120,1,1,0.3232
6,871,500,7,12,1,200,7,100,1,1,0.3226
6,886,250,5,20,1,200,13,140,1,2,0.3209
6,873,500,5,14,1,200,24,120,1,1,0.3105
6,877,500,7,9,1,200,9,100,1,1,0.3091
6,867,500,5,20,1,200,38,140,1,1,0.3051
7,886,500,5,20,0,200,13,140,1,2,0.3024
6,878,500,5,11,1,200,28,100,1,1,0.2992
6,870,500,8,17,1,200,10,120,1,1,0.2926
6,862,500,8,11,1,200,6,100,1,1,0.2922
6,886,500,8,20,1,200,13,140,1,32,0.2913
6,863,500,7,10,1,200,18,100,1,1,0.2851
6,889,500,7,15,1,200,23,120,1,1,0.2751
6,890,500,8,6,1,200,12,80,1,1,0.2746
6,875,500,7,17,1,200,33,120,1,1,0.2731
6,886,250,6,20,1,200,13,140,1,2,0.2709
6,880,500,8,13,1,200,14,100,1,1,0.2667
6,875,500,5,14,1,200,36,120,1,1,0.2652
6,889,500,7,15,1,200,21,120,1,1,0.2648
7,863,500,5,20,0,200,16,140,1,1,0.2621
8,886,500,5,20,0,200,13,140,1,2,0.2598
6,876,500,5,5,1,200,39,80,1,1,0.2561
6,873,250,5,12,1,200,16,100,1,1,0.2555
7,886,500,7,20,0,200,13,140,1,2,0.2553
6,872,500,5,8,1,200,38,100,1,1,0.2539
8,886,500,6,20,0,200,13,140,1,2,0.2463
6,886,125,6,20,1,200,13,140,1,1,0.2451
7,886,250,5,20,0,200,13,140,1,1,0.2436
