SF,IH,BW,CR,reward,count,ucb
6,1,500,5,0.4428,716,0.4566
6,1,500,7,0.2662,57,0.3154
6,1,500,8,0.2493,50,0.3018
6,1,250,5,0.1586,6,0.3103
7,0,500,5,0.1425,4,0.3283
6,1,250,6,0.1185,3,0.3331
7,0,125,6,0.1139,3,0.3285
7,0,125,8,0.1132,3,0.3278
8,0,500,5,0.1132,3,0.3278
7,0,500,7,0.1119,3,0.3265
9,0,125,7,0.1106,3,0.3252
6,1,250,8,0.1078,3,0.3224
9,0,125,8,0.1021,3,0.3167
8,0,500,6,0.0902,3,0.3048
8,0,250,8,0.0745,2,0.3373
6,1,500,6,0.0744,2,0.3372
9,0,500,8,0.0726,2,0.3354
10,0,250,8,0.0713,2,0.3342
9,0,250,8,0.0710,2,0.3338
9,0,500,5,0.0707,2,0.3336
8,0,125,5,0.0707,2,0.3335
8,0,250,6,0.0703,2,0.3331
7,0,125,5,0.0702,2,0.3330
9,0,250,7,0.0696,2,0.3324
11,0,250,6,0.0694,2,0.3323
6,1,125,6,0.0693,2,0.3322
8,0,125,6,0.0693,2,0.3321
11,0,125,5,0.0689,2,0.3318
7,0,250,5,0.0688,2,0.3316
6,1,125,8,0.0688,2,0.3316
6,1,125,7,0.0684,2,0.3312
10,0,125,6,0.0677,2,0.3305
9,0,250,5,0.0666,2,0.3294
8,0,250,5,0.0665,2,0.3293
11,0,250,5,0.0659,2,0.3288
9,0,500,7,0.0658,2,0.3286
8,0,125,7,0.0656,2,0.3284
10,0,500,7,0.0652,2,0.3280
8,0,125,8,0.0645,2,0.3273
7,0,125,7,0.0643,2,0.3271
7,0,250,8,0.0636,2,0.3264
11,0,500,5,0.0630,2,0.3258
10,0,125,5,0.0628,2,0.3256
10,0,125,8,0.0627,2,0.3255
10,0,125,7,0.0624,2,0.3252
9,0,125,5,0.0621,2,0.3250
10,0,500,5,0.0616,2,0.3244
7,0,500,6,0.0610,2,0.3238
11,0,125,8,0.0609,2,0.3237
10,0,250,6,0.0603,2,0.3232
6,1,250,7,0.0602,2,0.3230
9,0,250,6,0.0586,2,0.3215
12,0,250,6,0.0582,2,0.3211
11,0,125,6,0.0579,2,0.3207
9,0,125,6,0.0574,2,0.3203
11,0,500,7,0.0572,2,0.3200
7,0,250,7,0.0570,2,0.3199
10,0,250,5,0.0570,2,0.3199
7,0,250,6,0.0561,2,0.3190
12,0,125,7,0.0560,2,0.3189
12,0,250,7,0.0560,2,0.3188
10,0,500,8,0.0553,2,0.3181
10,0,500,6,0.0549,2,0.3178
8,0,250,7,0.0548,2,0.3176
12,0,250,8,0.0537,2,0.3165
9,0,500,6,0.0536,2,0.3164
11,0,125,7,0.0535,2,0.3163
7,0,500,8,0.0532,2,0.3161
6,1,125,5,0.0517,2,0.3145
8,0,500,7,0.0504,2,0.3132
10,0,250,7,0.0503,2,0.3131
12,0,500,5,0.0484,2,0.3112
11,0,500,8,0.0482,2,0.3110
12,0,500,6,0.0474,2,0.3102
8,0,500,8,0.0464,2,0.3093
12,0,125,6,0.0457,2,0.3085
11,0,250,7,0.0453,2,0.3081
11,0,500,6,0.0434,2,0.3062
12,0,125,5,0.0419,2,0.3047
11,0,250,8,0.0418,2,0.3046
12,0,125,8,0.0375,2,0.3003
12,0,500,8,0.0372,2,0.3001
12,0,500,7,0.0356,2,0.2985
12,0,250,5,0.0351,2,0.2979
