SF,IH,BW,CR,reward,count,ucb
6,1,500,5,0.3906,220,0.4420
6,1,500,6,0.3346,89,0.4134
6,1,500,7,0.2995,44,0.4116
6,1,500,8,0.2714,27,0.4145
7,0,500,5,0.2425,19,0.4130
6,1,250,5,0.2300,16,0.4158
6,1,250,6,0.2171,14,0.4158
7,0,500,6,0.2016,12,0.4162
6,1,250,7,0.1944,12,0.4090
8,0,500,5,0.1912,11,0.4154
7,0,500,7,0.1893,11,0.4135
6,1,125,5,0.1814,11,0.4055
7,0,250,5,0.1782,10,0.4133
6,1,125,6,0.1779,10,0.4130
6,1,250,8,0.1771,10,0.4122
8,0,250,5,0.1746,10,0.4097
8,0,500,6,0.1738,10,0.4089
7,0,500,8,0.1700,10,0.4051
8,0,125,5,0.1660,9,0.4138
7,0,250,6,0.1653,9,0.4131
8,0,125,7,0.1591,9,0.4069
7,0,125,6,0.1590,9,0.4068
9,0,125,6,0.1552,9,0.4030
7,0,250,7,0.1538,8,0.4166
8,0,250,6,0.1529,8,0.4157
8,0,125,8,0.1527,8,0.4156
7,0,125,7,0.1522,9,0.4000
10,0,125,6,0.1511,8,0.4139
8,0,500,7,0.1510,9,0.3988
9,0,125,5,0.1503,8,0.4131
8,0,500,8,0.1500,8,0.4128
6,1,125,7,0.1498,8,0.4126
7,0,125,5,0.1496,8,0.4124
8,0,125,6,0.1494,8,0.4123
7,0,125,8,0.1489,8,0.4118
8,0,250,7,0.1463,8,0.4091
6,1,125,8,0.1459,8,0.4088
7,0,250,8,0.1456,8,0.4085
9,0,125,8,0.1417,8,0.4045
9,0,250,5,0.1368,8,0.3996
9,0,500,6,0.1355,8,0.3984
10,0,250,5,0.1354,7,0.4164
10,0,125,5,0.1344,7,0.4153
9,0,250,8,0.1342,7,0.4151
9,0,125,7,0.1319,7,0.4129
10,0,125,7,0.1318,7,0.4127
9,0,250,6,0.1305,7,0.4115
11,0,125,5,0.1300,7,0.4109
8,0,250,8,0.1288,7,0.4098
10,0,125,8,0.1281,7,0.4091
9,0,250,7,0.1247,7,0.4057
9,0,500,7,0.1211,7,0.4020
9,0,500,8,0.1210,7,0.4019
9,0,500,5,0.1207,7,0.4016
10,0,250,6,0.1202,7,0.4011
10,0,250,7,0.1179,7,0.3989
10,0,500,5,0.1158,7,0.3967
10,0,500,7,0.1108,6,0.4143
11,0,125,8,0.1079,6,0.4114
11,0,250,5,0.1076,6,0.4111
10,0,500,6,0.1072,6,0.4106
11,0,250,6,0.1060,6,0.4095
10,0,250,8,0.1055,6,0.4090
11,0,125,6,0.1021,6,0.4056
11,0,125,7,0.0994,6,0.4028
12,0,125,6,0.0979,6,0.4014
10,0,500,8,0.0979,6,0.4014
11,0,250,8,0.0978,6,0.4013
11,0,500,6,0.0975,6,0.4010
12,0,125,5,0.0966,6,0.4001
11,0,500,5,0.0957,6,0.3992
12,0,250,5,0.0941,6,0.3976
11,0,250,7,0.0919,6,0.3954
12,0,250,6,0.0838,5,0.4163
12,0,125,8,0.0761,5,0.4086
12,0,500,6,0.0755,5,0.4079
12,0,250,8,0.0738,5,0.4063
11,0,500,8,0.0723,5,0.4048
12,0,500,5,0.0718,5,0.4042
12,0,250,7,0.0708,5,0.4032
12,0,500,8,0.0671,5,0.3995
12,0,125,7,0.0667,5,0.3991
11,0,500,7,0.0663,5,0.3987
12,0,500,7,0.0644,5,0.3968
