SF,FQ,BW,CR,TP,IH,HS,PL,CL,RT,count,reward
6,877,500,5,16,1,200,13,120,1,69,0.3760
6,871,500,5,11,1,200,15,100,1,1,0.3669
6,866,500,5,15,1,200,17,120,1,1,0.3497
6,877,500,6,16,1,200,13,120,1,58,0.3344
6,877,500,7,16,1,200,13,120,1,35,0.2981
6,877,250,5,16,1,200,13,120,1,19,0.2839
7,877,500,5,16,0,200,13,120,1,19,0.2705
6,877,500,8,16,1,200,13,120,1,26,0.2670
6,877,250,6,16,1,200,13,120,1,12,0.2584
8,877,125,5,16,0,200,13,120,1,6,0.2478
6,878,250,6,12,1,200,11,100,1,1,0.2478
6,877,125,5,16,1,200,13,120,1,10,0.2444
8,877,125,8,16,0,200,13,120,1,7,0.2422
6,869,500,5,11,1,200,50,100,1,1,0.2381
7,877,500,6,16,0,200,13,120,1,16,0.2378
7,863,125,5,20,0,200,45,140,1,1,0.2374
7,867,500,7,17,0,200,24,120,1,1,0.2371
7,877,500,7,16,0,200,13,120,1,12,0.2366
6,877,250,7,16,1,200,13,120,1,12,0.2365
9,877,125,7,16,0,200,13,120,1,8,0.2344
9,877,125,6,16,0,200,13,120,1,8,0.2318
6,879,125,7,16,1,200,13,120,1,1,0.2312
6,882,500,5,5,1,200,45,80,1,1,0.2296
7,877,250,7,16,0,200,13,120,1,8,0.2268
8,877,500,5,16,0,200,13,120,1,10,0.2265
9,877,250,8,16,0,200,13,120,1,6,0.2233
6,863,125,8,20,1,200,45,140,1,1,0.2233
6,877,500,6,14,1,200,50,120,1,1,0.2230
7,866,125,7,13,0,200,24,100,1,1,0.2221
8,877,500,6,16,0,200,13,120,1,10,0.2218
8,883,125,5,20,0,200,49,140,1,1,0.2213
6,874,500,6,12,1,200,53,100,1,1,0.2211
7,863,500,5,20,0,200,45,140,1,1,0.2191
9,877,125,5,16,0,200,13,120,1,9,0.2168
8,877,125,7,16,0,200,13,120,1,9,0.2164
6,862,500,5,14,1,200,67,120,1,1,0.2159
7,877,125,7,16,0,200,13,120,1,9,0.2158
7,877,250,5,16,0,200,13,120,1,12,0.2153
7,877,125,8,16,0,200,13,120,1,9,0.2144
7,877,125,5,16,0,200,13,120,1,10,0.2139
10,886,125,5,20,0,200,29,140,1,1,0.2132
7,877,250,8,16,0,200,13,120,1,7,0.2128
8,877,125,6,16,0,200,13,120,1,10,0.2126
6,860,250,6,2,1,200,10,80,1,1,0.2110
10,877,125,6,16,0,200,13,120,1,8,0.2108
6,877,125,6,16,1,200,13,120,1,12,0.2083
6,879,500,8,15,1,200,42,120,1,1,0.2078
7,877,500,8,16,0,200,13,120,1,11,0.2076
10,877,125,5,16,0,200,13,120,1,7,0.2068
6,866,500,5,5,1,200,60,80,1,1,0.2067
7,863,250,5,20,0,200,45,140,1,1,0.2063
9,880,250,7,16,0,200,8,120,1,1,0.2061
8,877,250,8,16,0,200,13,120,1,7,0.2060
6,881,500,5,15,1,200,84,120,1,1,0.2045
7,886,250,5,13,0,200,17,100,1,1,0.2040
6,878,500,7,16,1,200,87,120,1,1,0.2040
7,877,250,6,16,0,200,13,120,1,9,0.2038
6,877,125,8,16,1,200,13,120,1,7,0.2026
9,877,250,5,16,0,200,13,120,1,9,0.2018
7,880,500,8,15,0,200,21,120,1,1,0.2009
7,874,125,5,13,0,200,19,100,1,1,0.1996
8,877,500,7,16,0,200,13,120,1,9,0.1990
6,888,500,6,9,1,200,61,100,1,1,0.1989
8,872,125,5,16,0,200,97,120,1,1,0.1987
8,877,500,8,16,0,200,13,120,1,9,0.1979
6,877,250,8,16,1,200,13,120,1,12,0.1975
6,868,125,7,12,1,200,14,100,1,1,0.1972
7,863,125,8,20,0,200,45,140,1,1,0.1968
6,876,125,5,9,1,200,23,100,1,1,0.1955
10,877,125,8,16,0,200,13,120,1,8,0.1953
6,868,500,7,9,1,200,58,100,1,1,0.1951
8,883,500,6,17,0,200,27,120,1,1,0.1948
9,877,500,7,16,0,200,13,120,1,9,0.1945
6,890,500,7,13,1,200,73,100,1,1,0.1943
7,862,250,6,13,0,200,20,100,1,1,0.1942
9,877,125,8,16,0,200,13,120,1,8,0.1942
10,879,125,5,17,0,200,88,120,1,1,0.1941
6,890,500,7,4,1,200,48,80,1,1,0.1935
9,877,250,7,16,0,200,13,120,1,7,0.1925
6,861,250,8,5,1,200,9,80,1,1,0.1920
8,875,500,7,17,0,200,61,120,1,1,0.1919
7,877,125,6,16,0,200,13,120,1,8,0.1917
8,877,250,7,16,0,200,13,120,1,8,0.1917
6,860,125,5,20,1,200,95,140,1,1,0.1916
7,875,250,7,15,0,200,52,120,1,1,0.1911
7,862,125,6,9,0,200,19,100,1,1,0.1905
7,867,125,7,14,0,200,64,120,1,1,0.1900
9,866,125,7,14,0,200,15,120,1,1,0.1896
6,877,125,7,16,1,200,13,120,1,7,0.1895
8,862,125,6,10,0,200,35,100,1,1,0.1893
8,869,125,5,7,0,200,99,80,1,1,0.1892
